"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"“Decent Work” in der Seeschifffahrt?","https://scispace.com/paper/decent-work-in-der-seeschifffahrt-1eciikuvsf","2010","Book Chapter","","Heide Gerstenberger","10.1007/978-3-531-92572-1_4","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Analyzes seafarer labour and CMLC regulation, offers historical insight and policy discussion, but lacks Poole framework reference, comparative theory, detailed methods, or case studies.","Im Zentrum dieses Beitrags steht die These, dass die Globalisierung des maritimen Arbeitsmarktes die positive Wirkung von internationalen Regulierungen maritimer Arbeitsverhaltnisse begrenzt. Um dies zu erlautern, wird zunachst skizziert, unter welchen Bedingungen sich in den 1960er Jahren eine tatsachliche Verbesserung maritimer Arbeitsverhaltnisse durchsetzen lies (1), und dann erklart, warum diese Bedingungen inzwischen nicht mehr bestehen. (2) Die negativen Wirkungen weitreichender De-Regulierung der Seeschifffahrt provozierten Versuche der Re-Regulierung. (3) Dass deren Wirkung im Hinblick auf die Arbeitsverhaltnisse von Seeleuten Grenzen gesetzt sind, wird am Beispiel der Consolidated Maritime Labour Convention entwickelt. (4) Abschliesend werden mogliche Perspektiven fur decent work in der Seeschifffahrt diskutiert. (5)"
"Major trends in work at sea: outline of a political economy of maritime labour","https://scispace.com/paper/major-trends-in-work-at-sea-outline-of-a-political-economy-2abxejk60h","2023","Book Chapter","","Jörn Boewe","10.4337/9781839106583.00063","","- **Relevance Score:** 32/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive overview of seafarer wages, flags of convenience, and union actions to map maritime labour trends; lacks Poole framework, detailed methods, or case studies.","Work conditions and economic trends in the maritime sector often only refer to seafarers on board merchant ships and dockworkers. This conventional view is no longer appropriate in the face of recent and long-term trends in the maritime economy. To understand what the political economy of maritime labour is, we must first take an integrated, overall view to define the field, including industries like fishery, off-shore-wind-energy or ship-building and ship wrecking, just to mention some. The article discusses what a meaningful description of the maritime-industrial-logistic complex could be and outlines some of its key structural features and trends. How many employees work ""around shipping,"" in which fields of activity and under which working conditions? How does the recruitment of maritime personnel work today? It provides an overview of the major global players among shipping companies, crewing agencies, port operators and shipyards. The long-term trends in the global labour market for seafarers, the global downward spiral in wages and working conditions triggered by the system of ""flags of convenience"" are portrayed, but also the partially successful efforts of the International Transport Workers' Federation and national trade unions to stop and maybe reverse the ""race to the bottom"". "
"Maritime sociology: towards a delimation of themes and analytical frameworks","https://scispace.com/paper/maritime-sociology-towards-a-delimation-of-themes-and-l32v0le997","1981","Journal Article","Maritime Policy & Management","Michael Poole","10.1080/03088838100000046","","- **Relevance Score:** 32/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Links general maritime sociology themes to Poole's ideas, proposes future directions for the discipline, and offers some historical background, but lacks direct labour, industry, or policy focus.","This paper sets out to evaluate the main areas of focus within maritime sociology and to link more closely than hitherto the various substantive discussions with general theoretical and conceptual approaches. More specifically, it suggests directions in which maritime sociology may be advanced at both empirical and conceptual levels in the future."
"A Global Union for Global Workers: Collective Bargaining and Regulatory Politics in Maritime Shipping","https://scispace.com/paper/a-global-union-for-global-workers-collective-bargaining-and-gg47pr8j1q","2006","Book","","Nathan Lillie","","","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses global union strategies to examine seafarer labor and employer-union politics; covers shipping industry and unions but lacks Poole framework and broader theoretical advances.","1. Global Union Strategies for a Global Industry 2. The Maritime Shipping Industry and Maritime Industrial Relations 3. Surveying the Literature 4. How to Catch the Capitalist on the Move: Implementing a Global Uniform Wage Scale on Flag of Convenience Ships 5. Bargaining Globally and Boycotting Locally: Transnational Networks and Global Unionism in Maritime Shipping 6. Seafarer Qualifications, Labor Market Power, and Global Regulatory Politics: Union and Employer Political Strategies for Shaping Access to Global Maritime Labor Markets 7. Dock Unions' Collective Self Defense and the FOC Campaign 8. Breaking No Eggs and Making No Omelettes: Transnational Union Strategies in the Global World Economy 9. Conclusion"
"Maritime labour : contributions to the history of work at sea, 1500-2000","https://scispace.com/paper/maritime-labour-contributions-to-the-history-of-work-at-sea-2m1ybbhb99","2007","","","Richard Gorski","","","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive historical case studies of Dutch, German, Swedish, British, and North American maritime labour markets (1500‑2000). Lacks any reference to Michael Poole’s framework, so core Poole‑specific criteria are not met. Provides rich historical context and several sector‑specific case analyses, offering valuable empirical material for maritime sociology but without explicit theoretical linkage to Poole or policy discussion.","Maritime Labour - 2[-]Table of contents - 6[-]Introduction - 8[-]Six cross-sections of the Dutch maritime labour market: A preliminary reconstruction and its implications(1610-1850) - 14[-]On maritime labour and maritime labour markets in Germany, 1700-1900 - 44[-]Swedish naval personnel in the merchant marine and in foreign naval service in the eighteenth century - 62[-]Quantifying British seafarers, 1789-1828 - 84[-]'But for the loves of the fishes': Maritime labour and ecological culture in nineteenth-century Newfoundland - 106[-]The Shipping Federation and the free labour movement: A comparative study of waterfront and maritime industrial relations, c.1889-1891 - 130[-]Health and safety aboard British merchant ships: The case of first aid instruction, 1881-1908 - 156[-]British merchant marine engineer licensing, 1865-1925 - 186[-]Transatlantic fishers: New England and British trawlermen, 1960-1972 - 220[-]Masters and chiefs: Enabling globalization, 1975-1995 - 236[-]About the contributors - 259"
"Framing social justice: the ties that bind a multinational occupational community","https://scispace.com/paper/framing-social-justice-the-ties-that-bind-a-multinational-ilv9stgyd0","2018","Journal Article","Sociology","Nicholas J. Bailey
Nik Winchester","10.1177/0038038516670111","https://scispace.com/pdf/framing-social-justice-the-ties-that-bind-a-multinational-ilv9stgyd0.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Focuses on seafarers' sense of entitlement and justice, using IMO/ILO frameworks; lacks Poole references, offers modest theoretical contribution, limited industry and policy detail.","The notion of a frame is central to the conceptualisation of social justice and the grounding of social justice claims. Influential theories of social justice are typically grounded in national or cosmopolitan framings. Those entitled to raise claims of injustice are identified as citizens of states or the globe, respectively. The re-visioning of understandings of space and belonging, incumbent in the processes of globalisation, problematises static geographical framings. We offer an alternative lens and argue for the inclusion of sociological data in accounts of social justice to identify the relevant framing of the community of entitlement. Drawing on secondary analysis of a qualitative dataset, we explore the case of multinational seafarers caught at the intersection of competing appeals to nationality and commonality as an exemplar of transnational workers. And, argue that there are compelling grounds to treat this group of multinational seafarers as a community of entitlement."
"The global seafarer: living and working conditions in a globalized industry","https://scispace.com/paper/the-global-seafarer-living-and-working-conditions-in-a-35s8fw3sld","2004","Book","","Tony Alderton
Michael Bloor
Erol Kahveci
Tony Lane
Helen Sampson
Michelle Thomas
Nik Winchester
Bin Wu
Minghua Zhao","","","- **Relevance Score:** 29/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides extensive seafarer labour analysis and industry overview, but lacks Poole framework linkage, comparative theory, detailed methods, or case study depth.","This volume offers a systematic account of the effects of globalization on the shipping industry and seafarers' lives. The seafarers' labour market is changing rapidly and this study discusses the challenges encountered in recruitment practices, trade unions and collective bargaining, as well as training, certification and fraudulent certification. Wages, contracts, and tours of duty are also investigated, and the book includes in-depth treatment of seafarer safety and hazard exposure.

Innovations such as automated engine rooms and the global maritime distress and safety system, the internationalization of ship registrations, multinational crewing and reductions in crewing levels, and the rise in ship management companies have had a profound effect on seafarers' living and working conditions. This perceptive book examines these and future issues for regulation and enforcement."
"Into murky waters: Globalisation and deregulation in Germany’s shipping employee relations","https://scispace.com/paper/into-murky-waters-globalisation-and-deregulation-in-germany-4iw80kpfd4","2002","Journal Article","Employee Relations","Thomas Klikauer
Richard Morris","10.1108/01425450210416906","","- **Relevance Score:** 29/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed shipping industry case study to show deregulation’s impact; provides historical background and policy implications; lacks Poole framework or comparative theory.","While Germany’s employment relations are commonly seen as a high value added trust relationship built around the well publicised “new production concepts”, this paper aims to show that there is also another side to Germany’s ER. Using a detailed case study of the shipping industry, the authors show how the implementation of the International Ship Register during the late 1980s and 1990s challenged Germany’s traditional system of employment relations and regulatory framework. The authors conclude that evidence from the shipping industry illustrates a strong departure from Germany’s long‐established employment relations, where deregulation of shipping and labour law has led to the adoption of a “low road” approach."
"Human Resource Management in Shipping: Issues, Challenges, and Solutions","https://scispace.com/paper/human-resource-management-in-shipping-issues-challenges-and-460jphacgv","2021","Monograph","","Lijun Tang
Pengfei Zhang","10.4324/9781003010401","","- **Relevance Score:** 29/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Focuses on HRM challenges and seafarer recruitment without referencing Poole’s framework; covers industry actors and policy angles, but lacks methodological detail or comparative theory work.","This book sheds light on the nature and causes of the issues and challenges in human resources in shipping and proposes fresh recommendations to manage them. It explains the multiple forces at play, including the global regulatory regime, national institutional frameworks, industrial practices, trade union responses, and pressures from customers and non-governmental organisations. 
Human Resource Management in Shipping integrates seafarer employment data released by national maritime authorities and a large body of literature that discusses discrete human resources issues in shipping into a single volume, providing readers with a comprehensive understanding of the issues and challenges within human resources in shipping. Beyond this, the book also offers a fresh perspective on some of the long lasting HRM challenges in the industry, such as skills shortage and seafarer recruitment and retention. 
This book aims to provide readers with systematic and in-depth knowledge of human resource management in shipping, and offers researchers a valuable source of reference and a solid foundation on which further development can be built."
"Determinantes industriais da solidariedade transnacional: política intersindical global em três setores","https://scispace.com/paper/determinantes-industriais-da-solidariedade-transnacional-3jbdzaf9xz","2014","Journal Article","","Mark Anner
Ian Greer
Marco Hauptmeier
Nathan Lillie
Nik Winchester","10.1590/S0103-40142014000200016","https://scispace.com/pdf/determinantes-industriais-da-solidariedade-transnacional-3jbdzaf9xz.pdf","- **Relevance Score:** 29/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses transnational union actions and flag‑of‑convenience dynamics to illustrate maritime labour solidarity, but lacks explicit reference to Poole’s framework or comparative theoretical analysis.","This article compares forms of labour transnationalism in three industrial sectors: motor manufacturing, maritime shipping, and clothing and textile manufacturing. In each case, unions engage in very different transnational activities to reassert control over labour markets and competition. As institutions of transnational cooperation deepen, unions continue to struggle with competitive tensions (worker to worker and union to union) which vary from one industry to another."
"Global transformation of the contemporary labour market for merchant navy seafarers : case studies of Filipino, South African and British seafaring labour markets.","https://scispace.com/paper/global-transformation-of-the-contemporary-labour-market-for-4d2zm98k0n","2008","Dissertation","","Shaun Ruggunan","","https://scispace.com/pdf/global-transformation-of-the-contemporary-labour-market-for-4d2zm98k0n.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive case studies of Filipino, South African, and British seafarers to map labour market reshaping; discusses unions, agencies, and shipping company restructuring, but does not reference Michael Poole’s framework.","The central aim of this thesis is to investigate how and why labour markets are formed in specific ways under contemporary global capitalism. This thesis achieves this through a sociological analysis and explanatory account of the contemporary transformation of merchant navy seafaring labour markets for Filipino, South African and British seafarers. The study is centrally concerned with four questions relating to the restructuring of these labour markets. These questions are: 1. How has the labour market for seafarers been reshaped? 2. How has the restructuring of shipping capital facilitated this process process? 3. What has the role of labour been in this restructuring process? 4. What other labour market institutions contribute to this restructuring? Answering these four questions allows me to achieve the central aim of my thesis which is to investigate how and why labour markets are formed in specific ways under contemporary global capitalism. In answering these questions this thesis makes three theoretical interventions in industrial sociology. Firstly, this work offers a substantially different account of labour markets that advances a more fully social explanation of labour market formation that does not consider the social as a 'factor' or an 'add on' as does classical and neo classical economics (and some strands of economic sociology) but a significant shaper of global labour markets. Secondly, it fills a gap in theorising the agency of organised labour under global capitalism. The thesis demonstrated how the agency of organised labour and the importance of locality or place should also be accorded primacy in arguing how labour markets are produced. Thirdly in making my own assertions about the creation and decimation of working classes under capitalism, I draw on three detailed case studies of seafaring trade unions, capitalist and state strategies in the shaping and transformation of contemporary labour markets for seafarers and therefore demonstrate the fallibility of the 'race to the bottom' thesis using contemporary research and data."
"Life Would Have Been a Thousand Times Simpler if I Were Not a Seafarer","https://scispace.com/paper/life-would-have-been-a-thousand-times-simpler-if-i-were-not-90o30b1a","2022","Book Chapter","","","10.4018/978-1-7998-9039-3.ch002","https://scispace.com/pdf/life-would-have-been-a-thousand-times-simpler-if-i-were-not-90o30b1a.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses COVID‑19 seafarer survey to highlight labour hardships and calls for coordinated policy support; discusses shipping firms and unions but lacks Poole framework or broader sociological theory.","This chapter examines skills retention in the British shipping industry. In doing so, the chapter explores the impact of the COVID-19 pandemic on seafarers as individuals and the potential for serious repercussions of such impact for the UK seafaring industry as a whole. The findings indicate a clear need for a coordinated effort from the key stakeholders, including national government and shipping companies, to work together to support the seafaring labour force. Providing sufficient support has the potential to mitigate the risk of increasing numbers of seafarers leaving the profession and reduced numbers choosing to join it, both of which could have profound consequences for the industry and more widely. "
"Sustainable Maritime Labour Governance: The Role of Transformative Partnership in Seafarers' Welfare","https://scispace.com/paper/sustainable-maritime-labour-governance-the-role-of-zyp03gfndw","2021","Book Chapter","","Desai Shan
Pengfei Zhang","10.1007/978-3-030-69325-1_13","https://scispace.com/pdf/sustainable-maritime-labour-governance-the-role-of-zyp03gfndw.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses PPP recommendations to improve seafarer welfare; addresses labour conditions and policy needs; mentions ports, NGOs, and shipowners but lacks Poole framework, comparative theory, or detailed methods.","In the 2030 agenda for sustainable development, decent work and economic growth are the eighth sustainable development goal (SDG). Maritime transportation supports over 80% of the international trade, and more than 1.6 million seafarers work at sea to ensure marine transportation is safe, efficient and environmentally friendly. Seafarers make a critical contribution to sustainable maritime transportation. To ensure decent work conditions at sea and protect seafarers’ rights is an important sustainable development goal. Drawing upon the case of port-based welfare facilities, this chapter aims to examine the current partnership of maritime labour governance, different roles of governmental and non-governmental organisations and how they work together to ensure and promote well-being and welfare of seafarers. This chapter also discusses the current challenges faced by the public–private partnership in sustaining and developing seafarer welfare. We argue that a transformative partnership, involving both public and private actors, is required in the maritime labour governance and that sovereign states should recognise seafarers’ key workers’ status and assign more resources to international seafarers’ welfare facilities."
"Elusive corporate social responsibility (CSR) in global shipping","https://scispace.com/paper/elusive-corporate-social-responsibility-csr-in-global-2ffwm6b2ip","2015","Journal Article","Journal of Global Responsibility","Helen Sampson
Neil Ellis","10.1108/JGR-08-2014-0028","https://scispace.com/pdf/elusive-corporate-social-responsibility-csr-in-global-2ffwm6b2ip.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Highlights seafarer welfare and MLC policy impacts; links shipping industry dynamics but lacks Poole framework, comparative theory, or detailed methodology.","Purpose
– This paper aims to, using the example of the highly globalised shipping industry, shed light upon the practice of corporate social responsibility (CSR) and the extent to which it might be relied upon to fill international regulatory gaps.

Design/methodology/approach
– The paper draws upon findings from a questionnaire study of shipboard accommodation.

Findings
– The paper finds that seafarers’ welfare remains under-considered by many companies. It suggests that the consolidation of regulation pertaining to seafarer living conditions under the Maritime Labour Convention (MLC) has been timely. However, a priority for the international community should be to develop the relatively low standards currently required by existing regulation to provide for better standards of seafarer welfare across the global fleet.

Research limitations/implications
– This evidence from the shipping industry challenges arguments for the normative basis for CSR and lends weight to those suggesting that the apparent exercise of CSR by multinational companies should broadly be understood as an exercise in public relations.

Social implications
– The research points to the need for the MLC to be amended to raise the mandatory standards of shipboard accommodation in the merchant shipping industry.

Originality/value
– The paper contributes unique data on seafarers’ living conditions and augments the body of knowledge concerning the exercise of CSR in global sectors."
