"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Forgotten keyworkers: the experiences of British seafarers during the COVID-19 pandemic","https://scispace.com/paper/forgotten-keyworkers-the-experiences-of-british-seafarers-2z6a848v","2022","Journal Article","Economic and Labour Relations Review","Helen Devereux
Emma Jane Kirsty Wadsworth","10.1177/10353046221079136","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses survey data to examine seafarers' pandemic experiences and employment precarity, linking labor conditions to weak regulatory enforcement, but does not engage Poole's framework.","During the COVID-19 pandemic the UK Government designated seafarers as keyworkers. This article explores their experiences in an industry operating under international legislation designed to ensure and maintain their employment and working conditions. Three hundred and fifty-two British seafarers completed an online questionnaire. The findings revealed two key themes: the erosion of the terms and conditions of those who work at sea, and the differing experiences of those who were precariously employed on single voyage contracts in comparison to those in permanent employment. In contrast with precariously employed individuals, more seafarers with permanent contracts were joining the vessel as normal and fewer were not being paid having been unable to join a ship as scheduled. In a similar vein, fewer permanently employed seafarers were adversely financially impacted during the pandemic. The article concludes that those with the weakest employment relationships have experienced the greatest challenges as a result of the COVID-19 pandemic–a scenario which was possible as a result of the limited enforcement of the regulatory framework intended to protect those who work at sea."
"The Role of Organised Labour in Preventing a ‘Race to the Bottom’ for Filipino Seafarers in the Global Labour Market","https://scispace.com/paper/the-role-of-organised-labour-in-preventing-a-race-to-the-31z7bau7du","2011","Journal Article","African and Asian Studies","Shaun Ruggunan","10.1163/156921011X587022","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses union case studies to show organised labour preventing wage/condition decline for Filipino seafarers; lacks any reference to Michael Poole; touches shipboard organization only via union structures.","The aim of this article is to demonstrate how organised labour at both the national and global level can influence the nature of global labour markets. This aim is achieved through an empirical investigation of the restructuring of the global labour market for Filipino seafarers, and the influence of the Associated Marine Officers and Seamen’s Union of the Philippines (AMOSUP) and the International Transport Workers’ Federation (ITF) in this restructuring process. The article concludes that despite the global attack on labour unions, organised labour continues to be a powerful agent in preventing ‘a race to the bottom’ for Filipino seafarers working conditions and wages."
"Labour Flexibilization at Sea","https://scispace.com/paper/labour-flexibilization-at-sea-5gbhyl855w","2008","Journal Article","International Feminist Journal of Politics","Christine B. N. Chin","10.1080/14616740701747584","https://www.tandfonline.com/doi/pdf/10.1080/14616740701747584","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses gender, nationality, and passport citizenship to analyze cruise ship labor flexibilization; lacks any reference to Michael Poole; discusses crew hierarchies but not detailed organizational structures.","Cruise line employment of men and women contract seafarers from all over the world since the late twentieth century has produced what is called multinational or ‘mini UN’ crew on board large modern cruise ships. This phenomenon is encouraged by open ship registries that legally endorse and affirm the flexibilization of labour at sea. Labour flexibilization processes, however, are not characterized solely by the demand and supply of low wage seafarers. Rather, they are mediated by perceived traits ascribed to seafarers' passport citizenship, physiognomy and biological sex. Men seafarers from countries of the Global North and South, respectively and overwhelmingly dominate the shipboard positions of senior officers and lower level support staff. Women's positioning in this uniquely stratified maritime workforce depends perceptively as well on the association of nationality, race/ethnicity and gender, with that of shipboard work. Thus, although cruise ship crew diversity appears to signify a globali..."
"The global seafarer: living and working conditions in a globalized industry","https://scispace.com/paper/the-global-seafarer-living-and-working-conditions-in-a-35s8fw3sld","2004","Book","","Tony Alderton
Michael Bloor
Erol Kahveci
Tony Lane
Helen Sampson
Michelle Thomas
Nik Winchester
Bin Wu
Minghua Zhao","","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive labor market, union, and safety analysis to examine seafarer conditions; lacks any reference to Michael Poole, and only loosely addresses organizational structures.","This volume offers a systematic account of the effects of globalization on the shipping industry and seafarers' lives. The seafarers' labour market is changing rapidly and this study discusses the challenges encountered in recruitment practices, trade unions and collective bargaining, as well as training, certification and fraudulent certification. Wages, contracts, and tours of duty are also investigated, and the book includes in-depth treatment of seafarer safety and hazard exposure.

Innovations such as automated engine rooms and the global maritime distress and safety system, the internationalization of ship registrations, multinational crewing and reductions in crewing levels, and the rise in ship management companies have had a profound effect on seafarers' living and working conditions. This perceptive book examines these and future issues for regulation and enforcement."
"Crews of convenience from the South West Pacific: the 'German' sailors of Kiribati","https://scispace.com/paper/crews-of-convenience-from-the-south-west-pacific-the-german-5cmc7cm53r","2001","Journal Article","New Zealand journal of industrial relations","Richard Morris
Thomas Klikauer","","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Kiribati seafarers' experiences to examine flag‑of‑convenience labor markets, offering sociological insight into labor conditions; touches on internal labour market structures but does not engage Michael Poole's framework.","Discusses the employment of Kiribati seafarers on German owned and flagged shipping. Examines the origins of the German shipping industry sponsored training and recruitment programmes on the Kiribati atolls. Assesses the implications of the creation of a manorial 'internal' labour market for German container shipping in the South West Pacific. Looks at the impact of labour participation in the international shipping industry on the former fisherfolk of Kiribati. Relates the experience of the Kiribati seafarers to the general 'flag of convenience' and 'crews of convenience' phenomenon, arguably the central issue in the current industrial and social study of global merchant shipping."
"Sociological aspects of seafarers' life and work and management styles in shipping","https://scispace.com/paper/sociological-aspects-of-seafarers-life-and-work-and-jsffk1oose","2016","","","Andrija Nenadić
Dražen Jašić
Aleksandra Krajnović","","https://scispace.com/pdf/sociological-aspects-of-seafarers-life-and-work-and-jsffk1oose.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive psychosocial discussion of seafarers' isolation, multicultural crews, and coping mechanisms, aligning with labor sociology; mentions corporate policies and management styles but lacks Poole's framework.","As this paper’s authors have learned from experience, contacts with seafarers and their participation in the internet forums, it appears that seafarers reluctantly take comments on the specific ways of their life and work which are made by people who do not come from their walk of life. Their attitude gave an impulse to this research. The results have been produced through surveying the seafarers and analysing their statements posted on online discussion sites where they share their experience. The research sample consists of the seafarers attending additional training programs at the Faculty of Maritime Studies in Split, the so-called Special education and training programme for seafarers [1]."
"Seamen's organisations and social protest in Europe, c.1300-1825","https://scispace.com/paper/seamen-s-organisations-and-social-protest-in-europe-c-1300-1ohl73iypt","1994","Journal Article","International Review of Social History","Karel Davids","10.1017/S0020859000112969","https://scispace.com/pdf/seamen-s-organisations-and-social-protest-in-europe-c-1300-1ohl73iypt.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses historical case study of seamen's organisations and protest to examine labour dynamics; lacks any reference to Michael Poole; discusses organisational forms but focuses on broader social movements rather than shipboard structures.","The friend of Havelock Wilson, the founder of the National Union of Seamen, who once told him that true unity among seamen would never be achieved because seamen were like ""a rope of sand"", washed away with every tide, would no longer be considered a sage. It was not only Wilson who, during his career as trade unionist, proved beyond any doubt that the ""rope of sand"" could indeed hold together. The seamen, too, had shown long before the rise of the new unions at the end of the nineteenth century that they possessed more cohesive power than Havelock's friend was prepared to credit them with at least, if British employers are to be believed. One of the first occasions on which British employers appealed to the Combination Act of 1799 was during a labour dispute in December 1799, when coal merchants (through the intermediary of the Mayor of London) urged the Home Secretary to take action against an alleged combination of seamen in Shields. The Coal Trade Committee of 1800 blamed combinations of seamen for the high wages, which had reached an unprecedented level. Looking from the bottom up rather than from the top down, Marcus Rediker recently highlighted the growth of a ""collectivism of necessity"" among seamen in the first half of the eighteenth century. ""A specifically maritime occupational consciousness gradually moved toward class consciousness as seamen began to develop wider patterns of association, sympathy and identification"", he claims. In fact, Rediker argues that seamen, as ""the most numerous of the mobile workers in early modern England and America"" were in a most favourable position for transmitting information, experiences and ideas between different groups of the labouring poor. Far from being merely ""a rope of sand"", seamen pro-"
"Framing social justice: the ties that bind a multinational occupational community","https://scispace.com/paper/framing-social-justice-the-ties-that-bind-a-multinational-ilv9stgyd0","2018","Journal Article","Sociology","Nicholas J. Bailey
Nik Winchester","10.1177/0038038516670111","https://scispace.com/pdf/framing-social-justice-the-ties-that-bind-a-multinational-ilv9stgyd0.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses seafarer self‑identification and claim‑making to explore social‑justice frames; lacks any reference to Michael Poole; touches on sector‑wide institutions but not detailed shipboard hierarchies.","The notion of a frame is central to the conceptualisation of social justice and the grounding of social justice claims. Influential theories of social justice are typically grounded in national or cosmopolitan framings. Those entitled to raise claims of injustice are identified as citizens of states or the globe, respectively. The re-visioning of understandings of space and belonging, incumbent in the processes of globalisation, problematises static geographical framings. We offer an alternative lens and argue for the inclusion of sociological data in accounts of social justice to identify the relevant framing of the community of entitlement. Drawing on secondary analysis of a qualitative dataset, we explore the case of multinational seafarers caught at the intersection of competing appeals to nationality and commonality as an exemplar of transnational workers. And, argue that there are compelling grounds to treat this group of multinational seafarers as a community of entitlement."
"Global transformation of the contemporary labour market for merchant navy seafarers : case studies of Filipino, South African and British seafaring labour markets.","https://scispace.com/paper/global-transformation-of-the-contemporary-labour-market-for-4d2zm98k0n","2008","Dissertation","","Shaun Ruggunan","","https://scispace.com/pdf/global-transformation-of-the-contemporary-labour-market-for-4d2zm98k0n.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses case studies of Filipino, South African, and British seafarers to examine flexible labour markets, agency reliance, and union strategies, but does not reference Michael Poole or directly link his concepts to organisational analysis.","The central aim of this thesis is to investigate how and why labour markets are formed in specific ways under contemporary global capitalism. This thesis achieves this through a sociological analysis and explanatory account of the contemporary transformation of merchant navy seafaring labour markets for Filipino, South African and British seafarers. The study is centrally concerned with four questions relating to the restructuring of these labour markets. These questions are: 1. How has the labour market for seafarers been reshaped? 2. How has the restructuring of shipping capital facilitated this process process? 3. What has the role of labour been in this restructuring process? 4. What other labour market institutions contribute to this restructuring? Answering these four questions allows me to achieve the central aim of my thesis which is to investigate how and why labour markets are formed in specific ways under contemporary global capitalism. In answering these questions this thesis makes three theoretical interventions in industrial sociology. Firstly, this work offers a substantially different account of labour markets that advances a more fully social explanation of labour market formation that does not consider the social as a 'factor' or an 'add on' as does classical and neo classical economics (and some strands of economic sociology) but a significant shaper of global labour markets. Secondly, it fills a gap in theorising the agency of organised labour under global capitalism. The thesis demonstrated how the agency of organised labour and the importance of locality or place should also be accorded primacy in arguing how labour markets are produced. Thirdly in making my own assertions about the creation and decimation of working classes under capitalism, I draw on three detailed case studies of seafaring trade unions, capitalist and state strategies in the shaping and transformation of contemporary labour markets for seafarers and therefore demonstrate the fallibility of the 'race to the bottom' thesis using contemporary research and data."
"Capitalism and the sea: Sovereignty, territory and appropriation in the global ocean:","https://scispace.com/paper/capitalism-and-the-sea-sovereignty-territory-and-1um83u51d8","2018","Journal Article","Environment and Planning D-society & Space","Liam Campling
Alejandro Colas","10.1177/0263775817737319","https://scispace.com/pdf/capitalism-and-the-sea-sovereignty-territory-and-1um83u51d8.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed labor exploitation narratives to examine seafarers' conditions; discusses flag regimes and hierarchical borders, but lacks any reference to Michael Poole or direct application of his framework.","This paper introduces the term ‘terraqueous territoriality’ to analyse a particular relationship between capitalism as a social formation, and the sea as a natural force It focuses on three spaces – exclusive economic zones (EEZs), the system of ‘flags of convenience’ (FOC), and multilateral counter-piracy initiatives – as instances of capitalist states and firms seeking to transcend the geo-physical difference between firm land and fluid sea Capital accumulation, it is argued here, seeks to territorialise the sea through forms of sovereignty and modes of appropriation drawn from experiences on land, but in doing so encounters particular tensions thereby generating distinctive spatial effects By exploring the articulation between sovereignty, territory and appropriation in the organisation of spaces where land meets sea, the article seeks to demonstrate the value of an analytical framework that underlines the terraqueous nature of contemporary capitalism"
"Sociological Aspects of Seafarers? Life and Work and Management Styles in Shipping","https://scispace.com/paper/sociological-aspects-of-seafarers-life-and-work-and-2wploiyqtc","2015","Journal Article","International Journal of Economics and Management Sciences","Andrija NenadiÄ
Dra en JašiÄ
Aleks
ra KrajnoviÄ","10.4172/2162-6359.1000237","","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses sociological analysis of seafarers' separation and shipboard life; lacks Poole references; touches on management styles but without detailed organizational structures.","This scientific paper provides a systematic analysis of sociological relationships in the area of seafaring as well as management styles in maritime shipping industry, with particular emphasis on the specific features involved in the vocation of a seafarer. The research was carried out on a sample of seafarers attending training courses at Faculty of Maritime Studies in Split. Separation from family, friends and familiar environment represents one of the essential features of the seafarers’ life that are discussed in the paper. Another important sociological factor of the seafarers’ specific profession is their workplace, i.e. the ship."
"Major trends in work at sea: outline of a political economy of maritime labour","https://scispace.com/paper/major-trends-in-work-at-sea-outline-of-a-political-economy-2abxejk60h","2023","Book Chapter","","Jörn Boewe","10.4337/9781839106583.00063","","- **Relevance Score:** 22/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses political‑economy lens to outline global labour trends, wages, and union actions; mentions industry players and recruitment but lacks Poole's framework and deep sociological analysis.","Work conditions and economic trends in the maritime sector often only refer to seafarers on board merchant ships and dockworkers. This conventional view is no longer appropriate in the face of recent and long-term trends in the maritime economy. To understand what the political economy of maritime labour is, we must first take an integrated, overall view to define the field, including industries like fishery, off-shore-wind-energy or ship-building and ship wrecking, just to mention some. The article discusses what a meaningful description of the maritime-industrial-logistic complex could be and outlines some of its key structural features and trends. How many employees work ""around shipping,"" in which fields of activity and under which working conditions? How does the recruitment of maritime personnel work today? It provides an overview of the major global players among shipping companies, crewing agencies, port operators and shipyards. The long-term trends in the global labour market for seafarers, the global downward spiral in wages and working conditions triggered by the system of ""flags of convenience"" are portrayed, but also the partially successful efforts of the International Transport Workers' Federation and national trade unions to stop and maybe reverse the ""race to the bottom"". "
"Maritime labour : contributions to the history of work at sea, 1500-2000","https://scispace.com/paper/maritime-labour-contributions-to-the-history-of-work-at-sea-2m1ybbhb99","2007","","","Richard Gorski","","","- **Relevance Score:** 22/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses extensive historical case studies of Dutch, German, Swedish, British, and North American maritime labour markets; lacks Michael Poole references; offers labor‑focused narratives but without explicit sociological framing or Poole integration.","Maritime Labour - 2[-]Table of contents - 6[-]Introduction - 8[-]Six cross-sections of the Dutch maritime labour market: A preliminary reconstruction and its implications(1610-1850) - 14[-]On maritime labour and maritime labour markets in Germany, 1700-1900 - 44[-]Swedish naval personnel in the merchant marine and in foreign naval service in the eighteenth century - 62[-]Quantifying British seafarers, 1789-1828 - 84[-]'But for the loves of the fishes': Maritime labour and ecological culture in nineteenth-century Newfoundland - 106[-]The Shipping Federation and the free labour movement: A comparative study of waterfront and maritime industrial relations, c.1889-1891 - 130[-]Health and safety aboard British merchant ships: The case of first aid instruction, 1881-1908 - 156[-]British merchant marine engineer licensing, 1865-1925 - 186[-]Transatlantic fishers: New England and British trawlermen, 1960-1972 - 220[-]Masters and chiefs: Enabling globalization, 1975-1995 - 236[-]About the contributors - 259"
"Management and labour in shipping: A role for co-operatives","https://scispace.com/paper/management-and-labour-in-shipping-a-role-for-co-operatives-43uv1ixznz","2003","Journal Article","WMU journal of maritime affairs","Peter Davis
Laszlo J. Kovats","10.1007/BF03195039","","- **Relevance Score:** 22/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses co‑operative model to address seafarer exploitation and management, offering a labor‑focused discussion but lacks Poole's theory and detailed organizational analysis.","The employment and management policies of the shipping industry are in legal and administrative confusion. The shipping industry is struggling with an unworkable global governance based on flag state sovereignty and a sanctionless international regulatory regime. Seafarers suffer most from this state of affairs, but so do the shipping industry’s public image. Few co-operatives of maritime workers exist in national or international shipping. A new employment theory is long overdue. Human centred management policies can only attain their full potential through co-operative or mutual associations. This paper describes the application of enlightened and socially conscious management principles to the shipping industry. Seafarers’ co-operatives are the future organisational building blocks of the shipping industry. Co-operatives can rescue maritime workers from developing countries from exploitation and the debilitating effects of casual labour by providing “all in one” seagoing and shore based professional careers. Seafarers’ co-operatives can solve the shipping industry’s maritime training and education problems. The seven universal principles of co-operative management will guide shipping management in setting human centred objectives that command respect of those who come in contact with the shipping industry."
