Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,For anthrophony studies,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,For bio- or geo-phony studies,Unnamed: 17,Unnamed: 18
Banner,Effects of noise on eggs and larvae of two estuarine fishes,TRANS. AM. FISH. SOC,1973,YES,NO,NO,YES,Multiple,Fish,Fish,Other,Demographic,Egg/larval development,Significant effect,NO,,,
Barlow,Field experiments show that acoustic pingers reduce marine mammal bycatch in the California drift gill net fishery,MARINE MAMMAL SCIENCE,2003,YES,NO,NO,YES,Multiple,Fish,Fish,ADD,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Barlow,Field experiments show that acoustic pingers reduce marine mammal bycatch in the California drift gill net fishery,MARINE MAMMAL SCIENCE,2003,YES,NO,NO,YES,Multiple,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Barlow,Field experiments show that acoustic pingers reduce marine mammal bycatch in the California drift gill net fishery,MARINE MAMMAL SCIENCE,2003,YES,NO,NO,YES,Multiple,Mammal,Pinnipeds & sirenians,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Bas,"The effects of marine traffic on the behaviour of Black Sea harbour porpoises (Phocoena phocoena relicta) within the Istanbul Strait, Turkey",PLOS ONE,2017,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,Vessel,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Bas,"Marine vessels alter the behaviour of bottlenose dolphins Tursiops truncatus in the Istanbul Strait, Turkey",ENDANGERED SPECIES RESEARCH,2017,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Vessel,Behavioural,Behavioural state change,Significant effect,NO,,,
Becker,Does boat traffic cause displacement of fish in estuaries?,MARINE POLLUTION BULLETIN,2013,YES,NO,NO,NO,Multiple,Fish,Fish,Vessel,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Bejder,Interpreting short term behavioural responses to disturbance within a longitudinal perspective,ANIMAL BEHAVIOUR,2006,YES,NO,NO,NO,Tursiops spp,Mammal,Odontocete,Vessel,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Bejder,Decline in Relative Abundance of Bottlenose Dolphins Exposed to Long Term Disturbance,CONSERVATION BIOLOGY,2006,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Vessel,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Bergstrom,Effects of an offshore wind farm on temporal and spatial patterns in the demersal fish community,MARINE ECOLOGY PROGRESS SERIES,2013,YES,NO,NO,NO,Multiple,Fish,Fish,Infrastructure,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Berrow,Effect of acoustic deterrents on the behaviour of common dolphins (Delphinus delphis),JOURNAL OF CETACEAN RESEARCH AND MANAGEMENT,2008,YES,NO,NO,NO,Delphinus delphis,Mammal,Odontocete,ADD,Behavioural,Evasion or startle,No statistical test,NO,,,
Berthe,Influence of boat noises on escape behaviour of white-spotted eagle ray Aetobatus ocellatus at Moorea Island (French Polynesia),COMPTES RENDUS BIOLOGIES,2016,YES,NO,NO,NO,Aetobatus ocellatus,Fish,Fish,Vessel,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Bevan,"Measuring behavioral responses of sea turtles, saltwater crocodiles, and crested terns to drone disturbance to define ethical operating thresholds",PLOS ONE,2018,YES,NO,NO,NO,Multiple,Reptile,Reptile,Other,Behavioural,Multiple behavioural impacts,No statistical test,NO,,,
Bilgin,"Testing two types of acoustic deterrent devices (pingers) to reduce harbour porpoise, Phocoena phocoena (Cetacea: Phocoenidae), by catch in turbot (Psetta maxima) set gillnet fishery in the Black Sea, Turkey",CAHIERS DE BIOLOGIE MARINE,2018,YES,NO,NO,YES,Multiple,Fish,Fish,ADD,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Bilgin,"Testing two types of acoustic deterrent devices (pingers) to reduce harbour porpoise, Phocoena phocoena (Cetacea: Phocoenidae), by catch in turbot (Psetta maxima) set gillnet fishery in the Black Sea, Turkey",CAHIERS DE BIOLOGIE MARINE,2018,YES,NO,NO,YES,Phoceana phoceana,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Bittencourt,Underwater noise in an impacted environment can affect Guiana dolphin communication,MARINE POLLUTION BULLETIN,2017,YES,NO,NO,NO,Sotalia guianensis,Mammal,Odontocete,Vessel,Behavioural,Vocalisation,Significant effect,NO,,,
Blackwell,Effects of Airgun Sounds on Bowhead Whale Calling Rates: Evidence for Two Behavioral Thresholds,PLOS ONE,2015,YES,NO,NO,NO,Balaena mysticetus,Mammal,Mysticete,Seismic,Behavioural,Vocalisation,Significant effect,NO,,,
Blackwell,Effects of tones associated with drilling activities on bowhead whale calling rates,PLOS ONE,2017,YES,NO,NO,NO,Balaena mysticetus,Mammal,Mysticete,Synthetic,Behavioural,Vocalisation,Significant effect,NO,,,
Blackwell,Effects of airgun sounds on bowhead whale calling rates in the Alaskan Beaufort Sea,MARINE MAMMAL SCIENCE,2013,YES,NO,NO,NO,Balaena mysticetus,Mammal,Mysticete,Seismic,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Blair,Evidence for ship noise impacts on humpback whale foraging behaviour,BIOLOGY LETTERS,2016,YES,NO,NO,NO,Megaptera novaeangliae,Mammal,Mysticete,Vessel,Behavioural,Behavioural state change,Significant effect,NO,,,
Blane,The impact of ecotourism boats on the St Lawrence beluga whales,ENVIRONMENTAL CONSERVATION,1994,YES,NO,NO,NO,Delphinapterus leucas,Mammal,Odontocete,Vessel,Behavioural,Evasion or startle,No statistical test,NO,,,
Blom,Continuous but not intermittent noise has a negative impact on mating success in a marine fish with paternal care,SCIENTIFIC REPORTS,2019,YES,NO,NO,YES,Pomatoschistus microps,Fish,Fish,Synthetic,Behavioural,Behavioural state change,Significant effect,NO,,,
Blom,Continuous but not intermittent noise has a negative impact on mating success in a marine fish with paternal care,SCIENTIFIC REPORTS,2019,YES,NO,NO,YES,Pomatoschistus microps,Fish,Fish,Synthetic,Demographic,Fecundity change,Significant effect,NO,,,
Bolle,Common Sole Larvae Survive High Levels of Pile-Driving Sound in Controlled Exposure Experiments,PLOS ONE,2012,YES,NO,NO,NO,Solea solea,Fish,Fish,Infrastructure,Demographic,Egg/larval development,No significant effect,NO,,,
Bordino,Reducing incidental mortality of Franciscana dolphin Pontoporia blainvillei with acoustic warning devices attached to fishing nets,MARINE MAMMAL SCIENCE,2002,YES,NO,NO,YES,Pontoporia blainville,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Bordino,Reducing incidental mortality of Franciscana dolphin Pontoporia blainvillei with acoustic warning devices attached to fishing nets,MARINE MAMMAL SCIENCE,2002,YES,NO,NO,YES,Otaria flavescens,Mammal,Pinnipeds & sirenians,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Bowles,Relative abundance and behavior of marine mammals exposed to transmissions from the Heard Island Feasibility Test,JOURNAL OF ACOUSTICAL SOCIETY OF AMERICA,1994,YES,NO,NO,NO,Balaenoptera musculus,Mammal,Mysticete,Synthetic,Behavioural,Behavioural state change,No statistical test,NO,,,
Bowles,Behavioral Responses and Habituation of Pinnipeds and Small Cetaceans to Novel Objects and Simulated Fishing Gear With and Without a Pinger,AQUATIC MAMMALS,2012,YES,NO,NO,YES,Multiple,Mammal,Odontocete,ADD,Behavioural,Evasion or startle,Significant effect,NO,,,
Bowles,Behavioral Responses and Habituation of Pinnipeds and Small Cetaceans to Novel Objects and Simulated Fishing Gear With and Without a Pinger,AQUATIC MAMMALS,2012,YES,NO,NO,YES,Multiple,Mammal,Pinnipeds & sirenians,ADD,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Bracciali,Effects of Nautical Traffic and Noise on Foraging Patterns of Mediterranean Damselfish (Chromis chromis),PLOS ONE,2012,YES,NO,NO,NO,Chromis chromis,Fish,Fish,Vessel,Behavioural,Behavioural state change,Significant effect,NO,,,
Brandt,Seal scarers as a tool to deter harbour porpoises from offshore construction sites,MARINE ECOLOGY PROGRESS SERIES,2013,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,ADD,Behavioural,Evasion or startle,Significant effect,NO,,,
Brandt,"Far-reaching effects of a seal scarer on harbour porpoises, Phocoena phocoena",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,2013,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Brandt,Responses of harbour porpoises to pile driving at the Horns Rev II offshore wind farm in the Danish North Sea,MARINE ECOLOGY PROGRESS SERIES,2011,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,Infrastructure,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Brandt,Disturbance of harbour porpoises during construction of the first seven offshore wind farms in Germany,MARINE ECOLOGY PROGRESS SERIES,2018,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,Infrastructure,Detected presence/absence,Detected presence/absence,Significant effect,YES,,,
Branstetter,"Auditory masking patterns in bottlenose dolphins (Tursiops truncatus) with natural, anthropogenic, and synthesized noise",JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2013,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Synthetic,Behavioural,Sensory processing and cognition,No statistical test,NO,,,
Branstetter,Effects of vibratory pile driver noise on echolocation and vigilance in bottlenose dolphins (Tursiops truncatus),JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2018,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Infrastructure,Behavioural,Vocalisation,Significant effect,NO,,,
Bruce,Quantifying fish behaviour and commercial catch rates in relation to a marine seismic survey,MARINE ENVIRONMENTAL RESEARCH,2018,YES,NO,NO,NO,Multiple,Fish,Fish,Seismic,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Bruintjes,Rapid recovery following short-term acoustic disturbance in two fish species,ROYAL SOCIETY OPEN SCIENCE,2016,YES,NO,NO,YES,Multiple,Fish,Fish,Multiple,Behavioural,Compromised anti-predator response,Significant effect,NO,,,
Bruintjes,Rapid recovery following short-term acoustic disturbance in two fish species,ROYAL SOCIETY OPEN SCIENCE,2016,YES,NO,NO,YES,Multiple,Fish,Fish,Multiple,Physiological,Physiological response,Significant effect,NO,,,
Buckstaff,Responses of Bottlenose Dolphins (Tursiops truncatus) to Construction and Demolition of Coastal Marine Structures,AQUATIC MAMMALS,2013,YES,NO,NO,NO,Tursiops aduncus,Mammal,Odontocete,Multiple,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Buckstaff,"Effects of watercraft noise on the acoustic behavior of bottlenose dolphins, Tursiops truncatus, in Sarasota Bay, Florida",MARINE MAMMAL SCIENCE,2004,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Vessel,Behavioural,Vocalisation,Significant effect,NO,,,
Bui,"Group Behavioural Responses of Atlantic Salmon (Salmo salar L.) to Light, Infrasound and Sound Stimuli",PLOS ONE,2013,YES,NO,NO,NO,Salmo salar,Fish,Fish,Synthetic,Behavioural,Evasion or startle,Significant effect,NO,,,
Burgess,A programmable acoustic recording tag and first results from free ranging northern elephant seals,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,1998,YES,NO,NO,NO,Mirounga angustirostris,Mammal,Pinnipeds & sirenians,Vessel,Behavioural,Behavioural state change,No statistical test,NO,,,
Buscaino,Impact of an acoustic stimulus on the motility and blood parameters of European sea bass (Dicentrarchus labrax L.) and gilthead sea bream (Sparus aurata L.),MARINE ENVIRONMENTAL RESEARCH,2010,YES,NO,NO,YES,Multiple,Fish,Fish,Synthetic,Behavioural,Behavioural state change,Significant effect,NO,,,
Buscaino,Impact of an acoustic stimulus on the motility and blood parameters of European sea bass (Dicentrarchus labrax L.) and gilthead sea bream (Sparus aurata L.),MARINE ENVIRONMENTAL RESEARCH,2010,YES,NO,NO,YES,Multiple,Fish,Fish,Synthetic,Physiological,Physiological response,Significant effect,NO,,,
Caiger,Chronic low-intensity noise exposure affects the hearing thresholds of juvenile snapper,MARINE ECOLOGY PROGRESS SERIES,2012,YES,NO,NO,NO,Pagrus auratus,Fish,Fish,Other,Physical,Altered hearing ability,Significant effect,NO,,,
Campana,Seasonal characterisation of maritime traffic and the relationship with cetacean presence in the Western Mediterranean Sea,MARINE POLLUTION BULLETIN,2016,YES,NO,NO,YES,Fin whale,Mammal,Mysticete,Vessel,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Campana,Seasonal characterisation of maritime traffic and the relationship with cetacean presence in the Western Mediterranean Sea,MARINE POLLUTION BULLETIN,2016,YES,NO,NO,YES,Multiple,Mammal,Odontocete,Vessel,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Carlstrom,A field experiment using acoustic alarms (pingers) to reduce harbour porpoise by-catch in bottom-set gillnets,ICES JOURNAL OF MARINE SCIENCE,2002,YES,NO,NO,YES,Multiple,Fish,Fish,ADD,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Carlstrom,A field experiment using acoustic alarms (pingers) to reduce harbour porpoise by-catch in bottom-set gillnets,ICES JOURNAL OF MARINE SCIENCE,2002,YES,NO,NO,YES,Phocoena phocoena,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,No statistical test,NO,,,
Carlstrom,Spatial and temporal impact of pingers on porpoises,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2009,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Carstensen,Impacts of offshore wind farm construction on harbour porpoises: acoustic monitoring of echolocation activity using porpoise detectors (T-PODs),MARINE ECOLOGY PROGRESS SERIES,2006,YES,NO,NO,NO,Phocoena phocoena,Mammal,Odontocete,Infrastructure,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Carter,"Ship noise inhibits colour change, camouflage, and anti-predator behaviour in shore crabs",CURRENT BIOLOGY,2020,YES,NO,NO,YES,Carcinus maenas,Invert,Invertebrate,Vessel,Behavioural,Compromised anti-predator response,Significant effect,NO,,,
Casper,"Recovery of Barotrauma Injuries in Chinook Salmon, Oncorhynchus tshawytscha from Exposure to Pile Driving Sound",PLOS ONE,2012,YES,NO,NO,YES,Oncorhynchus tshawytscha,Fish,Fish,Infrastructure,Mortality,Observed mortality,No significant effect,NO,,,
Casper,"Recovery of Barotrauma Injuries in Chinook Salmon, Oncorhynchus tshawytscha from Exposure to Pile Driving Sound",PLOS ONE,2012,YES,NO,NO,YES,Oncorhynchus tshawytscha,Fish,Fish,Infrastructure,Physical,Barotrauma,Significant effect,NO,,,
Castellote,Acoustic and behavioural changes by fin whales (Balaenoptera physalus) in response to shipping and airgun noise,BIOLOGICAL CONSERVATION,2012,YES,NO,NO,NO,Balaenoptera physalus,Mammal,Mysticete,Multiple,Behavioural,Multiple behavioural impacts,Significant effect,NO,,,
Catli,"The Effect of Different Tempos of Music During Feeding, On Growth Performance, Chemical Body Composition, And Feed Utilization of Turbot (Psetta maeotica, Pallas 1814)",THE ISRAELI JOURNAL OF AQUACULTURE?BAMIDGEH,2015,YES,NO,NO,YES,Psetta maeotica,Fish,Fish,Music,Behavioural,Behavioural state change,Significant effect,NO,,,
Catli,"The Effect of Different Tempos of Music During Feeding, On Growth Performance, Chemical Body Composition, And Feed Utilization of Turbot (Psetta maeotica, Pallas 1814)",THE ISRAELI JOURNAL OF AQUACULTURE?BAMIDGEH,2015,YES,NO,NO,YES,Psetta maeotica,Fish,Fish,Music,Physical,Growth or body condition,No significant effect,NO,,,
Catli,"The Effect of Different Tempos of Music During Feeding, On Growth Performance, Chemical Body Composition, And Feed Utilization of Turbot (Psetta maeotica, Pallas 1814)",THE ISRAELI JOURNAL OF AQUACULTURE?BAMIDGEH,2015,YES,NO,NO,YES,Psetta maeotica,Fish,Fish,Music,Physiological,Physiological response,Significant effect,NO,,,
Celi,"Vessel noise pollution as a human threat to fish: assessment of the stress response in gilthead sea bream (Sparus aurata, Linnaeus 1758)",FISH PHYSIOLOGY AND BIOCHEMISTRY,2016,YES,NO,NO,NO,Sparus aurata,Fish,Fish,Vessel,Physiological,Physiological response,Significant effect,NO,,,
Celi,Shipping noise affecting immune responses of European spiny lobster (Palinurus elephas),CANADIAN JOURNAL OF ZOOLOGY,2014,YES,NO,NO,NO,Palinurus elephas,Invert,Invertebrate,Vessel,Physiological,Physiological response,Significant effect,NO,,,
Cerchio,Seismic Surveys Negatively Affect Humpback Whale Singing Activity off Northern Angola,PLOS ONE,2014,YES,NO,NO,NO,Megaptera novaeangliae,Mammal,Mysticete,Seismic,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Chang,The Effects of Continuous Acoustic Stress on ROS Levels and Antioxidant-related Gene Expression in the Black Porgy (Acanthopagrus schlegelii),ZOOLOGICAL STUDIES,2018,YES,NO,NO,NO,Acanthopagrus schlegelii,Fish,Fish,Infrastructure,Physiological,Physiological response,Significant effect,NO,,,
Chapuis,The effect of underwater sounds on shark behaviour,SCIENTIFIC REPORTS,2019,YES,NO,NO,NO,Multiple,Fish,Fish,Synthetic,Behavioural,Behavioural state change,Significant effect,NO,,,
Charifi,"Noise pollution limits metal bioaccumulation and growth rate in a filter feeder, the Pacific oyster Magallana gigas",PLOS ONE,2018,YES,NO,NO,YES,Magallana gigas,Invert,Invertebrate,Vessel,Behavioural,Behavioural state change,Significant effect,NO,,,
Charifi,"Noise pollution limits metal bioaccumulation and growth rate in a filter feeder, the Pacific oyster Magallana gigas",PLOS ONE,2018,YES,NO,NO,YES,Magallana gigas,Invert,Invertebrate,Vessel,Physical,Growth or body condition,Significant effect,NO,,,
Charifi,"Noise pollution limits metal bioaccumulation and growth rate in a filter feeder, the Pacific oyster Magallana gigas",PLOS ONE,2018,YES,NO,NO,YES,Magallana gigas,Invert,Invertebrate,Vessel,Physiological,Physiological response,Significant effect,NO,,,
Cholewiak,Beaked whales demonstrate a marked acoustic response to the use of shipboard echosounders,ROYAL SOCIETY OPEN SCIENCE,2017,YES,NO,NO,NO,Multiple,Mammal,Odontocete,Sonar,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Christiansen,Effects of tourist boats on the behaviour of Indo Pacific bottlenose dolphins off the south coast of Zanzibar,ENDANGERED SPECIES RESEARCH,2010,YES,NO,NO,NO,Tursiops aduncus,Mammal,Odontocete,Vessel,Behavioural,Behavioural state change,Significant effect,NO,,,
Clay,Pingers reduce the activity of Burmeister's porpoise around small-scale gillnet vessels,MARINE ECOLOGY PROGRESS SERIES,2019,YES,NO,NO,NO,Phocoena spinipinnis,Mammal,Odontocete,ADD,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Codarin,"Effects of ambient and boat noise on hearing and communication in three fish species living in a marine protected area (Miramare, Italy)",MARINE POLLUTION BULLETIN,2009,YES,NO,NO,NO,Multiple,Fish,Fish,Vessel,Physiological,Physiological response,Significant effect,NO,,,
Correa,Recreational boat traffic effects on fish assemblages: First evidence of detrimental consequences at regulated mooring zones in sensitive marine areas detected by passive acoustics,OCEAN & COASTAL MANAGEMENT,2019,YES,NO,NO,NO,Multiple,Fish,Fish,Vessel,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Costa,"The effect of a low-frequency sound source (acoustic thermometry of the ocean climate) on the diving behavior of juvenile northern elephant seals, Mirounga angustirostris",JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2003,YES,NO,NO,NO,Mirounga angustirostris,Mammal,Pinnipeds & sirenians,Other,Behavioural,Behavioural state change,Significant effect,NO,,,
Cox,"Behavioral responses of bottlenose dolphins, Tursiops truncatus, to gillnets and acoustic alarms",BIOLOGICAL CONSERVATION,2004,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,ADD,Behavioural,Evasion or startle,Significant effect,NO,,,
Croll,Effect of anthropogenic low-frequency noise on the foraging ecology of Balaenoptera whales,ANIMAL CONSERVATION,2001,YES,NO,NO,NO,Multiple,Mammal,Mysticete,Sonar,Behavioural,Behavioural state change,No significant effect,NO,,,
Culik,Reactions of harbor porpoises Phocoena phocoena and herring Clupea harengus to acoustic alarms,MARINE ECOLOGY PROGRESS SERIES,2001,YES,NO,NO,YES,Clupea harengus,Fish,Fish,ADD,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Culik,Reactions of harbor porpoises Phocoena phocoena and herring Clupea harengus to acoustic alarms,MARINE ECOLOGY PROGRESS SERIES,2001,YES,NO,NO,YES,Phocoena phocoena,Mammal,Odontocete,ADD,Behavioural,Evasion or startle,Significant effect,NO,,,
Culloch,Effect of construction-related activities and vessel traffic on marine mammals,MARINE ECOLOGY PROGRESS SERIES,2016,YES,NO,NO,YES,Balaenoptera acutorostrata,Mammal,Mysticete,Multiple,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Culloch,Effect of construction-related activities and vessel traffic on marine mammals,MARINE ECOLOGY PROGRESS SERIES,2016,YES,NO,NO,YES,Multiple,Mammal,Odontocete,Multiple,Detected presence/absence,Detected presence/absence,Significant effect,NO,,,
Culloch,"Occurrence, site-fidelity and abundance of bottlenose dolphins (Tursiops truncatus) in Broadhaven bay, northwest Ireland during long-term construction of a gas pipeline",REGIONAL STUDIES IN MARINE SCIENCE,2020,YES,NO,NO,NO,Tursiops truncatus,Mammal,Odontocete,Infrastructure,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
Culloch,Effect of construction-related activities and vessel traffic on marine mammals,MARINE ECOLOGY PROGRESS SERIES,2016,YES,NO,NO,YES,Halichoerus grypus,Mammal,Pinnipeds & sirenians,Multiple,Detected presence/absence,Detected presence/absence,No significant effect,NO,,,
