Indicator 1: Current status and coverage of total available thematic data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
The purpose of this sheet is to provide a status overview of the different sub-theme data available on the portal and the download frequency by users,,,,,,,,,,,,,,,,,,,
"Please refer to ""Explanation of the trends and statistics"" below",,,,,,,,,,,,,,,,,,,
1.A) Volume and coverage of available data,,,,,,,,,,,,,,,,,,,
Reporting date,Portal name,Volume unit [1],,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,Human Activities,Records; related records,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-theme [2],,Total data volume per sub-theme: records ,Total data volume per sub-theme (previous quarter),Total data volume per sub-theme: related records ,Total data volume per sub-theme (previous quarter),Trend in total data volume (%) records [3],Trend in total data volume (%) related records[3],Total data Volume in GigaBytes [4],,,,,,,,,,,
,UWW Discharge Points,1,0.13149,27,49,-0.4489795918367347,n.a.,n.a.,n.a.,49458,51080,-0.0317541111981206,1027,1120,-0.08303571428571428,,,,
,Waste at ports,1,0.00128,10,23,-0.5652173913043478,n.a.,n.a.,n.a.,26360,53675,-0.5088961341406614,411,437,-0.059496567505720827,,,,
"[1] Define unit of manual download (e.g. datasets, requests, records, …); additional explanation can be provided in the narrative.",,,,,,,,,,,,,,,,,,,
[2] Indicate the unit and total volume of downloadable items in relation to the unit in which they are downloadable (e.g. the total volume or number of CDIs/records/datasets/... available for download) – clearly specify the unit.,,,,,,,,,,,,,,,,,,,
[3] Decimal definition 1 GB = 1000^3 bytes.,,,,,,,,,,,,,,,,,,,
[4] Trend compares the result with previous period.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Explanation of the trends and statistics,,,,,,,,,,,,,,,,,,,
1A) Volume and coverage of available data,"Minor increase in volume, due to a few data set having received an update",,,,,,,,,,,,,,,,,,
Your opinion on the data coverage within EMODnet for your thematic,Nothing new to report,,,,,,,,,,,,,,,,,,
1B) Usage of data in this quarter,Marked decrease in both number of downloads and web services requests for no apparent reason,,,,,,,,,,,,,,,,,,
