Keyword,Modality,EnergyTerm,Performance,Subsystem,BinaryDefault,Notes
resident,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
worker,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
union,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
port authority,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
government,Interoception,,Politics,Culture,settled/unsettled,Auto-detected from transcript analysis
environmental,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
tourism,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
fishing,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
shipping,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
economic,Interoception,,Economy,Culture,settled/unsettled,Auto-detected from transcript analysis
development,Interoception,,Economy,Culture,settled/unsettled,Auto-detected from transcript analysis
consultation,Interoception,,Politics,Culture,settled/unsettled,Auto-detected from transcript analysis
participation,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
engagement,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
opposition,Interoception,,Culture,Culture,settled/unsettled,Auto-detected from transcript analysis
turbine,Vision,Offshore wind,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
blade,Vision,Offshore wind,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
tower,Vision,Offshore wind,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
foundation,Vision,,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
substation,Vision,,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
transformer,Vision,OPS,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
electrolyser,Vision,H2,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
compressor,Hearing,LNG,Technology (Infrastructure),Culture,heard/unheard,v3.0 corrected - Technology vs Culture fixed
cable,Hearing,,Technology (Infrastructure),Culture,heard/unheard,v3.0 corrected - Technology vs Culture fixed
infrastructure,Hearing,,Technology (Infrastructure),Culture,heard/unheard,v3.0 corrected - Technology vs Culture fixed
machinery,Vision,,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
AGV,Vision,smart grid/5G,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
RTG,Vision,smart grid/5G,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
5G,Vision,smart grid/5G,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
hum,Vision,OPS,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
buzz,Vision,OPS,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
whirr,Vision,H2,Technology (Infrastructure),Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
environmental,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
marine,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
whales,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
emissions,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
pollution,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
climate,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
renewable,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
clean,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
sustainability,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
NEPA,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
mitigation,Interoception,,Environment,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
jobs,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
economic,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
development,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
investment,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
cost,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
benefits,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
revenue,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
business,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
financial,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
market,Interoception,,Economy,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
permits,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
DNREC,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
BOEM,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
government,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
consultation,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
policy,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
regulation,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
authority,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
participation,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
stakeholders,Interoception,,Politics,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
safety,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
emergency,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
risk,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
health,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
danger,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
concern,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
electromagnetic,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
vibration,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
noise,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
hazard,Nociception,,Health & Safety,Culture,safe/threat,v3.0 corrected - Technology vs Culture fixed
community,Vision,,Culture,Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
residents,Vision,,Culture,Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
tourism,Vision,,Culture,Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
heritage,Vision,,Culture,Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
visual,Vision,,Culture,Culture,seen/unseen,v3.0 corrected - Technology vs Culture fixed
landscape,Interoception,,Culture,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
skyline,Interoception,,Culture,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
aesthetic,Interoception,,Culture,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
values,Interoception,,Culture,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
tradition,Interoception,,Culture,Culture,settled/unsettled,v3.0 corrected - Technology vs Culture fixed
