DOI,Title,Abstract,Open access,Authors,Publication date,Citations,Journal,ISSNs,Quartile by SCImago,Quartile by WOS,Impact factor,Publisher,Volume,Issue,Pages
10.1177/0309132520987301,"Elemental worlds: Specificities, exposures, alchemies","<p> The elements have become the focus of a significant volume of research by geographers and others. Engagements with the elements have been framed in terms of four elemental orientations: matter, molecule, milieu and media. Our aim is to consider what is at stake in efforts to think with, across and beyond these orientations. Avoiding any reduction of the elements to a single ontological or epistemological proposition, we explore possibilities for grasping their implication in the composition and decomposition of worlds. Doing this can be facilitated by thinking about these worlds in relation to three interrelated matters of concern: specificities, exposures and alchemies. </p>",NO,"Engelmann S., McCormack D.",2021-02-04 07:30:28,61,Progress in Human Geography,"14770288,03091325",1.0,1.0,6.1,SAGE,45.0,6.0,1419-1439
10.1177/2399654420979314,Criminalizing solidarity: Search and rescue in a neo-colonial sea,"<p> Non-governmental organizations (NGOs) rescued over 110,000 people in the Central Mediterranean Sea between 2015 and 2017. From 2017, EU member states and agencies increasingly criminalized these organizations, accusing them of ‘colluding with smugglers’ and acting as a pull factor. In this climate, as Italy, Malta and the EU increased cooperation with Libya to stop people from taking to the seas, many suspended their operations. This article explores the search and rescue efforts of NGOs in the Central Mediterranean Sea between 2014 and 2018. We examine the criminalization of this NGO activity and argue that it is made possible through an oscillating neo-colonial imagination of the sea as mare nostrum and mare nullius, our sea and nobody’s sea, respectively. We build on the work of other scholars who have pointed to the activation of the Mediterranean as ‘empty’ in response to migration flows, erasing the historical connections of colonialism, empire, trade, and exchange in the Mediterranean as well as the contemporary legal geographies that govern the space. Here, we go further to develop the idea of a neo-colonial sea, which is alternately imagined as empty and ‘European’. We explore how NGOs disrupt these depictions, as well as the disappearing figures of the migrant and refugee amidst the contestations between NGOs and states. </p>",NO,"Mainwaring Ċ., DeBono D.",2021-01-12 07:30:28,40,Environment and Planning C: Politics and Space,"23996544,23996552",1.0,2.0,2.2,SAGE,39.0,5.0,1030-1048
10.1007/978-3-030-81369-7_3,Alter- Not Pro-European: The Question of Europe in Transnational Activist Networks,"<p>This chapter investigates alter-European activists’ complicated relationship with “Europe”. The chapter starts by demonstrating that conflicting understandings of EU-Europe already feature in previous pan-European mobilisations, from the European Social Forums in the early 2000s to the anti-austerity mobilisations in the 2010s. Similar to these preceding movements, contemporary transnational activists have a variety of problems with (EU-)Europe, which remains, at times, curiously absent from their campaigns. Drawing on original ethnographic data gathered in collaboration with the transnational civil society network European Alternatives in the aftermath of the UK’s EU referendum in 2016, the chapter moves on to discuss six different alter-European actors’ perspectives on Europe: (1) migrant citizens, (2) feminists, (3) greens and socialists, (4) Afro-Europeans and de-colonial activists, (5) Central and Eastern European activists and (6) Mediterranean activists. As their different perspectives and problems with (EU-)Europe illustrate, these contemporary transnational mobilisations are better understood as alter- rather than pro-European. More important than a common idea of Europe, here, is the convergence of different struggles in a common quest for political agency beyond borders.</p>",NO,Scharenberg A.,2021-01-01 07:30:28,5,,,,,,,,,59-88
10.1080/1369183x.2020.1796265,"Navigating the Aegean Sea: smartphones, transnational activism and viapolitical in(ter)ventions in contested maritime borderzones",<p>Scholars concerned with the use of ICTs at the EU’s external borders have mainly focused on practices of control that draw on sophisticated surveillance technologies. In this paper I address migran...</p>,NO,Noori S.,2020-08-29 07:30:28,19,Journal of Ethnic and Migration Studies,"14699451,1369183X",1.0,1.0,3.1,Taylor & Francis,48.0,8.0,1856-1872
10.1177/0309132519879490,On resistance in human geography,"<p>This paper outlines scholarship on resistance within geography. Its contention is that conceptualisations of resistance are characterised by a predetermination of form that particular actions or actors must assume to constitute resistance. Asking what we risk ignoring if we only focus on predetermined, recognisable resistant forms, the paper revisits some of the fundamental assumptions (of intention, linearity and opposition) that underpin accounts of resistance. It calls for geographers to engage with resistance in emergence. The paper concludes by detailing what this might look like in practice, including intersections with work on potentiality, incoherent subjects, agentic materiality and speculative futures.</p>",NO,Hughes S.M.,2019-10-09 07:30:28,62,Progress in Human Geography,"03091325,14770288",1.0,1.0,6.1,SAGE,44.0,6.0,1141-1160
10.1177/2043820619872886,The ocean in excess: Towards a more-than-wet ontology,"<p>This article builds upon previous assertions that the ocean provides a fertile environment for reconceptualising understandings of space, time, movement and experiences of being in a transformative and mobile world. Following previous articles that urged scholars to adopt a ‘wet ontology’, this article presents a progression of, and a caveat to, these earlier arguments. As we have argued previously, liquid ‘materiality, motion, and temporality allows for new ways of thinking that are not possible when only thinking with the land’. This article maintains that critical perspectives can be gained by taking the ocean’s liquidity to heart. However, it also questions the premise of this vision. For the ocean is not simply liquid. It is solid (ice) and air (mist). It generates winds, which transport smells, and these may emote the oceanic miles inland. Although earlier attention to the ocean’s liquid volume was a necessary antidote to surficial static ontologies typically associated with land, this is insufficient in light of how the ocean exceeds material liquidity. This article thus explores what might emerge if, instead, one were to approach the ocean as offering a more-than-wet ontology, wherein its fluid nature is continually produced and dissipated.</p>",NO,"Peters K., Steinberg P.",2019-09-09 07:30:28,164,Dialogues in Human Geography,"20438206,20438214",1.0,1.0,9.6,SAGE,9.0,3.0,293-307
10.1111/glob.12256,"Transnational connections and anti‐colonial radicalism in the Royal Indian Navy mutiny, 1946","<p>In this article, I explore the spatial politics of the Royal Indian Navy mutiny of 1946 and call for a more maritime sense of ‘the political’. The RIN only existed from 1934 to 1950; it became the Indian Navy after independence. Its mutiny in 1946, which was caused by a number of grievances from anticolonial nationalism to more mundane challenges about the standard of food, continues to be the dominant event in this history. Leela Gandhi (2014) used the RIN mutiny to challenge the binary distinction between elite and subaltern in much Indian historiography by depicting it as an ‘anti‐colonial counterpublic’, or space in which discourses other than the dominant nationalist framings of independence were mobilized. She also regards the mutiny as a potential example of inconsequential ethics in which, instead of worrying about its causes, the mutiny can be read as an experimental space in which democratic politics occurred, rather than one in which people were striving for a ‘successful’ outcome. I argue that, while there is much to be admired in Gandhi's reading of these events, she discounts the maritime nature of the RIN mutiny. In other words, she fails to acknowledge that travelling to different international locations allowed the sailors to learn about democracy and other ideas, which in turn influenced their beliefs about what the future of India, and the RIN, should look like. As a result, I argue for the need to explore in greater depth the important connections that exist between anti‐colonialism, democratic politics and the naval/maritime experience.</p>",NO,DAVIES A.,2019-07-19 07:30:28,10,Global Networks,"14710374,14702266",1.0,1.0,2.2,Wiley,19.0,4.0,521-538
10.1177/0162243919852672,AIS Politics: The Contested Use of Vessel Tracking at the EU’s Maritime Frontier,"<p>Automatic identification system (AIS) is a vessel tracking system, which since 2004 has become a global tool for the detection and analysis of seagoing traffic. In this article, we look at how this technology, initially designed as a collision avoidance system, has recently become involved in debates concerning migration across the Mediterranean Sea. In particular, after having briefly discussed its emergence and characteristics, we examine how through different practices of (re)appropriation AIS, and the data it generate, have been seized upon, both to contest and to sustain the exclusionary nature of borders, and the mass dying of migrants at sea to which it leads. We do so by referring to forms of data activism we have contributed to in the frame of our Forensic Oceanography project as well as to situations in which AIS has been mobilized by xenophobic groups to demand even stronger exclusionary measures. At the same time, we point to the multiplicity of actors who participate in the politics of migration through AIS in unexpected ways. We conclude by highlighting the irreducible ambivalence of practices of appropriation and call for persistent attention to one’s own positioning within the global datascape constituted by AIS and other data.</p>",NO,"Pezzani L., Heller C.",2019-05-30 07:30:28,22,Science Technology and Human Values,"01622439,15528251",1.0,1.0,3.3,SAGE,44.0,5.0,881-899
10.1177/0263775818823750,"On the shores of politics: Sea, solidarity and the Ships to Gaza","<p>In this article, I focus attention on the sea as a space for today’s solidarity politics. Following the Ships to Gaza as they headed to breach the Israeli embargo of the seaside enclave, I explore ...</p>",NO,Kosmatopoulos N.,2019-01-28 07:30:28,27,Environment and Planning D: Society and Space,"02637758,14723433",1.0,1.0,2.5,SAGE,37.0,4.0,740-757
10.1177/0306312717743579,From ships to robots: The social relations of sensing the world ocean,"<p>The dominant practices of physical oceanography have recently shifted from being based on ship-based ocean sampling and sensing to being based on remote and robotic sensing using satellites, drifting floats and remotely operated and autonomous underwater vehicles. What are the implications of this change for the social relations of oceanographic science? This paper contributes to efforts to address this question, pursuing a situated view of ocean sensing technologies so as to contextualize and analyze new representations of the sea, and interactions between individual scientists, technologies and the ocean. By taking a broad view on oceanography through a 50-year shift from ship-based to remote and robotic sensing, I show the ways in which new technologies may provide an opportunity to fight what Oreskes has called ‘ideologies of scientific heroism’. In particular, new sensing relations may emphasize the contributions of women and scientists from less well-funded institutions, as well as the ways in which oceanographic knowledge is always partial and dependent on interactions between nonhuman animals, technologies, and different humans. Thus, I argue that remote and robotic sensing technologies do not simply create more abstracted relations between scientists and the sea, but also may provide opportunities for more equitable scientific practice and refigured sensing relations.</p>",NO,Lehman J.,2017-12-04 07:30:28,67,Social Studies of Science,"03063127,14603659",1.0,1.0,2.7,SAGE,48.0,1.0,57-79
10.1111/anti.12320,A Fleet of Mediterranean Border Humanitarians,"<p>EUrope has created a space of human suffering within which military-humanitarian measures seem urgently required if the mass drowning is to be halted. The framing of migration governance as humanitarian has become commonplace in spectacular border practices in the Mediterranean Sea. Nonetheless, maritime disasters continue to unfold. This article discusses three non-governmental actors, part of an emerging “humanitarian fleet” that seeks to turn the sea into a less deadly space: the Migrant Offshore Aid Station, Medecins Sans Frontieres, and Sea-Watch. While the rescue of precarious lives and the alleviation of suffering are central concerns, they imagine their humanitarian practices, the subjects of their compassion, and EUrope's role in shaping borderzones in different ways, pointing to a wide humanitarian spectrum. Engaging with the different discursive frames created by the three “border humanitarians”, the article explores what possibilities exist for political dissent to emanate from within humanitarian reason.</p>",NO,Stierl M.,2017-02-27 07:30:28,135,Antipode,"14678330,00664812",1.0,1.0,2.7,Wiley,50.0,3.0,704-724
10.14361/dcs-2016-0205,The Alternative Epistemologies of Data Activism,"Abstract<p> As datafication progressively invades all spheres of contemporary society, citizens grow increasingly aware of the critical role of information as the new fabric of social life. This awareness triggers new forms of civic engagement and political action that we term “data activism”. Data activism indicates the range of sociotechnical practices that interrogate the fundamental paradigm shift brought about by datafication. Combining Science and Technology Studies with Social Movement Studies, this theoretical article offers a foretaste of a research agenda on data activism. It foregrounds democratic agency vis-à-vis datafication, and unites under the same label ways of affirmative engagement with data (“proactive data activism”, e. g. databased advocacy) and tactics of resistance to massive data collection (“reactive data activism”, e. g. encryption practices), understood as a continuum along which activists position and reposition themselves and their tactics. The article argues that data activism supports the emergence of novel epistemic cultures within the realm of civil society, making sense of data as a way of knowing the world and turning it into a point of intervention and generation of data countercultures. It offers the notion of data activism as a heuristic tool for the study of new forms of political participation and civil engagement in the age of datafication, and explores data activism as an evolving theoretical construct susceptible to contestation and revision.</p>",NO,"Milan S., Velden L.V.",2016-12-01 07:30:28,151,,,,,,,2.0,2.0,57-74
10.1080/13621025.2016.1182683,A sea of struggle – activist border interventions in the Mediterranean Sea,"<p>AbstractIn October 2014, on the anniversary of a large migrant shipwreck in the Mediterranean Sea, activists in Europe and Africa commemorated the victims and protested their deaths by launching the WatchTheMed Alarm Phone. The Alarm Phone functions as a ‘hotline’ for travellers who find themselves in emergency situations when crossing maritime borders towards EUrope. Its shift-teams offer information, advice and the possibility of raising public alarm, also in order to pressurise (state) rescue services to act. Based on my own engagement in the project, I portray an activist network that acted on the desire to intervene more directly in a deadly space that is often considered a ‘maritime void’ or as ‘reserved’ for state and EU (border) authorities. I argue that the Alarm Phone’s transformative political potentiality arises precisely from its capacity to connect its constitutive engagement in (under the surface) mobile commons that facilitate ‘unauthorised’ human movement with public campaigns that call f...</p>",NO,Stierl M.,2016-06-24 07:30:28,70,Citizenship Studies,"13621025,14693593",1.0,2.0,1.9,Taylor & Francis,20.0,5.0,561-578
10.1177/0003122415618991,Grievances and the Genesis of Rebellion,"<p> Rebellious collective action is rare, but it can occur when subordinates are severely discontented and other circumstances are favorable. The possibility of rebellion is a check—sometimes the only check—on authoritarian rule. Although mutinies in which crews seized control of their vessels were rare events, they occurred throughout the Age of Sail. To explain the occurrence of this form of high-risk collective action, this article holds that shipboard grievances were the principal cause of mutiny. However, not all grievances are equal in this respect. We distinguish between structural grievances that flow from incumbency in a subordinate social position and incidental grievances that incumbents have no expectation of suffering. Based on a case-control analysis of incidents of mutiny compared with controls drawn from a unique database of Royal Navy voyages from 1740 to 1820, in addition to a wealth of qualitative evidence, we find that mutiny was most likely to occur when structural grievances were combined with incidental ones. This finding has implications for understanding the causes of rebellion and the attainment of legitimate social order more generally. </p>",NO,"Hechter M., Pfaff S., Underwood P.",2015-12-18 07:30:28,48,American Sociological Review,"00031224,19398271",1.0,1.0,6.2,SAGE,81.0,1.0,165-189
10.1016/j.geoforum.2015.04.009,Labour struggles and the formation of demands: The spatial politics of Red Clydeside,"<p>This paper combines labour history and labour geography through an analysis of the making of labour demands in Glasgow during the early twentieth century. The paper asserts how revisiting histories such as Red Clydeside reveals complexities within labour movements and links to more recent debates within labour geography. Archival research provides a relational account of the place-based politics of Glasgow that emerged during the forty hours movement in 1919. This allows the paper to juxtapose the broader international linkages forged by Scottish workers alongside racialised hostilities within the city. In particular, the paper compares and contrasts the progressive internationalism of the strike newspaper with the Broomielaw race riot between local and foreign sailors during the same month as the strike. This comparison also raises the longer-term trajectories of labour grievances to foreground the ambivalent and contested nature of labour demands, identities and histories. In particular, the paper pays close attention to contrasting practices of labour internationalism emerging from the relevant archives. This historical approach makes a broader contribution to debates within labour geography by engaging with the complexities and tensions of labour organising and demand making.</p>",NO,Griffin P.,2015-06-01 07:30:28,12,Geoforum,"00167185,18729398",1.0,1.0,3.1,Elsevier,62.0,,121-130
10.1068/d14148p,"Wet Ontologies, Fluid Spaces: Giving Depth to Volume through Oceanic Thinking","<p>This paper expands on recent attempts to destabilise the static, bordered, and linear framings that typify human geographical studies of place, territory, and time. In a world conceptualised as open, immanent, and ever-becoming, scholars have turned away from notions of fixity towards fluidity and flow, and, in so doing, have developed networked, ‘flat’ ontologies. Recent attempts have gone further, challenging the horizontalism inherent in such approaches by opening up a vertical world of volume. In this paper we contend that such approaches are still somewhat lacking. The vertical element of volume is all too often abstract and dematerialised; the emphasis on materiality that is typically used to rectify this excess of abstraction tends to reproduce a sense of matter as fixed and grounded; and the temporality that is employed to reintroduce ‘motion’ to matter has the unintended effect of signalling a periodised sense of time that minimises the chaotic underpinnings and experiences of place. We argue that the ocean is an ideal spatial foundation for addressing these challenges since it is indisputably voluminous, stubbornly material, and unmistakably undergoing continual reformation, and that a ‘wet ontology’ can reinvigorate, redirect, and reshape debates that are all too often restricted by terrestrial limits.</p>",NO,"Steinberg P., Peters K.",2015-04-01 07:30:28,569,Environment and Planning D: Society and Space,"02637758,14723433",1.0,1.0,2.5,SAGE,33.0,2.0,247-264
10.1007/978-1-137-40216-5,Social Movements and Globalization,,NO,Fominaya C.F.,2014-01-01 07:30:28,91,,,,,,,,,
10.1016/j.geoforum.2013.03.013,"Identity and the assemblages of protest: The spatial politics of the Royal Indian Navy Mutiny, 1946","<p>This paper develops geographical understandings of political action by examining the Royal Indian Navy Mutiny of 1946 using assemblage theory. This Mutiny of colonial armed forces has generally been characterised in one of three ways: as part of a post-World War Two nationalist ‘upsurge’ in India; as a sign of poor military organisation, and; as a potentially revolutionary moment against a dominant bourgeoisie. It is argued that each of these perspectives is incomplete. Rather, by examining the ways in which naval service shaped the lives of the sailors and their political outlook, the paper argues that the hybrid and contested political identities produced are best understood through utilising assemblage theory. Assemblage theory stresses the nature of society as a series of always emergent processes, with different components interacting and potentially producing new societal forms. Therefore, the sailors involved in the RIN Mutiny emerged as political actors through their engagement with multiple aspects of life as they experienced it as individuals. This has important implications for understanding the geographies of political protest more generally by showing how individuals are able to reformulate their political identities as part of wider assemblages.</p>",NO,Davies A.,2013-08-01 07:30:28,19,Geoforum,"00167185,18729398",1.0,1.0,3.1,Elsevier,48.0,,24-32
10.4324/9780203083710,Understanding European Movements,,NO,,2013-07-18 07:30:28,80,,,,,,,,,
10.1080/14788810.2013.785192,Of other seas: metaphors and materialities in maritime regions,"<p>Even as ocean-region-based studies gain popularity, they all too often fail to engage the aqueous center that lies at the heart of every maritime community. Studies that seek to highlight political–economic connections across ocean basins tend to ignore the sea altogether, while those that highlight it as a site for challenging modernist notions of identity and subjectivity tend to treat the ocean solely as a metaphor. In contrast, this article argues that in order for ocean-region-based studies to reach their potential, the ocean must be engaged as a material space characterized by movement and continual reformation across all of its dimensions. Drawing on a range of theories, from conceptualizations of more-than-human assemblages to the oceanographic modeling techniques of Lagrangian fluid dynamics, this article proposes a perspective that highlights the liquidity of the ocean, so that the sea is seen not just as a space that facilitates movement between a region's nodes but as one that, throug...</p>",NO,Steinberg P.E.,2013-06-01 07:30:28,190,Atlantic Studies : Global Currents,"14788810,17404649",1.0,1.0,0.5,Taylor & Francis,10.0,2.0,156-169
10.1017/CBO9781139177146,"NGOs, Civil Society, and the Public Sphere","<p>Nongovernmental organizations act on behalf of citizens in politics and society. Yet many question their legitimacy and ask who they speak for. This book investigates how NGOs can become stronger advocates for citizens and better representatives of their interests. Sabine Lang analyzes the choices that NGOs face in their work for policy change between working in institutional settings and practicing public advocacy that incorporates constituents' voices. Whereas most books on NGOs focus on policy effectiveness, using approaches that treat accountability largely as a matter of internal performance measurements, Lang instead argues that it is ultimately several public accountabilities that inform NGO legitimacy. The case studies in this book use empirical research from the European Union, the United States and Germany to point to governments' role in redefining the conditions for NGOs' public advocacy.</p>",NO,Lang S.,2012-10-15 07:30:28,65,,,,,,,,,
10.1016/j.emospa.2010.10.003,Touched by water: The body in scuba diving,"<p>Focusing on the leisure practice of scuba diving, I examine how ’touch’ works as a sense experienced through material engagement with the aquatic world for both physical and metaphorical effect. Technologically facilitated and environmentally positioned, scuba diving brings together the distal and the proximate to produce a particular experience of space and a particular mobilisation of emotion. The paper positions itself within the conceptual context of embodiment in order to consider corporeality in terms of its visceral and material capacities that effect and direct movement, as well as the experience of the sensuous via an engagement with the diving environment. In doing so, it draws upon work within the social sciences that has acknowledged the importance of an embodied engagement with environments that are seen as therapeutic or restorative for their ability to instil a sense of well-being and calm through a re-centering of the self. Drawing out the meditative capacities of scuba diving, the paper considers the aquatic world as, for some divers, a therapeutic landscape.</p>",NO,Straughan E.R.,2012-02-01 07:30:28,86,"Emotion, Space and Society","17554586,18780040",1.0,2.0,1.7,Elsevier,5.0,1.0,19-26
10.1080/14788810.2011.562349,Saltwater anti-slavery: American abolitionists on the Atlantic Ocean in the Age of Steam,"<p>Despite the explosion of interdisciplinary interest in the Atlantic world, the Atlantic Ocean itself is often quickly passed over in studies of transatlantic abolitionism. However, this essay briefly considers what we might learn about abolitionists from a perspective that treats the ocean as a “place” in its own right. American abolitionists in the mid-nineteenth century made numerous Atlantic crossings, and the crossings themselves – often aboard transatlantic steamships – offered significant and unique opportunities for abolitionist activism and self-fashioning. The architecture of the transatlantic passenger ship created a particular set of opportunities and constraints for political activism, while the experience of being on the ocean afforded abolitionist travelers unique opportunities for personal reflections on their political ideals and their self-transformation. By focusing on “saltwater anti-slavery” – defined here as the experiences of nineteenth-century American abolitionists at sea ...</p>",NO,McDaniel W.C.,2011-06-01 07:30:28,4,Atlantic Studies : Global Currents,"14788810,17404649",1.0,1.0,0.5,Taylor & Francis,8.0,2.0,141-163
10.1002/9781444319514,The Rise of the Network Society,,NO,Castells M.,2009-08-10 07:30:28,1236,,,,,,,,,
10.1080/00045600902931702,"Sovereignty, Territory, and the Mapping of Mobility: A View from the Outside",<p>Theorists within and beyond the discipline of geography increasingly realize that boundaries are not simply lines that enclose and define territories. Boundaries also regulate and are reproduced by...</p>,NO,Steinberg P.E.,2009-07-08 07:30:28,103,Annals of the Association of American Geographers,"00045608,14678306",0.0,0.0,,Taylor & Francis,99.0,3.0,467-495
10.1016/j.geoforum.2009.05.003,"Translocal assemblages: Space, power and social movements","<p>In this paper, I deploy an analytic of ‘translocal assemblage’ as a means for conceptualising space and power in social movements. I offer a relational topology that is open to how actors within movements construct different spatial imaginaries and practices in their work. In using the prefix ‘translocal’, I am signifying three orientations. First, translocal assemblages are composites of place-based social movements which exchange ideas, knowledge, practices, materials and resources across sites. Second, assemblage is an attempt to emphasise that translocal social movements are more than just the connections between sites. Sites in translocal assemblages have more depth than the notion of ‘node’ or ‘point’ suggests – as connoted by network – in terms of their histories, the labour required to produce them, and their inevitable capacity to exceed the connections between other groups or places in the movement. Third, they are not simply a spatial category, output, or resultant formation, but signify doing, performance and events. I examine the potential of assemblage to offer an alternative account to that of the ‘network’, the predominant and often de facto concept used in discussions of the spatiality of social movements. I draw on examples from one particular translocal assemblage based in and beyond Mumbai which campaigns on housing within informal settlements: Slum/Shack Dwellers International.</p>",NO,McFarlane C.,2009-07-01 07:30:28,390,Geoforum,"00167185,18729398",1.0,1.0,3.1,Elsevier,40.0,4.0,561-567
10.1093/acprof:oso/9780199557783.001.0001,Social Movements and Europeanization,,NO,"della Porta D., Caiani M.",2009-05-14 07:30:28,155,,,,,,,,,
10.1215/9780822389170,Networking Futures,,NO,Juris J.S.,2008-01-01 07:30:28,418,,,,,,,,,
