"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Reorientasi Pembangunan Pesisir melalui Keadilan Biru: Studi Kasus Komunitas Nelayan di Kenjeran, Surabaya","https://scispace.com/papers/reorientasi-pembangunan-pesisir-melalui-keadilan-biru-studi-xhx70ugu4v9a","2025","Journal Article","JSPH (Jurnal Sosiologi Pendidikan Humanis)","Wardatul Adawiah
Khalid Syaifullah
Nur'aini Inayah","10.17977/um021v10i12025p113-132","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses blue‑justice lens to highlight inequitable labor conditions, examines state and corporate power in coastal planning, foregrounds fairness and community participation, focuses on fisheries within the blue‑economy framework.","The blue economy approach is increasingly being defined and developed as a sustainable development strategy for coastal areas, helping structural adaptation that integrates ecological sustainability. However, without considering the dimension of social justice, the implementation of the blue economy has the potential to perpetuate long-standing inequalities in coastal areas. The blue justice approach emerges as a normative correction emphasising the importance of fair distribution of benefits, recognition of coastal communities' rights and local knowledge, and meaningful participation in decision-making. This study was conducted among the Fishing Community in the Kenjeran Coastal Area, Surabaya, using a qualitative approach with in-depth interviews and observations. This study found that the fishing community in Kenjeran is now facing serious challenges in terms of socio-ecological justice. Inequality in access to marine space, marginalisation of local knowledge, and low community involvement in the planning process reinforce the vulnerability of coastal communities to climate change and large-scale coastal development. The implementation of a blue economy focused exclusively on growth risks exacerbating the structural injustices that have long burdened vulnerable groups such as small-scale fishermen and coastal women. Therefore, integrating a blue justice approach is urgent to ensure that coastal development is not only ecologically sustainable but also socially just, institutionally participatory, and culturally contextual."
"Exploring social justice in marine spatial planning: planner and stakeholder perspectives and experiences in the Baltic Sea Region","https://scispace.com/papers/exploring-social-justice-in-marine-spatial-planning-planner-5dncm89k7o","2023","Journal Article","Journal of Environmental Planning and Management","Ignė Stalmokaitė
Ralph Tafon
Fred Saunders
Kira Gee
Michael Gilek
Aurelija Armoškaitė
Anda Ikauniece
Maciej Matczak
Jakub Turski
Jacek Zaucha","10.1080/09640568.2023.2279512","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses MSP interviews to reveal how planners’ power shapes recognition for fisheries, tourism, and shipping; foregrounds social‑justice and stakeholder participation; touches on labor inequities but not detailed stratification.","This article contributes to the increasing traction of social justice in marine spatial planning (MSP) by exploring perceptions and experiences of social justice from the viewpoint of planners and different social groups who were included and (self)excluded in MSP processes. The study builds on empirical material from Poland, Latvia, and Germany consisting of interviews, MSP legislation, and documents that were analysed through the lens of a multidimensional social justice framework centring on recognition, representation, distribution, and capabilities. Results indicate that MSP institutional arrangements constrain possibilities for marginalised and less consolidated actor groups (residents, coastal tourism, and small-scale fisheries) to enjoy the same degree of recognition that is given to groups representing strategic national interests (renewable energy and shipping). We also highlight the role of planners’ self-reflectivity in enhancing/depriving capabilities of vulnerable social groups whose wellbeing and multidimensional relationships with the sea call for institutional responses adaptive to specific planning contexts."
"Optimizing Blue Justice in the Protection of Small-Scale Fishermen in the Coastal Region of Yogyakarta","https://scispace.com/papers/optimizing-blue-justice-in-the-protection-of-small-scale-ixc22vnonucl","2025","Proceedings Article","IOP conference series","Fifiana Wisnaeni
Amalia Diamantina
Indarja Indarja
Aji Bayu Sejati
Muhammad Gusti Firjatullah","10.1088/1755-1315/1537/1/012012","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses Blue Justice to expose labor inequalities in Yogyakarta fisheries, highlights small‑scale fishers' rights, offers policy ideas, and focuses on the fisheries sector.","Abstract Indonesia, a country which has abundant marine natural resources and it is faced with significant challenges in efforts to manage coastal resources sustainably. The Yogyakarta Regional Coastal Area has great fisheries potential, experiencing various problems related to injustice in resource distribution, the dominance of large industrial actors, and ecosystem damage due to fisheries activities that are not environmentally friendly. Blue Justice provides a theoretical and practical framework to encourage the creation of a sustainable fisheries management system by emphasizing aspects of social justice and access rights for small-scale fishers to fisheries resources. The Blue Justice concept focuses on efforts to address inequality in marine resource management, ensure protection of coastal ecosystems, and empower fishing communities in order to achieve inclusive and sustainable fisheries development. This research aims to analyze the optimizing of the Blue Justice concept in fisheries management in the coastal area of Yogyakarta, as well as formulate policies which can strengthen the position of small-scale fishers in an effort to preserve the environment and improve the welfare of coastal communities. This research is expected to provide involvement in the development of marine resource management models that are sharper, more equitable, and fair to the needs of ecosystems and local communities."
"Role of women in the Blue economy in Kenya: Study on Maritime Industry in Mombasa County","https://ir-library.ku.ac.ke/bitstream/123456789/24526/1/Role%20of%20Women%20in%20Blue%20Economy%20in%20Kenya....pdf","","","","QA Atieno","","https://ir-library.ku.ac.ke/bitstream/123456789/24526/1/Role%20of%20Women%20in%20Blue%20Economy%20in%20Kenya....pdf","No","2","0A5HAfs9krYJ","","","","","","","","","Google Scholar","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses gender‑focused analysis to reveal labor hierarchies in Kenya's maritime sector; links institutional roles to these dynamics; highlights equity and participation issues; directly examines ports/shipping within the blue‑economy framework.",""
"‘We Are the Oceans, We Are the People!’: Fisher People’s Struggles for Blue Justice","https://scispace.com/papers/we-are-the-oceans-we-are-the-people-fisher-peoples-struggles-89qg6yppuw51","","","","Irmak Ertor","10.1080/03066150.2021.1999932","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 67/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses Blue Justice framework to map fisher conflicts, exposing institutional power struggles and community agency in fisheries; touches on labor hierarchies but not as a core analysis.","Fisher people and their communities around the world have been key social actors in seafood production and they are still feeding the world with about two-thirds of the catches destined for direct human consumption. However, they are subjected to a wide range of injustices due to coastal and offshore investment projects and the inequalities embedded in the global capitalist marine economy. These injustices are manifested through socio-environmental conflicts, which have been studied and mapped in the Environmental Justice Atlas (EJAtlas) together with other social actors' resistances. This article examines 120 fisher folk conflicts that have been identified, documented and mapped in the EJAtlas, while proposing a Blue Justice framework to understand their underlying causes and how fisher people confront such injustices. As a grounded theoretical approach emerging from the scrutiny of fisher resistances and building on environmental justice, critical marine sociology and political economy literatures, the Blue Justice framework proposed here focuses on three dimensions: (i) material and biophysical dimension, (ii) spatial justice, and (iii) autonomy and sovereignty. In adopting this framework, this analysis reveals the blue layers of environmental justice by uncovering both the causes of conflicts faced by fisher communities and their political agency."
"Ocean and Society, 2025, Volume 2 Into the (Gendered) Blue: New Perspectives on Gender Equality and Participation in Blue Growth","https://www.cogitatiopress.com/oceanandsociety/issue/download/401/406","","","","D by Typografia
K Svels
M Schreiber
K Ounanian","","https://www.cogitatiopress.com/oceanandsociety/issue/download/401/406","No","","iYYpcZ3hl7AJ","","","","","","","","","Google Scholar","- **Relevance Score:** 67/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses gender‑focused employment data to reveal labor hierarchies in fisheries and aquaculture; discusses how institutions shape and justify these patterns; foregrounds equity and stakeholder participation; explicitly covers fisheries and aquaculture sectors.",""
"Fishing for justice: Human rights, development, and fisheries sector reform","https://www.sciencedirect.com/science/article/pii/S0959378014001010","2014","Journal Article","Global Environmental Change-human and Policy Dimensions","Blake D. Ratner
Björn Åsgård
Edward H. Allison","10.1016/J.GLOENVCHA.2014.05.006","","Yes","172","h4dGzLQtpd8J","","","","","","","","","SciSpace","- **Relevance Score:** 67/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses fisheries case studies to expose forced labor, child labor, and gender‑based violence, linking rights violations to sector reform; analyzes state and corporate power contests; foregrounds human‑rights advocacy and community participation; focuses on fisheries as a core blue‑economy sector.","A review of case law and other documentation of human rights issues in fishing communities highlights forced evictions, detention without trial, child labour, forced labour and unsafe working conditions, and violence and personal security, including gender-based violence, as key areas of concern. We argue that human rights violations undermine current attempts to reform the fisheries sector in developing countries by increasing the vulnerability and marginalization of certain groups. Citing cases from India, the Philippines, Cambodia, and South Africa, we show how human rights advocacy can be an effective element of support for development in fisheries. Finally, we outline how fisheries reform can better address human rights issues as an essential complement to the equitable allocation of fishing rights, contributing to improved resource management and human wellbeing."
"Equity and access to fishing rights: exploring the community quota program in the Gulf of Alaska","https://www.tandfonline.com/doi/abs/10.17730/humo.70.3.d686u2r7j2267055","2011","Journal Article","Human Organization","Courtney Carothers","10.17730/HUMO.70.3.D686U2R7J2267055","https://www.researchgate.net/profile/Courtney-Carothers/publication/276963593_Equity_and_Access_to_Fishing_Rights_Exploring_the_Community_Quota_Program_in_the_Gulf_of_Alaska/links/55ad6d1508aed614b097b3bb/Equity-and-Access-to-Fishing-Rights-Exploring-the-Community-Quota-Program-in-the-Gulf-of-Alaska.pdf","No","77","GSYclwhm0AwJ","","","","","","","","","SciSpace","- **Relevance Score:** 67/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses community quota program to illustrate equity and power dynamics in Alaskan fisheries; examines state and corporate authority, legitimacy contests, and indigenous participation; highlights social‑justice concerns; focuses on fisheries sector within blue‑economy.","The right to fish has been privatized for most commercial fisheries in Alaska. Policies that limit and commodify fishing rights have had disproportionately negative effects on certain communities and certain groups of participants. For a complex set of reasons, small, remote, primarily indigenous fishing communities in Alaska tend to be disadvantaged by the switch to privatized fishing rights. The Community Quota Program implemented in the Gulf of Alaska in 2005 was designed to provide a mechanism to redistribute wealth in two privatized-access fisheries. In this article, I explore the political history of this program and the concept of equity implicit in its formation. Drawing on ethnographic fieldwork conducted in the Kodiak Archipelago, I examine the participation possibilities and challenges experienced in three eligible fishing villages. I conclude with a discussion of the repoliticization of fisheries privatization and emerging social movements that are opening up more fertile spaces for creating n..."
"In the power of power: the understated aspect of fisheries and coastal management","https://www.tandfonline.com/doi/abs/10.17730/humo.66.4.a836621h2k5x46m2","2007","Journal Article","Human Organization","Svein Jentoft","10.17730/HUMO.66.4.A836621H2K5X46M2","","No","193","rDYTCVeIejcJ","","","","","","","","","SciSpace","- **Relevance Score:** 67/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses power analysis to examine fisheries governance, highlighting institutional legitimacy and inequity; mentions justice concerns but lacks detailed labor hierarchy analysis.","As with other forms of governance, fisheries, and coastal management rests ultimately on power; power to decide, enforce, and implement management decisions. Power is in this sense a productive force. Without it, managers could not do their job. But power can also be disruptive, corruptive, and, hence, negative. It can be used to block management initiatives and/or to make management serve special interests, creating thus inequity and injustice. Therefore, power in fisheries and coastal management involves potentials as well as risks, making it one of the key challenges in institutional design. Yet, although power is perhaps the most central issue in social science, a literature search on power in fisheries and coastal management research yields very little. We may wonder why this is so. But what is power in the first place? Where does power sit? And what does power actually do? How can fisheries and coastal management benefit from the way social scientists have debated these questions? This paper attempt..."
"Exploring the winners and losers of marine environmental governance/Marine spatial planning: Cui bono?/“More than fishy business”: epistemology, integration and conflict in …","https://www.tandfonline.com/doi/abs/10.1080/14649357.2015.1131482","","","","W Flannery
G Ellis
G Ellis
W Flannery","","https://www.tandfonline.com/doi/pdf/10.1080/14649357.2015.1131482","No","193","-Zype3KBODwJ","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Analyzes institutional power and legitimacy in marine governance, foregrounds equity and stakeholder participation, focuses on fisheries sector, but only loosely touches on labor hierarchies.",""
"A review of women's access to fish in small-scale fisheries","https://search.proquest.com/openview/724e00529fda2d745549a06e27c521bf/1?pq-origsite=gscholar&cbl=237324","","","","A Lentisco
RU Lee","","","No","109","lJ69I81_CC8J","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses women's access to fish to foreground equity and decision‑making in small‑scale fisheries; discusses fisheries sector directly; touches on gendered work hierarchies and institutional arrangements, but does not centre broader blue‑economy labor stratification or deep power‑legitimacy analysis.",""
"Towards Ocean Equity","https://scispace.com/papers/towards-ocean-equity-3rcpksyu","2023","Book Chapter","","Kochin, Aloexander V.","10.1007/978-3-031-16277-0_13","https://scispace.com/pdf/towards-ocean-equity-3rcpksyu.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 64/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses gender‑transformative analysis to address equity in fisheries and offshore infrastructure, examines state and corporate power dynamics, and highlights participation of coastal communities, but lacks detailed labor hierarchy mapping.","Abstract The blue economy is being promoted as capable of achieving sustainability and prosperity, fair use of the ocean and the UN Sustainable Development Goals (SDGs). Ensuring a more equitable distribution of goods and services provided by the ocean represents a major challenge. There is overwhelming evidence that current access to ocean benefits and resources, as well as exposure to harms, is distributed inequitably. This results in negative effects on the environment and human health, loss of livelihoods, limited financial opportunities for vulnerable groups and challenges to nutritional and food security. Powerful interests (including states, communities and economic entities) benefit from existing arrangements. Challenging inequality represents a direct threat to such interests. Inequality is increasingly influencing economic development and political stability. Current and recent examples of social unrest are closely associated with concerns about inequality, climate change, corruption and related societal problems perceived as having an unfair impact. Increased scientific attention to inequality is starting to shape debates associated with the ocean. We argue that there is a general policy blindness to instruments and practices that maintain the unfair status quo, but that there are remedies to such blindness. The purpose of this Blue Paper is to explore ocean inequities and suggest approaches for the just inclusion of diverse actors in the blue economy agenda and the equitable distribution of ocean benefits. First, we define inequity terms and their drivers, as well as how they affect sustainability. Second, we explore policies and practices that have (or have not) worked in favour of equity, while also promoting ecological sustainability. Finally, we provide opportunities for action for policymakers, funding and research institutions, international and non-governmental organisations, business leadership as well as civil society to address systemic aspects of inequities along a spectrum of ambitions, from basic to transformative. These opportunities for action are not intended as alternatives. They constitute complementary and reinforcing action to support and inform pathways to a sustainable and just ocean economy."
