ListName,Value,Alias_PL,Notes
BINARY,tasted/untasted,odczute smakowo/nieodczute smakowo,"Air/sea spray taste sensations; indicators: aerosol salinity events, dust taste complaints."
BINARY,embodied/disembodied,ucieleśnione/odcieleśnione,Participatory bodily engagement vs abstracted mediation; indicators: in-water access vs fenced-off viewing.
BINARY,active/inactive,aktywne/nieaktywne,"Operational status; indicators: berth utilization %, cranes running, public space dwell time."
BINARY,immersed/un-immersed,zanurzone/niezanurzone,"Degree of immersion in water/media; indicators: bathing sites, VR exhibits vs arm’s-length viewing."
BINARY,warm/cold,ciepłe/zimne,Thermal state; indicators: WBGT/UTCI readings compared to comfort thresholds.
BINARY,safe/threat,bezpieczne/zagrażające,"Perceived/actual risk; indicators: accident rates, crime stats, hazard signage density."
BINARY,settled/unsettled,oswojone/nieoswojone,"Place comfort vs disorientation; indicators: wayfinding success, complaint rates after changes."
BINARY,positive/negative,pozytywne/negatywne,"Sentiment polarity; indicators: NLP sentiment of comments, survey Likerts."
BINARY,enacted/suppressed,performowane/tłumione,"Whether practices can occur; indicators: number of permits issued/denied, protest allowances."
PERFORMANCE,Economy,Gospodarka,"Economic performance of the port-city system; indicators: GVA of maritime cluster, TEU/tonnage, employment, multiplier effects."
PERFORMANCE,Technology (Infrastructure),Technologia (Infrastruktura),"Tech systems and innovation; indicators: shore power (MW), hydrogen bunkering, electrified equipment share, berth depth, quay length."
PERFORMANCE,Politics,Polityka,"Power, governance, regulation; indicators: planning decisions, permitting durations, stakeholder pacts, policy coherence."
PERFORMANCE,Culture,Kultura,"Values, identity, heritage; indicators: cultural events in port areas, heritage reuse, maritime narratives in curricula."
PERFORMANCE,Environment,Środowisko,"Ecological performance; indicators: CO₂e per tonne handled, NOx/SOx, water quality (WFD status), biodiversity in docks."
PERFORMANCE,Health & Safety,Zdrowie i Bezpieczeństwo,"Human health and safety; indicators: accident frequency, near-port PM2.5, noise exposure % population, H&S audits."
PERFORMANCE,Social Justice,Sprawiedliwość Społeczna,"Equity and participation; indicators: participation diversity, burden/benefit distribution, just transition measures."
PERFORMANCE,Energy Transition,Transformacja energetyczna,"Shift to low-carbon systems; indicators: % renewables in port energy mix, shore power uptake, green corridors, offshore wind O&M jobs."
SUBSYSTEM,Economy,Ekonomia,"Payment/non-payment, pricing; indicators: port tariffs, subsidies, externalities valuation."
SUBSYSTEM,Law,Prawo,"Legal frames; indicators: EIA/SEA compliance, concession terms, liability regimes."
SUBSYSTEM,Science,Nauka,"Evidence base; indicators: monitoring networks, open data portals, research partnerships."
SUBSYSTEM,Politics,Polityka,"Power/opposition; indicators: election pledges on port energy, council votes, lobbying registers."
SUBSYSTEM,Culture,Kultura,Recognition/exclusion; indicators: representation of port narratives in museums/media.
SUBSYSTEM,Education,Edukacja,"Learning/ignorance; indicators: maritime/STEM programs, citizen science participation."
SUBSYSTEM,Health,Zdrowie,"Wellness/illness; indicators: respiratory admissions near port, occupational health stats."
SUBSYSTEM,Media,Media,"Information/misinformation; indicators: fact-checks, framing analysis of port debates."
SUBSYSTEM,Energy,Energetyka,"Supply, grids, fuels; indicators: grid capacity to port, LNG/H₂/Ammonia infrastructure, resilience metrics."
EMOTION,calm,spokój,Peaceful state; measured via self-report Likert and observed loitering without stress cues.
EMOTION,pride,duma,"Positive achievement feeling; indicators: local pride scores, celebratory events on port milestones."
EMOTION,anxiety,niepokój,"Worry/concern; indicators: risk perception surveys during transitions, protest turnout."
EMOTION,anger,złość,"Frustration/indignation; indicators: complaint spikes, social media anger lexicon."
EMOTION,curiosity,ciekawość,"Interest/exploration; indicators: museum/port tour attendance, QR code scans in-situ."
EMOTION,fear,strach,"Threat perception; indicators: avoidance of areas after dark, hazard salience in interviews."
EMOTION,hope,nadzieja,"Positive expectation; indicators: support for clean projects, willingness to co-create."
EMOTION,frustration,frustracja,"Blocked goals; indicators: stalled projects sentiment, repeated objections."
EMOTION,excitement,podniecenie,"Energy/enthusiasm; indicators: volunteer sign-ups, event buzz metrics."
EMOTION,sadness,smutek,"Loss/melancholy; indicators: narratives on heritage loss, declines in place attachment."
EMOTION,confusion,zmieszanie,"Lack of clarity; indicators: misunderstanding of plans, contradictory media frames."
EMOTION,empowerment,wzmocnienie,"Agency/capability; indicators: co-decision instances, community-led pilots."
EMOTION,alienation,wyobcowanie,"Estrangement; indicators: ‘city turned back to water’ narratives, fenced waterfront share."
EMOTION,solidarity,solidarność,"Unity/support; indicators: cross-stakeholder coalitions, strike/aid actions."
EMOTION,resignation,rezygnacja,"Acceptance of limits; indicators: fatigue in participation, ‘nothing will change’ quotes."
EMOTION,calm,spokój,Peaceful state; measured via self-report Likert and observed loitering without stress cues.
EMOTION,pride,duma,"Positive achievement feeling; indicators: local pride scores, celebratory events on port milestones."
EMOTION,anxiety,niepokój,"Worry/concern; indicators: risk perception surveys during transitions, protest turnout."
EMOTION,anger,złość,"Frustration/indignation; indicators: complaint spikes, social media anger lexicon."
EMOTION,curiosity,ciekawość,"Interest/exploration; indicators: museum/port tour attendance, QR code scans in-situ."
SCALE,Local,Lokalna,Neighbourhood/terminal scale; indicators: 0.5–5 km effects and benefits.
SCALE,Regional,Regionalna,"Metro/hinterland; indicators: commuting sheds, logistics corridors."
SCALE,National,Krajowa,"State-level; indicators: national policy targets, TEN-T nodes status."
SCALE,European,Europejska,"EU scale; indicators: EU Green Deal alignment, CEF/TEN‑T funding."
SCALE,Global,Globalna,"World trade/oceanic; indicators: green corridors, IMO compliance."
SCALE,Planetary,Planetarna,"Earth system; indicators: CO₂ budget compatibility, SDG synergies."
CONFLICT,Economic vs Environmental,Gospodarcze vs środowiskowe,"Jobs vs nature, costs vs benefits; indicators: cost–benefit with externalities, ecological status trade‑offs."
CONFLICT,Local vs Regional,Lokalne vs regionalne,Community impact vs broader benefits; indicators: distributional analysis across scales.
CONFLICT,Present vs Future,Teraźniejsze vs przyszłe,"Immediate disruption vs long-term gains; indicators: discount rates, intergenerational equity metrics."
CONFLICT,Human vs More-than-Human,Ludzkie vs więcej‑niż‑ludzkie,"Anthropocentric vs ecological concerns; indicators: habitat connectivity, nonhuman actant mapping."
CONFLICT,Participation vs Expertise,Partycpacja vs ekspertyza,"Community voice vs technical knowledge; indicators: co-design ratio, expert-dominance index."
CONFLICT,Individual vs Collective,Indywidualne vs zbiorowe,"Personal impact vs common good; indicators: NIMBY/YIMBY balance, compensation schemes."
CONFLICT,Certainty vs Uncertainty,Pewność vs niepewność,"Known risks vs unknown consequences; indicators: scenario ranges, adaptive pathways in plans."
CONFLICT,Visible vs Invisible,Widoczne vs niewidoczne,"Obvious vs hidden effects; indicators: mapping of buried pipelines, out-of-sight emissions."
CONFLICT,Just Transition vs Competitiveness,Sprawiedliwa transformacja vs konkurencyjność,"Worker/community protections vs cost pressures; indicators: reskilling spend per worker, price impacts."
CONFLICT,Blue Growth vs Biodiversity,Niebieski wzrost vs bioróżnorodność,"Maritime economy expansion vs ecosystem health; indicators: MPAs overlap with projects, net gain targets."
CONFLICT,Energy Security vs Local Impacts,Bezpieczeństwo energetyczne vs skutki lokalne,Reliability of supply vs nuisance; indicators: blackout risk vs noise/visual intrusion indices.
CONFLICT,Heritage vs New Energy Infrastructure,Dziedzictwo vs nowa infrastruktura energ.,"Protection of historic assets vs new plants; indicators: heritage impact assessments, co-location solutions."
STAKEHOLDER,HAROPA Port,HAROPA Port,Zarząd i operatorzy kompleksu portowego Le Havre–Rouen–Paryż.
STAKEHOLDER,Le Havre Seine Métropole,Le Havre Seine Métropole,Władze metropolitalne odpowiedzialne za planowanie i usługi publiczne.
STAKEHOLDER,Normandy Region,Region Normandia,"Władze regionalne, polityki gospodarcze i transportowe."
STAKEHOLDER,ENGIE H2 consortium,konsorcjum ENGIE H2,Podmiot rozwijający zielony wodór i powiązane instalacje.
STAKEHOLDER,TotalEnergies / Yara / Petro-chem cluster,TotalEnergies / Yara / klaster petrochemiczny,"Przemysł ciężki i chemiczny, odbiorcy H₂, amoniaku, paliw syntetycznych."
STAKEHOLDER,Terminal operators (TNMSC etc.),Operatorzy terminali (TNMSC i in.),Podmioty prowadzące przeładunek i logistykę terminalową.
STAKEHOLDER,CGT Dockers’ Union,Związek Dokerów CGT,"Reprezentacja pracownicza, warunki pracy, strajki."
STAKEHOLDER,Transition Le Havre / NGOs,Transition Le Havre / NGO,"Organizacje obywatelskie, klimat, sprawiedliwość środowiskowa."
STAKEHOLDER,Residents (near-port),Mieszkańcy (strefy przyportowej),Użytkownicy narażeni na oddziaływania i korzystający z benefitów.
STAKEHOLDER,Université Le Havre / Labs,Uniwersytet w Hawrze / laboratoria,Zaplecze wiedzy i badań stosowanych dla transformacji.
STAKEHOLDER,Tourists / Visitors,Turyści / odwiedzający,"Publiczność krótkoterminowa, wizerunek miasta portowego."
STAKEHOLDER,Port Authority,Zarząd Portu,"Właściciel/zarządca infrastruktury, koordynacja transformacji."
STAKEHOLDER,Grid Operator,Operator sieci przesyłowej,"Integracja OZE, moce przyłączeniowe, bezpieczeństwo systemu."
STAKEHOLDER,Offshore wind developers,Deweloperzy morskich farm wiatrowych,"Dostawcy mocy OZE, nowe łańcuchy dostaw."
STAKEHOLDER,Fishermen / Marine users,Rybacy / użytkownicy morza,Interesy gospodarcze i ekosystemowe na akwenach.
STAKEHOLDER,Cultural institutions / Museums,Instytucje kultury / muzea,"Mediacja port‑miasto, dziedzictwo, wyobraźnia morska."
ROLE,MC/WG member,Członek MC/WG,"Członek ciała koordynującego prace (np. COST), łącznik wiedzy i praktyk."
ROLE,Port professional,Praktyk portowy,Operator/planista zarządzający infrastrukturą i ruchem.
ROLE,Local resident,Mieszkaniec lokalny,"Interesariusz terytorialny, doświadczający skutków i benefitów."
ROLE,Researcher/Student,Badacz/Student,"Producent wiedzy, uczestnik badań terenowych i współ‑projektowania."
ROLE,Visitor/Tourist,Gość/Turysta,"Użytkownik czasowy, test wizerunku i dostępności."
ROLE,NGO/Activist,NGO/Aktywista,Rzecznik interesu publicznego i więcej‑niż‑ludzkiego.
ROLE,Policy maker/Planner,Decydent/Planista,Tworzy ramy regulacyjne i przestrzenne transformacji.
ROLE,Engineer/Technologist,Inżynier/Technolog,"Projektuje i wdraża technologie (H₂, cold‑ironing, magazyny energii)."
ROLE,Artist/Curator,Artysta/Kurator,"Kształtuje wyobraźnię portowości, mediacje i krytyczne performanse."
ROLE,Journalist,Dziennikarz,"Upublicznia konflikty i decyzje, tworzy ramy debaty."
