sector,provider,query,record_count
Ocean Observation and Data Infrastructure,scopus,ocean data governance FAIR principles,0
Ocean Observation and Data Infrastructure,wos,ocean data governance FAIR principles,0
Ocean Observation and Data Infrastructure,scival,ocean data governance FAIR principles,0
Ocean Observation and Data Infrastructure,crossref,satellite oceanography marine spatial planning,1
Ocean Observation and Data Infrastructure,scopus,satellite oceanography marine spatial planning,0
Ocean Observation and Data Infrastructure,wos,satellite oceanography marine spatial planning,0
Ocean Observation and Data Infrastructure,scival,satellite oceanography marine spatial planning,0
Blue Skills and Education,crossref,blue skills maritime education ocean literacy,1
Blue Skills and Education,scopus,blue skills maritime education ocean literacy,0
Blue Skills and Education,wos,blue skills maritime education ocean literacy,0
Blue Skills and Education,scival,blue skills maritime education ocean literacy,0
Blue Skills and Education,crossref,marine vocational training blue workforce,0
Blue Skills and Education,scopus,marine vocational training blue workforce,0
Blue Skills and Education,wos,marine vocational training blue workforce,0
Blue Skills and Education,scival,marine vocational training blue workforce,0
Blue Skills and Education,crossref,ocean education sustainability competences,0
Blue Skills and Education,scopus,ocean education sustainability competences,0
Blue Skills and Education,wos,ocean education sustainability competences,0
Blue Skills and Education,scival,ocean education sustainability competences,0
