fragment_id,hypothesis_id,hypothesis_label,hypothesis_ids,signal_id,evidence_id,run_id,sector,axis_group,axis_code,signal_type,demand_phrase,matched_hypothesis_phrase,theory_term_family,indicator_family,semantic_fragment,evidence_surface,semantic_scope,evidence_text_hash,classifier_version,manual_review_status,validity_warning
fragment:signal:0188a3dcd8fab415c1d5c0ac62628dd4712d7ef3161dc6cf11d67f9117c523d6:H3:f656c78bc046,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0188a3dcd8fab415c1d5c0ac62628dd4712d7ef3161dc6cf11d67f9117c523d6,evidence:doi:10.1007/s41055-026-00212-5,30178365958-1,blue_biotech,MARINE,M,sustainability_skill,sustainability,planetary,,oceanic_planetary,sustainability,title+subject,title+subject,a0690b641c5185c408f7c3fabe0837eeed83086cc4b339177953c7a2c06419b5,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:02201ca14244e63e6e836d126a7e802bff439d911ddee13803f737f153b0fb49:H3:3da0b61e01e4,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:02201ca14244e63e6e836d126a7e802bff439d911ddee13803f737f153b0fb49,evidence:doi:10.66793/intraders2bookchapter,30178365958-1,blue_biotech,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,66c85ca3df05aaf20a8daf1c71169dda9a13e76d9598b434d5ba0acbfe2a0914,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0282d1cdb936e84834eda38dc28b7c1f1f897e8f05f3fa82954ef7c98ee68275:H3:59756f464fa5,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0282d1cdb936e84834eda38dc28b7c1f1f897e8f05f3fa82954ef7c98ee68275,evidence:doi:10.13189/eer.2026.140306,30178365958-1,coastal_tourism,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,9c03fd528d668ae655ee4c7e8b5d71af36dab3bf5771545913b6ad529a78887b,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:02a4befc6a8b4c5dadf0995218b67b7b3bf37194f091df97140215eabebab9f1:H3:a8100734d462,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:02a4befc6a8b4c5dadf0995218b67b7b3bf37194f091df97140215eabebab9f1,evidence:doi:10.1017/s2047102526100338,30178365958-1,blue_biotech,MARINE,M,policy_regulation_skill,law,marine,,marine_ecological,law,title+subject,title+subject,d4e282623f06b71fae25b33e29755e1986ddabc8db0a5b31adbaf0b6216e9101,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:02a519fa468e46dfb69685fc787f7c8cdc3da8fee3d996cf6c2fa804304cdc8c:H3:d555e104abff,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:02a519fa468e46dfb69685fc787f7c8cdc3da8fee3d996cf6c2fa804304cdc8c,evidence:doi:10.1007/978-3-032-26565-4_4,30178365958-1,blue_biotech,OCEANIC,O,digital_skill,machine learning,marine,,marine_ecological,machine learning,title,title,9da80463ca1892dd628d665a2266caf39e9adf7877e37e0890b4bdae76f69e61,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:02c17416d255c58fe7ceefd754c89f911b69231e901123a61bdb4430a1dce802:H3:65dfbe6150dc,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:02c17416d255c58fe7ceefd754c89f911b69231e901123a61bdb4430a1dce802,evidence:doi:10.1016/j.ancene.2026.100561,30178365958-1,non_living_res,MARINE,M,governance_skill,governance,marine,,marine_ecological,governance,title+subject,title+subject,a4d11e408d6487ba18e4cb1007a196ecdefc70419776913c7f91838ac5dfd033,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:02d5bd2aaa23f76ed194499d4f7c54d52522dde3bb4853a12df08a1fc4731244:H3:3bd075c7a208,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:02d5bd2aaa23f76ed194499d4f7c54d52522dde3bb4853a12df08a1fc4731244,evidence:doi:10.28978/nesciences.1811102,30178365958-1,blue_biotech,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,2f86a027ef2f3604897cb865ddfa7703705f0bff7774227b1f178438ec2bc083,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:034db97ec899d39a343500adc4cb00c0b81f1b07aeb84b8b68a797a6bfb53ad2:H3:5be7ce998161,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:034db97ec899d39a343500adc4cb00c0b81f1b07aeb84b8b68a797a6bfb53ad2,evidence:doi:10.58440/ihr-29-a04,30178365958-1,non_living_res,MARINE,M,safety_risk_skill,safety,marine,,marine_ecological,safety,title+subject,title+subject,53224815705a201e176a7ac6d50d2e418868a15ead1b85965930e40e036d2b90,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0379a9c4ea52cf6c0c89cd8868755f270c90a628faddcb3a6484a1a8effcea95:H3:6fb0dc430f20,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0379a9c4ea52cf6c0c89cd8868755f270c90a628faddcb3a6484a1a8effcea95,evidence:doi:10.56578/cis140202,30178365958-1,maritime_defence,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,22c0c4be1682d54fcaef2522e3cfac693b846a5bf1649422e224539077c36f19,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:03875c895b5515c544d15db2dd398573490da01c092bd8f0b8e90931c122f88b:H3:06c6f5f188c5,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:03875c895b5515c544d15db2dd398573490da01c092bd8f0b8e90931c122f88b,evidence:doi:10.3389/fmars.2026.1723529,30178365958-1,blue_biotech,MARINE,M,technical_skill,technology,marine,,marine_ecological,technology,title+subject,title+subject,f2611985f3d2283b098b7188cad15c077e386bd5852a821cc15aa70caa6005a5,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:03e71abca63e6bf38989ca67d45a9e4f4c6665280666e3eb21da529fbce348d8:H3:7c0fe87ea93e,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:03e71abca63e6bf38989ca67d45a9e4f4c6665280666e3eb21da529fbce348d8,evidence:doi:10.1038/s44183-026-00226-w,30178365958-1,living_res,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,d8a29c8a4e5d55f6e4c2050c6e33cecf751330f7f705eaf3fa9dbb7296d3a9e0,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0489cdb327fff742009d7b89d3e253ad4d8dc3f65c0dd4a2d46b6931409770be:H3:c5664e7d58e2,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0489cdb327fff742009d7b89d3e253ad4d8dc3f65c0dd4a2d46b6931409770be,evidence:doi:10.54536/jebs.v2i1.6957,30178365958-1,blue_biotech,MARINE,M,technical_skill,technology,marine,,marine_ecological,technology,title+subject,title+subject,31047f57ae9a971b1a342c76e64700dc6792e7101cdd2319ca6f7d8e7d8874c7,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:049e1fb04bc059f0582723a1bfec2726a17b2ed6812f91a97416e68e8db5d113:H3:79fa14426dfc,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:049e1fb04bc059f0582723a1bfec2726a17b2ed6812f91a97416e68e8db5d113,evidence:doi:10.1007/s13280-025-02289-4,30178365958-1,non_living_res,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,103d671b6d68bd4803bb780390c7730c2a24ade58a5dcc85a99e6b2f5f0a1ed0,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:050537850060b692845f84091385a00196417b7b69bc25bc4c7234275d3a684b:H3:04a638cf5c88,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:050537850060b692845f84091385a00196417b7b69bc25bc4c7234275d3a684b,evidence:doi:10.3390/jmse13050855,30178365958-1,non_living_res,MARINE,M,sustainability_skill,sustainable,marine,,marine_ecological,sustainable,title+subject,title+subject,9083523668a53108b8a81fc4d871af096b9ba0669622b023226302be278e3c64,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:0582201965699f96ad09ea6d4fb10b826e56c29a4b339858f19ea1cdc125ad74:H3:1a2155b72b22,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0582201965699f96ad09ea6d4fb10b826e56c29a4b339858f19ea1cdc125ad74,evidence:doi:10.30564/jees.v8i1.12988,30178365958-1,living_res,MARINE,M,sustainability_skill,sustainability,ecological,,marine_ecological,sustainability,title+subject,title+subject,e34ba35f3f4c30c9b5b012d8d0f87f0dbf0357d76cfa6b28e465c5aeba3e89ed,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:05c04a4e8f3b24e0847099ddec808615214204c0704895a47a1db58b905da79a:H3:b1eca04e07a7,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:05c04a4e8f3b24e0847099ddec808615214204c0704895a47a1db58b905da79a,evidence:doi:10.1007/978-3-032-14477-5_12,30178365958-1,non_living_res,OCEANIC,O,governance_skill,governance,marine,,marine_ecological,governance,title+subject,title+subject,d5f9d01e76719d2d40ffd9778b816e3d59ca703cf9d2517d5e5f89ab03084564,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:062e84bceb4542873307aaaa7a4bbd62cbfb82a645e6211f1079ed09e94dd18e:H3:39ba69c67ca2,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:062e84bceb4542873307aaaa7a4bbd62cbfb82a645e6211f1079ed09e94dd18e,evidence:doi:10.12957/rmi.2025.86287,30178365958-1,living_res,OCEANIC,O,sustainability_skill,sustainable,marine,,marine_ecological,sustainable,title+subject,title+subject,5c6a6f5e0051ea36aed6c38474ff1835db6884cebe29d0bbde19032aa621fa81,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:0647e863f3fce97635324261c8a30c944eb80cb87ec1c01a29adf080445b0b0a:H3:d41c979ca65a,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0647e863f3fce97635324261c8a30c944eb80cb87ec1c01a29adf080445b0b0a,evidence:doi:10.1007/s11625-026-01868-y,30178365958-1,living_res,MARINE,M,governance_skill,governance,marine,,marine_ecological,governance,title+subject,title+subject,48281aaf6a87f05a7a53cb80673ec213ccf2cd1661565c49707042b815ebdaf4,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:065718f31df2f17af68128e657002a5e9fe7b7e5f796ebef3846fa511030d430:H3:4865822775db,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:065718f31df2f17af68128e657002a5e9fe7b7e5f796ebef3846fa511030d430,evidence:doi:10.1016/j.crsus.2026.100709,30178365958-1,coastal_tourism,OCEANIC,O,sustainability_skill,sustainable,ecological,,marine_ecological,sustainable,title+subject,title+subject,aacfd2ea9b24b3c7beb4c694deb1fafdd75abe56bd285a798a4ee076955d648b,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:066d1ac333b30b1f801cd01aa4904cdb61e147568d237d51abc4fabc6d3d627f:H3:5d439aa8abbd,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:066d1ac333b30b1f801cd01aa4904cdb61e147568d237d51abc4fabc6d3d627f,evidence:doi:10.1038/s44183-026-00191-4,30178365958-1,blue_biotech,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,7f4f91cf4ba4749cae409f88ca28facfc576a39518a3c7ed11cfc60d17783521,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:067b8c1ac99c954820ced1acbc403481bb89a3c282e89cb7cc8d7520214df533:H3:32a3b1757231,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:067b8c1ac99c954820ced1acbc403481bb89a3c282e89cb7cc8d7520214df533,evidence:doi:10.3390/w18050646,30178365958-1,r_i,OCEANIC,O,sustainability_skill,climate,marine,,marine_ecological,climate,title+subject,title+subject,b00d193a67b38ee276b8a417217fe2d06078eb7457a9b3bbe422c44fe0f5b9ea,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:0695c456d1bc90d691a05e91fcce8b12d6931054c7289127932734a9c504ee96:H3:0102cf824322,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0695c456d1bc90d691a05e91fcce8b12d6931054c7289127932734a9c504ee96,evidence:doi:10.13189/eer.2026.140301,30178365958-1,coastal_tourism,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,1bfc5186b6a40d5eb8e1102327b4ee39721b1f43c20b4ced54a9ee2737f4144e,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:069ce7587c1e1fc69a8f3fff7e432309a1889d2093347e6d878296427eadfc03:H3:2e64bb68b938,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:069ce7587c1e1fc69a8f3fff7e432309a1889d2093347e6d878296427eadfc03,evidence:doi:10.1016/j.erss.2025.104367,30178365958-1,non_living_res,MARINE,M,digital_skill,ai,ecological,,marine_ecological,ai,title+subject,title+subject,d5ce0c15c0d8ef372f16a403595299206f3c5e8ab4a15ce78005852d8e208ab6,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:070d1e9ab1fca6bd69e7c6017b760946b3ea02443c51a9ee4025c216851e2297:H1:93fc20ba9a2b,H1,Maritimisation Shift,H1,signal:070d1e9ab1fca6bd69e7c6017b760946b3ea02443c51a9ee4025c216851e2297,evidence:doi:10.1016/j.rsma.2021.101822,30178365958-1,maritime_defence,MARITIME,T,governance_skill,governance,ocean governance,,oceanic_governance,governance,title,title,b2b60a5168ea907afb5984d970e8b011084d8e307e4b386fd2ce5f618734233d,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:07b73f585d81f1a4743d771db948da300f2b469938510425067256b8452b275c:H3:268361e02511,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:07b73f585d81f1a4743d771db948da300f2b469938510425067256b8452b275c,evidence:doi:10.1016/j.ssci.2026.107370,30178365958-1,maritime_transport,OCEANIC,O,safety_risk_skill,risk,marine,,marine_ecological,risk,title,title,fd7e5536e60ef7c1467ed8ed36424e48641b1a2e0edda887c4635d1d4890443a,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:07e7106c4fd48c10f33162c9b88e3bc7a451ba9c36af6efae8474b942934c0c1:H3:be19ed92804d,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:07e7106c4fd48c10f33162c9b88e3bc7a451ba9c36af6efae8474b942934c0c1,evidence:doi:10.1080/23789689.2026.2674348,30178365958-1,maritime_defence,OCEANIC,O,safety_risk_skill,hazard,marine,,marine_ecological,hazard,title+subject,title+subject,e860458928acb2ded21f9f0f0feaa1132664355848864eb21be0e4986a25607c,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:07ea78dff741bb0e4bd319618db309801a0333713a4583ad9f79d7d7718ef72e:H3:3b6897f29b7c,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:07ea78dff741bb0e4bd319618db309801a0333713a4583ad9f79d7d7718ef72e,evidence:doi:10.3389/feart.2026.1750984,30178365958-1,maritime_defence,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,d3b28dc7007b8fb722619d844476ffaa8394f6125e7a1e738590466b5627d976,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:07ec2dee0e049aa11b50cb4e3bfc56b93b9598d10b46fa006db0c23c39ead85a:H3:76e90c3fee6a,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:07ec2dee0e049aa11b50cb4e3bfc56b93b9598d10b46fa006db0c23c39ead85a,evidence:doi:10.70102/ijares/v6s3/6-s3-876,30178365958-1,living_res,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,e536836f82dfda2044626a3993ca529a2245b3f116475298ed365fd471446412,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:0874428c7a2b9a3661d0ac43495c4755997b53112ff13ab87bf2c16ccfe52719:H3:28199ee4b214,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0874428c7a2b9a3661d0ac43495c4755997b53112ff13ab87bf2c16ccfe52719,evidence:doi:10.3389/fmars.2025.1734688,30178365958-1,blue_biotech,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,5d7e7926188241f659cb4b96549094c2f1d04608396d9776a497e6a9151482bc,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:08b212a0fcce7a04d2c647326e942f9dfe08b37291ca79dccdf0909de7808115:H3:0d6a3a68c87f,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:08b212a0fcce7a04d2c647326e942f9dfe08b37291ca79dccdf0909de7808115,evidence:doi:10.1038/s44183-026-00189-y,30178365958-1,living_res,MARINE,M,governance_skill,governance,marine,,marine_ecological,governance,title+subject,title+subject,d3ca8f88cf4740db212f293d5cb7b49cc7f70b81fe77ec3080a974b5b868d356,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:08b81ea4037412a3bdab9f52fb52643290fa5e916f3f1f198343ba8a5b3de54f:H3:c52a7bdc3db8,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:08b81ea4037412a3bdab9f52fb52643290fa5e916f3f1f198343ba8a5b3de54f,evidence:doi:10.1007/s40152-024-00385-x,30178365958-1,living_res,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,679b711ca974f85418d0aa4a7b40aab38a54c9b91fe55b0081f9e3370735bb9a,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:08e897ee3376e4843f66256e1a14b18854800d4a83dee48398cc922b4ba64f8e:H3:0513f0473dbd,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:08e897ee3376e4843f66256e1a14b18854800d4a83dee48398cc922b4ba64f8e,evidence:doi:10.1016/j.rsase.2026.102175,30178365958-1,living_res,MARINE,M,sustainability_skill,climate,marine,,marine_ecological,climate,title+subject,title+subject,f0424efcedbe08892fbd2f80ccae2b3511139f867e4f7f27e141b6b4a4b10ffb,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:08ea3cb7c59d7c015d48de511504d1471f5b7ebe3cbaf69717e028c47d783d2b:H3:a041bb24858f,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:08ea3cb7c59d7c015d48de511504d1471f5b7ebe3cbaf69717e028c47d783d2b,evidence:doi:10.5821/dissertation-2117-460960,30178365958-1,renewable_energy,OCEANIC,O,technical_skill,engineering,marine,,marine_ecological,engineering,title+subject,title+subject,fe1e06544ed61364bce9b573a39729b613753142b844ef20a00ea1ce5b575014,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0936bde6ea40383e100eefd9a8fd62b352abfb32a3a368598ec733a564d51990:H3:c87384c8cd56,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0936bde6ea40383e100eefd9a8fd62b352abfb32a3a368598ec733a564d51990,evidence:doi:10.1016/j.marpolbul.2026.119902,30178365958-1,coastal_tourism,OCEANIC,O,safety_risk_skill,risk,ecological,,marine_ecological,risk,title,title,f5205a1dc87e5b0c1ac80fec4807a1038d3421af1569caab353b4df5dac15070,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:096330125974e0c687d60fe11c5be167804e3e3d91d90d15265f72b32782e3eb:H3:77d1425faeda,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:096330125974e0c687d60fe11c5be167804e3e3d91d90d15265f72b32782e3eb,evidence:doi:10.1111/1468-2230.12923,30178365958-1,non_living_res,MARINE,M,social_science_skill,sociology,marine,,marine_ecological,sociology,title+subject,title+subject,32bfb29588b483cc12109d2108ab6bdbaf77c0d24f0c221b025a47cecd2c3112,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0964aa9ad3ce1782beabc2d34cef3f62756db540bb997749f1ba3341a459f273:H3:914182201a71,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0964aa9ad3ce1782beabc2d34cef3f62756db540bb997749f1ba3341a459f273,evidence:doi:10.1007/s13753-026-00721-1,30178365958-1,non_living_res,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,f0716d4d3bd3b90694898ec8f6f437bfb42a46e65a01ba40859ab0b5a39a0a05,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:096715b4dd8c88930bc88ffc670bc20fb5fb1cfd7f87bf33edfc0e90c9302c38:H3:e8e36dd04462,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:096715b4dd8c88930bc88ffc670bc20fb5fb1cfd7f87bf33edfc0e90c9302c38,evidence:doi:10.55463/issn.1674-2974.53.6.4,30178365958-1,living_res,MARINE,M,safety_risk_skill,risk,marine,,marine_ecological,risk,title+subject,title+subject,9a0cc1c6c6fdbe0ad8b83cf9a64888e789fc6056831ba93edbba6ca6f764d943,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0972aaa04f1ccd3607dd49b3aec4d301d20c61175c73551100a0ea915d9e49f2:H3:3feac93a6ad6,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0972aaa04f1ccd3607dd49b3aec4d301d20c61175c73551100a0ea915d9e49f2,evidence:doi:10.47616/jamrsss.v7i1.700,30178365958-1,coastal_tourism,OCEANIC,O,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,24a90e38b9f5ccdf879a43fd8a6a59e33a85440f33cd11a86937f48d0dba74e9,cumulative-db-semantic-v1,review_required,metadata_only_limitation
