"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Short Introductory Note on Maritime Sociology","https://scispace.com/paper/a-short-introductory-note-on-maritime-sociology-27jer3qi3o","2015","","","Frank Sowa
Agnieszka Kołodziej-Durnaś","","","The topic of the sea and society is not new to sociology. Maritime spaces include oceans as well as coastal areas, spaces which are at risk nowadays. Ecological crises (overfishing, decline in biodiversity, climate change, eutrophication, ocean pollution), economic crises (de-industrialization, whaling moratorium, structural change, development of alternative industries) and cultural crises (destabilization of collective identities of seaside and island inhabitants, cultural practices of sharing, inhabitants’ knowledge, local traditions, transformations of maritime professions) cumulate in these maritime spaces. So far research on maritime issues is dominated by natural science disciplines. The protection of maritime natural sources and the need for sustainable development demands research on the ‘human factor’ and a sociological perspective on maritime spaces.","The topic of the sea and society is not new to sociology as discussed by the authors, and maritime spaces include oceans as well as coastal areas, spaces which are at risk nowadays, such as overfishing, decline in biodiversity, climate change, eutrophication, ocean pollution."
"Theoretical Implications of Maritime Sociology","https://scispace.com/paper/theoretical-implications-of-maritime-sociology-7zs9ui1fta","2013","","","Emilio Cocco","","http://cejsh.icm.edu.pl/cejsh/element/bwmeta1.element.cejsh-f4298881-57c1-42c3-955d-158c907d1acb/c/1_amsXXII_Cocco.pdf","The sea is certainly not one of the favourite research topics of sociology and despite a recent and new popularity among historians and geographers, the sea remains generally a stranger to contemporary sociologists Conversely, I think that to frame and shed light on the wider theoretical implications of maritime sociology would be beneficial to all possible approaches within sociological research In this article I intend to give my contribution to the fulfillment of the expectation of above by discussing the ways sociology can understand the sea as a truly social space, beyond any abstract dichotomies separating “grounded” societies and offshore voids Also, I try to suggest some concrete moves to relocate maritime sociology within the wider sociological debate and to develop the heuristic potential of the sea","The sea is not one of the favourite research topics of sociology and despite a recent and new popularity among historians and geographers, the sea remains generally a stranger to contemporary sociologists as mentioned in this paper."
"Anthropology of and from the Ocean","https://scispace.com/paper/anthropology-of-and-from-the-ocean-4f4nc38az0","2024","Journal Article","Annual Review of Anthropology","Jatin Dua","10.1146/annurev-anthro-041422-012504","","The ocean has a key, though often unremarked role, in shaping everyday life, from impacting weather patterns and food supplies to facilitating, and contesting, systems of capitalism, including contemporary logistics, empires, mobility, and migration. Beginning with early debates on maritime anthropology, this review traces the shift from maritime anthropology to an anthropology of and from the ocean. It notes the ways that the ocean appears and disappears as metaphor or material space of encounter and engagement within the past, present, and possible futures of anthropology. It shows how absence and presence as well as metaphor and materiality are the modes through which oceans are imagined and inhabited. While there is no distinct oceanic turn in anthropology in contrast with a number of other disciplines, the anthropology of and from the ocean holds the possibility to reenergize anthropology's interdisciplinary encounters, including with history and geography, as well as modes of engaging scale and specificity. ","This review explores the ocean's understated impact on everyday life, tracing the shift from maritime anthropology to an anthropology of and from the ocean, highlighting its role in shaping capitalism, mobility, and migration, and reimagining anthropology's interdisciplinary encounters."
"A maritime turn and ocean ontologies in critical heritage studies","https://scispace.com/paper/a-maritime-turn-and-ocean-ontologies-in-critical-heritage-q9rtg442z4","2023","Journal Article","International Journal of Heritage Studies","Tim Winter","10.1080/13527258.2023.2284736","","ABSTRACT This paper calls for a maritime turn in critical heritage theory. Drawing on recent work on ocean and maritime ontologies, it takes up the idea of the ‘ocean in excess’ to argue for a maritime imagination that overcomes the separation of land from water, culture from nature. The paper begins by sketching out the terracentric norms that have come to underpin critical theory around cultural heritage. From there, recent insights on ocean ontologies are cited to show how they can open up new ways of thinking about existing strands of critical heritage work. The second half of the paper turns to the issue of ocean governance and the complex politics that arise from competing ontologies. This provides the foundation for a discussion of the transoceanic heritage discourses that are now emerging, as countries seek regional, come global influence in world affairs. Understanding these and other developments requires moving beyond the earthly, such that we more robustly engage with a multivalent heritage politics that operates across air, water and land.","A maritime turn in critical heritage studies calls for a maritime imagination that overcomes the separation of land from water and culture from nature. It argues for a transoceanic heritage politics that operates across air, water and land."
"L´anthropologie maritime: un domaine en évolution: hors cadre traditionnel de l´anthropologie sociale","https://scispace.com/paper/l-anthropologie-maritime-un-domaine-en-evolution-hors-cadre-56x32dr6x0","2007","","","Aliette Geistdoerfer","","","La antropologia maritima es el estudio de las especificidades tecnicas, sociales y culturales de las sociedades que explotan el mar. Pluridisciplinaridad y la toma en cuenta de las escalas nacionales e internacionales son obligatorias. Estan establecidas una topologia de las sociedades maritimas y sus particularidades irreductibles y estructurales. Junto a una antropologia maritima fundamental, otra antropologia maritima ""activa"" se pone en marcha asi como nuevos ambitos de investigacion.","The antropologia maritima is el estudio de especificidades tecnicas, sociales, and culturales of sociedades that explotan el mar as mentioned in this paper."
"La mer, un construit politique. La privatisation des territoires et des ressources maritimes en acte","https://scispace.com/paper/la-mer-un-construit-politique-la-privatisation-des-3s3kx8dc0d","2021","Journal Article","","Tarik Dahou
Camille Mazé","10.4000/VERTIGO.29593","","Introduction L’ocean, du littoral a la haute mer, n’est pas qu’un objet naturel. En tant que construction sociale (Steinberg, 2001) et objet hautement politique (Maze et al., 2015), il se prete particulierement bien aux approches sociologiques (Hannigan, 2017) et anthropologiques (Geistdoerffer, 2007), notamment pour y mener l’etude des relations de pouvoir (Dahou, 2018). Dans le contexte du developpement durable, cette observation se confirme, tant les tensions qui caracterisent l’ocean, en...","In this article, Dinitz et al. observe that l’ocean, du littoral a la haute mer, n’est pas qu’un objet naturel."
"Degradasi kebudayaan maritim: sejarah, identitas, dan praktik sosial melaut di banten","https://scispace.com/paper/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r","2016","","","Amarulla Octavian
Bayu A Yulianto","10.14203/JMI.V40I2.115","https://scispace.com/pdf/degradasi-kebudayaan-maritim-sejarah-identitas-dan-praktik-rkpytyce1r.pdf","Kolonialisme dianggap sebagai tesis awal yang mengetengahkan meluruhnya kebudayaan maritim nusantara. Kendati demikian, dalam kerangka mengembalikan kebudayaan maritim itu sendiri, pertanyaan terkait representasi peluruhan itu di dalam masyarakat masih perlu dielaborasi lebih jauh. Artikel ini menyajikan proses peluruhan kebudayaan maritim di wilayah Banten, baik dari sisi historis maupun representasi dalam konteks praktik sosial melaut kekinian di masyarakat dalam perspektif sosiologi. Kata Kunci: Kebudayaan, maritim, sejarah, representasi, dan praktik sosial","Kunci as mentioned in this paper menyajikan proses peluruhan kebudayaan maritim di wilayah Banten, baik dari sisi historis maupun representasi dalam konteks praktik sosial melaut kekinian di masyarakat dalam perspektif sosiologi."
"The transformation of the oceans and the future of marine social science","https://scispace.com/paper/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh","2018","Journal Article","Maritime Studies","Peter Arbo
Maaike Knol
Sebastian Linke
Kevin St. Martin","10.1007/S40152-018-0117-5","https://scispace.com/pdf/the-transformation-of-the-oceans-and-the-future-of-marine-tjj5e431yh.pdf","The oceans have become a juncture of great visions of blue growth as well as strong environmental concern. This paper discusses the essential role of the social sciences as the oceans increasingly emerge as a contested social arena. The marine social sciences have generated a vast knowledge about the development of fisheries and the implications of fisheries policies on coastal communities. We review this heritage and show that it makes the marine social sciences well qualified to address contemporary challenges raised by the increasing ambitions of exploiting and conserving the world’s oceans. However, with the current transformation of the oceans as sites of comprehensive industrialization, captured in the concept of blue growth, we argue that marine social scientists need to rethink their research objectives. This requires a reflection on the lessons learned from decades of engagement with fisheries and fisheries policy to understand and intervene in processes and practices of modernization, science-based management, and privatization of resources. We suggest how the marine social sciences can provide new knowledge and actively engage in current developments by studying emergent processes in the marine environment, and the institutions, practices, and discourses that shape them. The social sciences have a responsibility to contribute to growth and conservation issues, and are in the capacity to do so, through formulating governance alternatives, anticipating future trends, imagining desirable futures, and facilitating socially just processes and outcomes.","The marine social sciences have generated a vast knowledge about the development of fisheries and the implications of fisheries policies on coastal communities and are well qualified to address contemporary challenges raised by the increasing ambitions of exploiting and conserving the world's oceans as discussed by the authors."
"Maritime Networks","https://scispace.com/paper/maritime-networks-2dw8smglgr","2023","Book Chapter","","Justin Leidwanger","10.1093/oxfordhb/9780198854265.013.37","","Abstract The ease of movement by sea, particularly over longer distances and with bulky loads, situates maritime networks centrally within the study of large-scale interaction in many past societies. Because these connections were deeply bound not only to environmental and technological factors but also to social, economic, and political processes, maritime network approaches represent simultaneously spatial and social phenomena. This chapter selectively surveys maritime network studies to identify the challenges and opportunities they present, from their dynamic environments to the archaeological datasets—moving objects, ports, ships—on which they are often based. A closer examination of Mediterranean seaborne interaction under the Roman Empire helps to reveal the potential of network thinking and analysis as well as productive areas for future development. Maritime network approaches can facilitate new historical inquiry into interaction with and across the seas and oceans that have been fundamental to the movements of people, goods, and ideas. ","Maritime networks are spatial and social phenomena deeply tied to environmental, technological, social, economic, and political processes. They represent a key area of study in large-scale interaction and offer opportunities for new historical inquiry into interaction with and across the seas and oceans."
"La maritimización y su huella territorial: una trayectoria sociotécnica.: El caso de la Bahía de Pasaia (País Vasco, España)","https://scispace.com/paper/la-maritimizacion-y-su-huella-territorial-una-trayectoria-1lynxwwt2i","2021","","","Enrique Rafael De Rosa Giolito
Eric Foulquier
Iwan Le Berre
Laurence David","10.18055/FINIS23746","https://scispace.com/pdf/la-maritimizacion-y-su-huella-territorial-una-trayectoria-1lynxwwt2i.pdf","The objective of this article is to describe the process of maritimization using the concept of the sociotechnical trajectory of the Bay of Pasaia since the XVI century, date from which cartography is available, up to the present time thanks to the development of geographic information systems (GIS), which allow locating places with precision, by means of maps prepared from existing historical cartographic and documentary sources on the matter. In this exercise, it is proposed to distinguish the events of the ruptures in order to produce a geohistorical synthesis through the elaboration of maps whose purpose is to study the port footprint in a territory over time. The methodology used observation, through the old maps, of the different stages of change and mutation of the city-port relationship and measurement of this process in its spatial dimension. This approach questions the role of a port in the process of territorial construction and, ultimately, allows us to question the legitimacy of decreasing ports to retain a form of authority in terms of territorial development.","In this article, the authors describe the process of maritimization using the concept of the sociotechnical trajectory of the Bay of Pasaia since the XVI century, date from which cartography is available, up to the present time thanks to the development of geographic information systems (GIS), which allow locating places with precision, by means of maps prepared from existing historical cartographic and documentary sources on the matter."
"The ‘Oceanic Turn’ and the Indian Ocean: Maritime Criticism, Cosmopolitanism and Nineteenth-Century Oceanic Culture","https://scispace.com/paper/the-oceanic-turn-and-the-indian-ocean-maritime-criticism-4oavqgrfq8","2021","Book Chapter","","Juan-José Martín-González","10.1007/978-3-030-77056-3_2","","This chapter provides an overview of the ‘Oceanic turn’ in literary-cultural criticism to lay the groundwork for the analysis of Ghosh’s Ibis trilogy from a transoceanic viewpoint. It revisits the traditional view of the ocean as a space out of history and recent challenges to that notion by Indian Ocean scholars. The chapter also analyses the ocean as seen by oceanic subjects, delving on the impact of sea travelling on the migrant’s psyche and identity. This section argues that the in-between character of sea travelling allowed for the fluidity of land-based parameters. For this purpose, I analyse two Indian Ocean figures: the lascar and the indentured labourer. Further on, the chapter pursues a critical analysis of the ship in relation to nineteenth-century maritime history and postcolonial thought by utilising two critical concepts: heterotopia and contact zone. Finally, the chapter provides an overview of sea fiction in relation to the nineteenth century to map the position of Ghosh’s trilogy within the subgenre.","The authors analyzed Ghosh's Ibis trilogy from a transoceanic viewpoint and argued that the in-between character of sea travelling allowed for the fluidity of land-based parameters."
"Jusqu’où va la mer ? Une exploration des marges de l’anthropologie maritime","https://scispace.com/paper/jusqu-ou-va-la-mer-une-exploration-des-marges-de-l-220gm0709e","2018","Journal Article","","Alix Levain
Pauline Laval","10.4000/ETHNOECOLOGIE.3449","https://scispace.com/pdf/jusqu-ou-va-la-mer-une-exploration-des-marges-de-l-220gm0709e.pdf","L’anthropologie maritime federe, depuis les annees 1970, de nombreux travaux sur les societes cotieres. Mettant l’accent sur la singularite de l’experience de la vie en mer, elle s’est jusqu’a present particulierement appuyee sur l’ethnographie comparee des populations de pecheurs en milieu oceanique. Dans les societes vivant aupres des estuaires et des fleuves cotiers, l’influence de la mer se fait aussi sentir sous differentes formes, directes – comme l’intimite avec les milieux aquatiques – ou indirectes. Mais le role que peut jouer leur etude dans le developpement du champ de l’anthropologie maritime reste incertain.En prenant appui sur la comparaison de deux terrains d’enquete liminaux, la peche dans l’estuaire amazonien de l’Oyapock et les conflits socio-environnementaux sur le littoral du Finistere, cet article s’attache a montrer la multiplicite et le caractere changeant des formes de presence de la mer dans les societes ripariennes, estuariennes et rurales. Les marges de l’espace maritime constituent de fait un point d’observation privilegie des transformations materielles et immaterielles qui affectent le rapport aux ecosystemes et aux paysages marins, dans le contexte de leur anthropisation acceleree.Il questionne a nouveaux frais le perimetre de l’anthropologie maritime, en mettant l’accent sur le depassement de la dialectique terre-mer et sur la reflexivite de l’observateur. Pour ce faire, il propose d’envisager la mer comme un systeme continu, dynamique et mouvant et de developper l’approche phenomenologique de l’element marin au dela des societes cotieres.","In this paper, a nouveaux frais le perimetre de l’anthropologie maritime, en mettant l'accent sur le depassement de la dialectique terre-mer and sur la reflexivite de l'observateur."
"Aligning the social sciences with the deep ocean: developments and definitions for a new research agenda","https://scispace.com/paper/aligning-the-social-sciences-with-the-deep-ocean-uamjch08aivp","2025","Journal Article","","Susanna Lidström
Neil Craik","10.5194/oos2025-590","","The deep ocean is connected to people, communities and societies in fundamental and intricate ways, including through regulation of Earth system processes such as the climate but also through direct impacts on economies and wellbeing through resource extraction, distribution of benefits, research practices and governance regimes. While a dedicated community of natural scientists study the nature and particularities of the deep ocean, corresponding deep-sea social sciences are yet to be developed – or named as such. Economists, historians, anthropologists, law scholars and other social scientists have so far worked with different categorisations of the marine realm, focusing on political and legal classifications, such as territorial or coastal waters, exclusive economic zones, and the high seas. However, this horizontal approach to ocean zones reflects a lack of appreciation of the importance of the verticality and three-dimensionality of the ocean space, where the deeper parts of the ocean are fundamentally different from the shallower parts, regardless of whether they are in national or international territories.This paper aims to challenge and revise the traditional horizontal conceptualisation of maritime zones in the social sciences by approaching the deep ocean as a relevant category for studies of human-ocean relationships and investigating the unique social science-dimensions of deep-sea environments. Our intention is to provide a fundamental perspective of how the social sciences may interact with deep-sea definitions developed in the natural sciences over the past couple of decades. Establishing this base, we contend, will provide a sound starting point for identification and investigations of more particular social science concerns and areas of study, such as social, economic and equity impacts from specific deep-sea activities including seabed mining, marine carbon dioxide removal and storage, bioprospecting, pollution, and corresponding governance responses.Our paper draws on a collaboration between social scientists and deep-sea natural scientists, and is an attempt to bridge these fields. The collaborative effort to identify the scientific foundations for treating the deep ocean as a distinct unit of analysis includes a 2024 workshop organised by the Deep Ocean Stewardship Initiative at Scripps Institution of Oceanography, followed by continued efforts to combine diverse perspectives in multiple papers. The study presented here is the main attempt within this broader framework to align social science issues and areas of relevance to the key bio-geo-physical processes, ecosystems and ecological conditions, and challenges and threats that justify the distinct scientific treatment of the deep ocean across disciplines. ","This paper proposes a new research agenda for social sciences to study the deep ocean, challenging traditional horizontal conceptualizations and integrating with natural sciences to investigate human-ocean relationships, social impacts, and governance responses to deep-sea activities."
"The Sea: A History in Movement","https://scispace.com/paper/the-sea-a-history-in-movement-27mfiqqy","2022","Journal Article","Diasporas-histoire Et Societes","Hugo Vermeren","10.4000/diasporas.9196","","Depuis plusieurs années, les recherches consacrées aux mondes professionnels de la pêche ont élargi les perspectives d’une histoire maritime longtemps cloisonnée aux champs militaire et commercial. Attentives aux problématiques environnementales et aux sciences naturelles, elles ont permis de restituer à la mer son historicité propre. Cette contribution revient sur ce tournant historiographique en se focalisant sur les liens entre travail maritime et mobilité. ","In this article , a contribution revient sur ce tournant historiographique en se focalisant sur les liens entre travail maritime and mobilité."
