sector,provider,query,record_count
Coastal Tourism,scopus,coastal tourism climate adaptation resilience just transition safety,0
Coastal Tourism,openalex,coastal tourism climate adaptation resilience just transition safety,150
Coastal Tourism,wos,coastal tourism climate adaptation resilience just transition safety,0
Coastal Tourism,crossref,coastal tourism AI digital twin ocean literacy hydrosocial,0
Coastal Tourism,scopus,coastal tourism AI digital twin ocean literacy hydrosocial,0
Coastal Tourism,openalex,coastal tourism AI digital twin ocean literacy hydrosocial,0
Coastal Tourism,wos,coastal tourism AI digital twin ocean literacy hydrosocial,0
Coastal Tourism,crossref,coastal tourism EQF qualification framework micro-credential learning outcomes,0
Coastal Tourism,scopus,coastal tourism EQF qualification framework micro-credential learning outcomes,0
Coastal Tourism,openalex,coastal tourism EQF qualification framework micro-credential learning outcomes,2
Coastal Tourism,wos,coastal tourism EQF qualification framework micro-credential learning outcomes,0
Coastal Tourism,crossref,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,145
Coastal Tourism,scopus,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Coastal Tourism,openalex,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Coastal Tourism,wos,coastal tourism maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Coastal Tourism,crossref,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,146
Coastal Tourism,scopus,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Coastal Tourism,openalex,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Coastal Tourism,wos,coastal tourism qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Desalination,crossref,desalination brine management environmental impact governance,0
Desalination,scopus,desalination brine management environmental impact governance,4
Desalination,openalex,desalination brine management environmental impact governance,150
Desalination,wos,desalination brine management environmental impact governance,4
Desalination,crossref,desalination water energy nexus sustainability,0
Desalination,scopus,desalination water energy nexus sustainability,132
Desalination,openalex,desalination water energy nexus sustainability,150
Desalination,wos,desalination water energy nexus sustainability,117
Desalination,crossref,desalination hydrosocial water justice governance,0
Desalination,scopus,desalination hydrosocial water justice governance,0
Desalination,openalex,desalination hydrosocial water justice governance,129
Desalination,wos,desalination hydrosocial water justice governance,0
Desalination,crossref,desalination workforce skills competences training professional development,0
Desalination,scopus,desalination workforce skills competences training professional development,0
Desalination,openalex,desalination workforce skills competences training professional development,150
Desalination,wos,desalination workforce skills competences training professional development,0
Desalination,crossref,desalination operator education learning outcomes curriculum qualification,0
Desalination,scopus,desalination operator education learning outcomes curriculum qualification,0
Desalination,openalex,desalination operator education learning outcomes curriculum qualification,17
Desalination,wos,desalination operator education learning outcomes curriculum qualification,0
Desalination,crossref,desalination AI digital twin autonomous systems resilience,0
Desalination,scopus,desalination AI digital twin autonomous systems resilience,0
Desalination,openalex,desalination AI digital twin autonomous systems resilience,150
Desalination,wos,desalination AI digital twin autonomous systems resilience,0
Desalination,crossref,desalination climate adaptation just transition hydrosocial safety,0
Desalination,scopus,desalination climate adaptation just transition hydrosocial safety,0
Desalination,openalex,desalination climate adaptation just transition hydrosocial safety,33
Desalination,wos,desalination climate adaptation just transition hydrosocial safety,0
Desalination,crossref,desalination EQF qualification framework micro-credential learning outcomes,0
Desalination,scopus,desalination EQF qualification framework micro-credential learning outcomes,0
Desalination,openalex,desalination EQF qualification framework micro-credential learning outcomes,0
Desalination,wos,desalination EQF qualification framework micro-credential learning outcomes,0
Desalination,crossref,desalination maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,146
Desalination,scopus,desalination maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Desalination,openalex,desalination maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Desalination,wos,desalination maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Desalination,crossref,desalination qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,147
Desalination,scopus,desalination qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Desalination,openalex,desalination qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Desalination,wos,desalination qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Infra & Robotics,crossref,maritime infrastructure cyber physical systems digital twin,0
Infra & Robotics,scopus,maritime infrastructure cyber physical systems digital twin,10
Infra & Robotics,openalex,maritime infrastructure cyber physical systems digital twin,150
Infra & Robotics,wos,maritime infrastructure cyber physical systems digital twin,7
Infra & Robotics,crossref,offshore robotics marine monitoring autonomous systems,0
Infra & Robotics,scopus,offshore robotics marine monitoring autonomous systems,21
Infra & Robotics,openalex,offshore robotics marine monitoring autonomous systems,150
Infra & Robotics,wos,offshore robotics marine monitoring autonomous systems,17
Infra & Robotics,crossref,smart coastal infrastructure flood risk adaptation,0
Infra & Robotics,scopus,smart coastal infrastructure flood risk adaptation,4
Infra & Robotics,openalex,smart coastal infrastructure flood risk adaptation,150
Infra & Robotics,wos,smart coastal infrastructure flood risk adaptation,8
Infra & Robotics,crossref,offshore robotics workforce skills competences training professional development,0
Infra & Robotics,scopus,offshore robotics workforce skills competences training professional development,0
Infra & Robotics,openalex,offshore robotics workforce skills competences training professional development,150
Infra & Robotics,wos,offshore robotics workforce skills competences training professional development,0
Infra & Robotics,crossref,maritime robotics engineer education learning outcomes curriculum qualification,0
Infra & Robotics,scopus,maritime robotics engineer education learning outcomes curriculum qualification,0
Infra & Robotics,openalex,maritime robotics engineer education learning outcomes curriculum qualification,126
Infra & Robotics,wos,maritime robotics engineer education learning outcomes curriculum qualification,0
Infra & Robotics,crossref,offshore robotics AI digital twin autonomous systems resilience,0
Infra & Robotics,scopus,offshore robotics AI digital twin autonomous systems resilience,0
Infra & Robotics,openalex,offshore robotics AI digital twin autonomous systems resilience,150
Infra & Robotics,wos,offshore robotics AI digital twin autonomous systems resilience,0
Infra & Robotics,crossref,maritime cyber-physical systems climate adaptation safety port-city,0
Infra & Robotics,scopus,maritime cyber-physical systems climate adaptation safety port-city,0
Infra & Robotics,openalex,maritime cyber-physical systems climate adaptation safety port-city,150
Infra & Robotics,wos,maritime cyber-physical systems climate adaptation safety port-city,0
Infra & Robotics,crossref,offshore robotics EQF qualification framework micro-credential learning outcomes,0
Infra & Robotics,scopus,offshore robotics EQF qualification framework micro-credential learning outcomes,0
Infra & Robotics,openalex,offshore robotics EQF qualification framework micro-credential learning outcomes,2
Infra & Robotics,wos,offshore robotics EQF qualification framework micro-credential learning outcomes,0
Infra & Robotics,crossref,infra & robotics maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,145
Infra & Robotics,scopus,infra & robotics maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Infra & Robotics,openalex,infra & robotics maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Infra & Robotics,wos,infra & robotics maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Infra & Robotics,crossref,infra & robotics qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,147
Infra & Robotics,scopus,infra & robotics qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Infra & Robotics,openalex,infra & robotics qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Infra & Robotics,wos,infra & robotics qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Living Res.,crossref,small scale fisheries livelihoods blue economy governance,0
Living Res.,scopus,small scale fisheries livelihoods blue economy governance,19
Living Res.,openalex,small scale fisheries livelihoods blue economy governance,150
Living Res.,wos,small scale fisheries livelihoods blue economy governance,20
Living Res.,crossref,fisheries management sustainability marine protected areas,0
Living Res.,scopus,fisheries management sustainability marine protected areas,150
Living Res.,openalex,fisheries management sustainability marine protected areas,150
Living Res.,wos,fisheries management sustainability marine protected areas,0
Living Res.,crossref,aquaculture social licence environmental impact governance,0
Living Res.,scopus,aquaculture social licence environmental impact governance,3
Living Res.,openalex,aquaculture social licence environmental impact governance,150
Living Res.,wos,aquaculture social licence environmental impact governance,14
Living Res.,crossref,fisheries workforce skills competences training professional development,0
Living Res.,scopus,fisheries workforce skills competences training professional development,0
Living Res.,openalex,fisheries workforce skills competences training professional development,150
Living Res.,wos,fisheries workforce skills competences training professional development,0
Living Res.,crossref,aquaculture education learning outcomes curriculum qualification,0
Living Res.,scopus,aquaculture education learning outcomes curriculum qualification,0
Living Res.,openalex,aquaculture education learning outcomes curriculum qualification,150
Living Res.,wos,aquaculture education learning outcomes curriculum qualification,0
Living Res.,crossref,fisheries AI digital twin resilience climate adaptation just transition,0
Living Res.,scopus,fisheries AI digital twin resilience climate adaptation just transition,0
Living Res.,openalex,fisheries AI digital twin resilience climate adaptation just transition,150
Living Res.,wos,fisheries AI digital twin resilience climate adaptation just transition,0
Living Res.,crossref,small scale fisheries blue economy labour ocean literacy marine governance,142
Living Res.,scopus,small scale fisheries blue economy labour ocean literacy marine governance,0
Living Res.,openalex,small scale fisheries blue economy labour ocean literacy marine governance,150
Living Res.,wos,small scale fisheries blue economy labour ocean literacy marine governance,0
Living Res.,crossref,fisheries aquaculture EQF qualification framework micro-credential learning outcomes,0
Living Res.,scopus,fisheries aquaculture EQF qualification framework micro-credential learning outcomes,0
Living Res.,openalex,fisheries aquaculture EQF qualification framework micro-credential learning outcomes,1
Living Res.,wos,fisheries aquaculture EQF qualification framework micro-credential learning outcomes,0
Living Res.,crossref,living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,145
Living Res.,scopus,living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Living Res.,openalex,living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Living Res.,wos,living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Living Res.,crossref,living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,147
Living Res.,scopus,living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Living Res.,openalex,living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Living Res.,wos,living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Non-living Res.,crossref,seabed mining governance environmental impact social licence,0
Non-living Res.,scopus,seabed mining governance environmental impact social licence,1
Non-living Res.,openalex,seabed mining governance environmental impact social licence,150
Non-living Res.,wos,seabed mining governance environmental impact social licence,2
Non-living Res.,crossref,marine aggregates extraction coastal governance sustainability,4
Non-living Res.,scopus,marine aggregates extraction coastal governance sustainability,0
Non-living Res.,openalex,marine aggregates extraction coastal governance sustainability,150
Non-living Res.,wos,marine aggregates extraction coastal governance sustainability,0
Non-living Res.,crossref,critical raw materials offshore extraction governance,0
Non-living Res.,scopus,critical raw materials offshore extraction governance,0
Non-living Res.,openalex,critical raw materials offshore extraction governance,150
Non-living Res.,wos,critical raw materials offshore extraction governance,0
Non-living Res.,crossref,seabed mining workforce skills competences training professional development,0
Non-living Res.,scopus,seabed mining workforce skills competences training professional development,0
Non-living Res.,openalex,seabed mining workforce skills competences training professional development,61
Non-living Res.,wos,seabed mining workforce skills competences training professional development,0
Non-living Res.,crossref,marine aggregates education learning outcomes curriculum qualification,0
Non-living Res.,scopus,marine aggregates education learning outcomes curriculum qualification,0
Non-living Res.,openalex,marine aggregates education learning outcomes curriculum qualification,150
Non-living Res.,wos,marine aggregates education learning outcomes curriculum qualification,0
Non-living Res.,crossref,seabed mining AI autonomous systems safety climate adaptation,0
Non-living Res.,scopus,seabed mining AI autonomous systems safety climate adaptation,0
Non-living Res.,openalex,seabed mining AI autonomous systems safety climate adaptation,150
Non-living Res.,wos,seabed mining AI autonomous systems safety climate adaptation,0
Non-living Res.,crossref,critical raw materials just transition marine governance blue economy labour,130
Non-living Res.,scopus,critical raw materials just transition marine governance blue economy labour,0
Non-living Res.,openalex,critical raw materials just transition marine governance blue economy labour,150
Non-living Res.,wos,critical raw materials just transition marine governance blue economy labour,0
Non-living Res.,crossref,seabed extraction EQF qualification framework micro-credential learning outcomes,0
Non-living Res.,scopus,seabed extraction EQF qualification framework micro-credential learning outcomes,0
Non-living Res.,openalex,seabed extraction EQF qualification framework micro-credential learning outcomes,0
Non-living Res.,wos,seabed extraction EQF qualification framework micro-credential learning outcomes,0
Non-living Res.,crossref,non-living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,136
Non-living Res.,scopus,non-living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Non-living Res.,openalex,non-living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Non-living Res.,wos,non-living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Non-living Res.,crossref,non-living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,144
Non-living Res.,scopus,non-living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Non-living Res.,openalex,non-living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Non-living Res.,wos,non-living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Renewable Energy,crossref,offshore wind energy marine spatial planning governance,0
Renewable Energy,scopus,offshore wind energy marine spatial planning governance,28
Renewable Energy,openalex,offshore wind energy marine spatial planning governance,150
Renewable Energy,wos,offshore wind energy marine spatial planning governance,27
Renewable Energy,crossref,ocean renewable energy governance sustainability,0
Renewable Energy,scopus,ocean renewable energy governance sustainability,23
Renewable Energy,openalex,ocean renewable energy governance sustainability,150
Renewable Energy,wos,ocean renewable energy governance sustainability,11
Renewable Energy,crossref,tidal energy wave energy environmental impact,0
Renewable Energy,scopus,tidal energy wave energy environmental impact,150
Renewable Energy,openalex,tidal energy wave energy environmental impact,150
Renewable Energy,wos,tidal energy wave energy environmental impact,36
Renewable Energy,crossref,offshore wind workforce skills competences training professional development,0
Renewable Energy,scopus,offshore wind workforce skills competences training professional development,0
Renewable Energy,openalex,offshore wind workforce skills competences training professional development,150
Renewable Energy,wos,offshore wind workforce skills competences training professional development,0
Renewable Energy,crossref,ocean renewable energy education learning outcomes curriculum qualification,0
Renewable Energy,scopus,ocean renewable energy education learning outcomes curriculum qualification,0
Renewable Energy,openalex,ocean renewable energy education learning outcomes curriculum qualification,150
Renewable Energy,wos,ocean renewable energy education learning outcomes curriculum qualification,0
Renewable Energy,crossref,offshore wind AI digital twin autonomous systems resilience,0
Renewable Energy,scopus,offshore wind AI digital twin autonomous systems resilience,0
Renewable Energy,openalex,offshore wind AI digital twin autonomous systems resilience,150
Renewable Energy,wos,offshore wind AI digital twin autonomous systems resilience,0
Renewable Energy,crossref,offshore wind just transition climate adaptation marine governance safety,0
Renewable Energy,scopus,offshore wind just transition climate adaptation marine governance safety,0
Renewable Energy,openalex,offshore wind just transition climate adaptation marine governance safety,150
Renewable Energy,wos,offshore wind just transition climate adaptation marine governance safety,0
Renewable Energy,crossref,offshore renewable energy EQF qualification framework micro-credential learning outcomes,40
Renewable Energy,scopus,offshore renewable energy EQF qualification framework micro-credential learning outcomes,0
Renewable Energy,openalex,offshore renewable energy EQF qualification framework micro-credential learning outcomes,1
Renewable Energy,wos,offshore renewable energy EQF qualification framework micro-credential learning outcomes,0
Renewable Energy,crossref,renewable energy maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,112
Renewable Energy,scopus,renewable energy maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Renewable Energy,openalex,renewable energy maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Renewable Energy,wos,renewable energy maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Renewable Energy,crossref,renewable energy qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,120
Renewable Energy,scopus,renewable energy qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Renewable Energy,openalex,renewable energy qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Renewable Energy,wos,renewable energy qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Defence,crossref,maritime security governance blue economy,0
Maritime Defence,scopus,maritime security governance blue economy,46
Maritime Defence,openalex,maritime security governance blue economy,150
Maritime Defence,wos,maritime security governance blue economy,17
Maritime Defence,crossref,naval operations maritime domain awareness surveillance,19
Maritime Defence,scopus,naval operations maritime domain awareness surveillance,8
Maritime Defence,openalex,naval operations maritime domain awareness surveillance,150
Maritime Defence,wos,naval operations maritime domain awareness surveillance,3
Maritime Defence,crossref,critical maritime infrastructure protection governance,0
Maritime Defence,scopus,critical maritime infrastructure protection governance,9
Maritime Defence,openalex,critical maritime infrastructure protection governance,150
Maritime Defence,wos,critical maritime infrastructure protection governance,8
Maritime Defence,crossref,maritime security workforce skills competences training professional development,0
Maritime Defence,scopus,maritime security workforce skills competences training professional development,1
Maritime Defence,openalex,maritime security workforce skills competences training professional development,150
Maritime Defence,wos,maritime security workforce skills competences training professional development,0
Maritime Defence,crossref,naval operations education learning outcomes curriculum qualification,0
Maritime Defence,scopus,naval operations education learning outcomes curriculum qualification,0
Maritime Defence,openalex,naval operations education learning outcomes curriculum qualification,150
Maritime Defence,wos,naval operations education learning outcomes curriculum qualification,0
Maritime Defence,crossref,maritime domain awareness AI autonomous systems digital twin resilience,0
Maritime Defence,scopus,maritime domain awareness AI autonomous systems digital twin resilience,0
Maritime Defence,openalex,maritime domain awareness AI autonomous systems digital twin resilience,150
Maritime Defence,wos,maritime domain awareness AI autonomous systems digital twin resilience,0
Maritime Defence,crossref,maritime security climate adaptation marine governance safety port-city,0
Maritime Defence,scopus,maritime security climate adaptation marine governance safety port-city,0
Maritime Defence,openalex,maritime security climate adaptation marine governance safety port-city,150
Maritime Defence,wos,maritime security climate adaptation marine governance safety port-city,0
Maritime Defence,crossref,maritime defence EQF qualification framework micro-credential learning outcomes,0
Maritime Defence,scopus,maritime defence EQF qualification framework micro-credential learning outcomes,0
Maritime Defence,openalex,maritime defence EQF qualification framework micro-credential learning outcomes,0
Maritime Defence,wos,maritime defence EQF qualification framework micro-credential learning outcomes,0
Maritime Defence,crossref,maritime defence maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,144
Maritime Defence,scopus,maritime defence maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Defence,openalex,maritime defence maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Defence,wos,maritime defence maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Defence,crossref,maritime defence qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,89
Maritime Defence,scopus,maritime defence qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Defence,openalex,maritime defence qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Defence,wos,maritime defence qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Transport,crossref,maritime transport decarbonization emissions reduction,0
Maritime Transport,scopus,maritime transport decarbonization emissions reduction,144
Maritime Transport,openalex,maritime transport decarbonization emissions reduction,150
Maritime Transport,wos,maritime transport decarbonization emissions reduction,148
Maritime Transport,crossref,shipping governance international regulations IMO,0
Maritime Transport,scopus,shipping governance international regulations IMO,29
Maritime Transport,openalex,shipping governance international regulations IMO,150
Maritime Transport,wos,shipping governance international regulations IMO,26
Maritime Transport,crossref,maritime safety maritime labour conditions,0
Maritime Transport,scopus,maritime safety maritime labour conditions,37
Maritime Transport,openalex,maritime safety maritime labour conditions,150
Maritime Transport,wos,maritime safety maritime labour conditions,21
Maritime Transport,crossref,seafarer workforce skills competences training professional development,0
Maritime Transport,scopus,seafarer workforce skills competences training professional development,1
Maritime Transport,openalex,seafarer workforce skills competences training professional development,150
Maritime Transport,wos,seafarer workforce skills competences training professional development,1
Maritime Transport,crossref,maritime officer education learning outcomes curriculum qualification,0
Maritime Transport,scopus,maritime officer education learning outcomes curriculum qualification,0
Maritime Transport,openalex,maritime officer education learning outcomes curriculum qualification,150
Maritime Transport,wos,maritime officer education learning outcomes curriculum qualification,0
Maritime Transport,crossref,shipping AI digital twin autonomous systems decarbonization resilience,0
Maritime Transport,scopus,shipping AI digital twin autonomous systems decarbonization resilience,0
Maritime Transport,openalex,shipping AI digital twin autonomous systems decarbonization resilience,150
Maritime Transport,wos,shipping AI digital twin autonomous systems decarbonization resilience,0
Maritime Transport,crossref,shipping just transition blue economy labour ocean literacy marine governance safety,144
Maritime Transport,scopus,shipping just transition blue economy labour ocean literacy marine governance safety,0
Maritime Transport,openalex,shipping just transition blue economy labour ocean literacy marine governance safety,73
Maritime Transport,wos,shipping just transition blue economy labour ocean literacy marine governance safety,0
Maritime Transport,crossref,maritime transport EQF qualification framework micro-credential STCW learning outcomes,87
Maritime Transport,scopus,maritime transport EQF qualification framework micro-credential STCW learning outcomes,0
Maritime Transport,openalex,maritime transport EQF qualification framework micro-credential STCW learning outcomes,1
Maritime Transport,wos,maritime transport EQF qualification framework micro-credential STCW learning outcomes,0
Maritime Transport,crossref,maritime transport maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,143
Maritime Transport,scopus,maritime transport maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Transport,openalex,maritime transport maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Transport,wos,maritime transport maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Transport,crossref,maritime transport qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,89
Maritime Transport,scopus,maritime transport qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Transport,openalex,maritime transport qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Transport,wos,maritime transport qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Port Activities,crossref,port governance maritime logistics sustainability,0
Port Activities,scopus,port governance maritime logistics sustainability,29
Port Activities,openalex,port governance maritime logistics sustainability,150
Port Activities,wos,port governance maritime logistics sustainability,18
Port Activities,crossref,smart ports digital transformation port operations,0
Port Activities,scopus,smart ports digital transformation port operations,77
Port Activities,openalex,smart ports digital transformation port operations,150
Port Activities,wos,smart ports digital transformation port operations,43
Port Activities,crossref,port climate adaptation sea level rise flood risk,0
Port Activities,scopus,port climate adaptation sea level rise flood risk,13
Port Activities,openalex,port climate adaptation sea level rise flood risk,150
Port Activities,wos,port climate adaptation sea level rise flood risk,21
Port Activities,crossref,port worker workforce skills competences training professional development,0
Port Activities,scopus,port worker workforce skills competences training professional development,0
Port Activities,openalex,port worker workforce skills competences training professional development,150
Port Activities,wos,port worker workforce skills competences training professional development,0
Port Activities,crossref,port operations education learning outcomes curriculum qualification,0
Port Activities,scopus,port operations education learning outcomes curriculum qualification,0
Port Activities,openalex,port operations education learning outcomes curriculum qualification,150
Port Activities,wos,port operations education learning outcomes curriculum qualification,0
Port Activities,crossref,smart port AI digital twin autonomous systems resilience,0
Port Activities,scopus,smart port AI digital twin autonomous systems resilience,0
