title,authors,year,doi,source_id,provider,language,journal,url,source_query,retrieval_timestamp,licence_note
"A computationally efficient tool for the thermal optimization of salt batteries. Part 1: Derivation, verification and validation of the thermal model","Marco De Piaz, Carmine Sabia, Alessandro Marchisio, Roberto Tibiletti, Alberto Turconi, Andrea Pozzi, Maurizio C. Barbato",2026,10.1016/j.est.2026.122603,crossref:10.1016/j.est.2026.122603,Crossref,,Journal of Energy Storage,https://doi.org/10.1016/j.est.2026.122603,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:07.110464+00:00,Crossref open metadata
A deterministic verification strategy for multidimensional gyrokinetic particle-in-cell algorithms using the method of manufactured solutions,"Paul Tranquilli, Benjamin Sturdevant, Lee Ricketson, Luis Chacón",2026,10.1016/j.jcp.2026.115167,crossref:10.1016/j.jcp.2026.115167,Crossref,,Journal of Computational Physics,https://doi.org/10.1016/j.jcp.2026.115167,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.872021+00:00,Crossref open metadata
A green and sustainable meglumine-catalyzed synthesis of Betti base derivatives,"Mayuri B. Thorat, Aniket N. Timble, Krantisagar S. More, Yatin U. Gadkari",2026,10.1016/j.jics.2026.102868,crossref:10.1016/j.jics.2026.102868,Crossref,,Journal of the Indian Chemical Society,https://doi.org/10.1016/j.jics.2026.102868,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:08.325852+00:00,Crossref open metadata
A green solvent-free method for methylene blue quantification in water by dSPE-DRIFTS using MCM-41 mesoporous silica,"Pedro Martin, Sonia Keunchkarian, Nicolas Fellenz",2026,10.1016/j.saa.2026.128395,crossref:10.1016/j.saa.2026.128395,Crossref,,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,https://doi.org/10.1016/j.saa.2026.128395,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871928+00:00,Crossref open metadata
A hypothesis on the aetiology of adenomyosis: is there an association between cumulative number of menstruations and severity of adenomyosis on ultrasound?,"Eva J.E. de Bock, Cilla Verbeek, Eva Klinkenberg, Jos W.R. Twisk, Nicole B. Burger, Lynda J.M. Juffermans, Judith A.F. Huirne, Robert A. de Leeuw",2026,10.1016/j.eurox.2026.100472,crossref:10.1016/j.eurox.2026.100472,Crossref,,European Journal of Obstetrics &amp; Gynecology and Reproductive Biology: X,https://doi.org/10.1016/j.eurox.2026.100472,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:07.110409+00:00,Crossref open metadata
A methylene blue based electrochemical assay to quantify haemoglobin in blood for point-of-care anaemia diagnosis,"Nerea de Mariscal-Molina, Gonzalo Hernández, Andrew Piper, Marianna Rossetti, Mayka Sánchez, Arben Merkoçi",2026,10.1016/j.bios.2026.119013,crossref:10.1016/j.bios.2026.119013,Crossref,,Biosensors and Bioelectronics,https://doi.org/10.1016/j.bios.2026.119013,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.872031+00:00,Crossref open metadata
A. Principes de base de la méthode de Monte-Carlo,Unknown,2026,10.1051/978-2-7598-3942-1.c004,crossref:10.1051/978-2-7598-3942-1.c004,Crossref,,Simulation de la propagation de particules par la méthode de Monte-Carlo,https://doi.org/10.1051/978-2-7598-3942-1.c004,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871911+00:00,Crossref open metadata
Acid–Base speciation and stability of ceftiofur: overcoming alkaline degradation via point-by-point spectrophotometric analysis,"G.M. Ramos-Reyes, M. Palomar-Pardavé, D.S. Guzmán-Hernández, M.T. Ramírez-Silva, M. Romero-Romo, S. Corona-Avendaño",2026,10.1016/j.saa.2026.128480,crossref:10.1016/j.saa.2026.128480,Crossref,,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,https://doi.org/10.1016/j.saa.2026.128480,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871959+00:00,Crossref open metadata
Aptian sauropod undertracks in damp interdunes: Indicators of water table fluctuations in Southeast Brazil,"Diego Luciano Nascimento, Patrícia Colombo Mescolotti, Filipe Giovanini Varejão, Francisco Sérgio Bernardes Ladeira, Mario Luis Assine",2026,10.1016/j.cretres.2026.106345,crossref:10.1016/j.cretres.2026.106345,Crossref,,Cretaceous Research,https://doi.org/10.1016/j.cretres.2026.106345,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:08.324151+00:00,Crossref open metadata
Assessing convolutional neural networks architectures for orthopantomography image analysis: Judicial dental age threshold classification,"Cristiana Palmela Pereira, António Figueiras, Valon Nushi, Mohamed Elbawab, Alexandre Francisco, Arlindo Oliveira, Cátia Vaz, Rui Santos",2026,10.1016/j.archoralbio.2026.106626,crossref:10.1016/j.archoralbio.2026.106626,Crossref,,Archives of Oral Biology,https://doi.org/10.1016/j.archoralbio.2026.106626,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:08.325876+00:00,Crossref open metadata
"Big-data mechanical indicators for continuous girder bridges based on support reaction monitoring: Equivalent-beam model, decoupling verification, and damage identification application","Dan Danhui, Di Minyi, Yan Xingfei",2026,10.1016/j.engstruct.2026.123413,crossref:10.1016/j.engstruct.2026.123413,Crossref,,Engineering Structures,https://doi.org/10.1016/j.engstruct.2026.123413,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871994+00:00,Crossref open metadata
Biofilms as integrative indicators of global change in freshwaters,"Sergi Sabater, Neus Besolí-Mestres, Francesc Oliva, Javier Ortiz-Rivero, Anna Freixa",2026,10.1016/j.indic.2026.101404,crossref:10.1016/j.indic.2026.101404,Crossref,,Environmental and Sustainability Indicators,https://doi.org/10.1016/j.indic.2026.101404,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:07.111058+00:00,Crossref open metadata
Blue shifted push pull Phenalenone dyes: An unconventional behavior in membranes,"J. Robles-Rivero, C. Silva, Y.H.A. Cho, S.A. Sanchez, R. Ormazábal-Toledo, G. Gunther",2026,10.1016/j.jphotochem.2026.117188,crossref:10.1016/j.jphotochem.2026.117188,Crossref,,Journal of Photochemistry and Photobiology A: Chemistry,https://doi.org/10.1016/j.jphotochem.2026.117188,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:07.110494+00:00,Crossref open metadata
Brief re-reading boosts sleep-related prose memory consolidation,"Serena Malloggi, Francesca Conte, Oreste De Rosa, Letizia Nikehasani, Andrea Farolfi, Stefania Righi, Mattia Varriale, Maria Pia Viggiano, Gianluca Ficca, Fiorenza Giganti",2026,10.1016/j.sleepx.2026.100192,crossref:10.1016/j.sleepx.2026.100192,Crossref,,Sleep Medicine: X,https://doi.org/10.1016/j.sleepx.2026.100192,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871940+00:00,Crossref open metadata
"Broader autism phenotype, the default mode network, and brain entropy: A network-level hypothesis","Souvik Dubey, Sujit Sarkhel, Samya Sengupta, Mahua Jana Dubey, Ritwik Ghosh, Julián Benito-León",2026,10.1016/j.rin.2026.100044,crossref:10.1016/j.rin.2026.100044,Crossref,,Research in Neurodiversity,https://doi.org/10.1016/j.rin.2026.100044,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871990+00:00,Crossref open metadata
Can you see it? Visibility of base-ten units supports children's decomposing more than composing processes,"Mélanie Barilaro, Helena P. Osana, Isabelle Atkins, Monyka L. Rodrigues, Erin A. Maloney, Anne Lafay",2026,10.1016/j.cedpsych.2026.102470,crossref:10.1016/j.cedpsych.2026.102470,Crossref,,Contemporary Educational Psychology,https://doi.org/10.1016/j.cedpsych.2026.102470,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:08.323993+00:00,Crossref open metadata
"CAPÍTULO 3. (RE) CONSTRUCCIÓN, (RE) INTEGRACIÓN DE LO AMBIGUO Y LO MARGINADO (2008-2015)",Unknown,2026,10.31819/9783968699370-004,crossref:10.31819/9783968699370-004,Crossref,,El boom de la memoria en el escenario,https://doi.org/10.31819/9783968699370-004,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871907+00:00,Crossref open metadata
Cardiac fibroblast anisotropy is determined by YAP-dependent cellular contractility and ECM production,"Daniel Pereira-Sousa, Pau Guillamat, Francesco Niro, Vladimír Vinarský, Soraia Fernandes, Marco Cassani, Stefania Pagliari, Xavier Trepat, Marco Rasponi, Jorge Oliver-De La Cruz, Giancarlo Forte",2026,10.1016/j.biomaterials.2026.124205,crossref:10.1016/j.biomaterials.2026.124205,Crossref,,Biomaterials,https://doi.org/10.1016/j.biomaterials.2026.124205,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.872099+00:00,Crossref open metadata
Chapitre II L’entraînement militaire de base,Unknown,2026,10.1515/9782766304400-004,crossref:10.1515/9782766304400-004,Crossref,,Une vie à enseigner la pensée,https://doi.org/10.1515/9782766304400-004,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871895+00:00,Crossref open metadata
"Chapter 4 Fictional Hypothesis, Lived Experience and Re-worlding in The Tempest",Jane Degenhardt,2026,10.3366/9781399520850-008,crossref:10.3366/9781399520850-008,Crossref,,Experiential and Experimental Knowledge on the Early Modern English Stage,https://doi.org/10.3366/9781399520850-008,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871903+00:00,Crossref open metadata
Chapter 7 MEMORIALS THEN AND NOW,"Susan Garza, Kristina Gutierrez, Danyela Fonseca",2026,10.7560/333488-010,crossref:10.7560/333488-010,Crossref,,The Selena Reader,https://doi.org/10.7560/333488-010,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.871887+00:00,Crossref open metadata
Chemical characterization of dissolved organic matter in three blue carbon communities,"Isabel Casal-Porras, Fernando G. Brun, José Lucas Pérez-Lloréns, Eva Zubía",2026,10.1016/j.ecss.2026.110023,crossref:10.1016/j.ecss.2026.110023,Crossref,,"Estuarine, Coastal and Shelf Science",https://doi.org/10.1016/j.ecss.2026.110023,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:04.872058+00:00,Crossref open metadata
"Colorimetric paper-based platform integrating acid-base indicators and polymer modifiers for urease detection: applications in soil, saliva, and microbial samples","Maria Célia Tavares, Mayara Maria Costa Mendes, Ari Souza Guimarães, Vitória Petra de Oliveira Barros, Melissa Fontes Landell, Josué Carinhanha Caldas Santos",2026,10.1016/j.microc.2026.119024,crossref:10.1016/j.microc.2026.119024,Crossref,,Microchemical Journal,https://doi.org/10.1016/j.microc.2026.119024,blue biotech maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,2026-07-25T22:53:07.111091+00:00,Crossref open metadata
