title,authors,year,doi,source_id,provider,language,journal,url,source_query,retrieval_timestamp,licence_note
Disclaimer,Unknown,2024,10.1039/9781837675654-fp008,crossref:10.1039/9781837675654-fp008,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp008,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838308+00:00,Crossref open metadata
Unknown Title,Unknown,,10.3030/654008,crossref:10.3030/654008,Crossref,,,https://doi.org/10.3030/654008,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838312+00:00,Crossref open metadata
Alliance-driven governance and the relationship of firms to territories in the bioeconomy,Nicolas Befort,2022,10.4324/9781003103011-5,crossref:10.4324/9781003103011-5,Crossref,,The Bioeconomy,https://doi.org/10.4324/9781003103011-5,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838316+00:00,Crossref open metadata
Marine Genetic Resources of Blue Economy,"Miracle Uwa Livinus, Sunday Zeal Bala, Mustapha Abdulsalam, Innocent Ojeba Musa, Madinat Hassan, Priscilla Kini",2024,10.1007/978-3-031-68911-6_9,crossref:10.1007/978-3-031-68911-6_9,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_9,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838321+00:00,Crossref open metadata
Front Matter,Unknown,2024,10.1039/9781837675654-fp001,crossref:10.1039/9781837675654-fp001,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp001,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838324+00:00,Crossref open metadata
Subject Index,Unknown,2024,10.1039/9781837675654-00220,crossref:10.1039/9781837675654-00220,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-00220,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838327+00:00,Crossref open metadata
Securing the U.S. Bioeconomy: A Managed Access Framework For Biotechnology Innovation,Jon Judd,2026,10.25498/e4xm5p,crossref:10.25498/e4xm5p,Crossref,,,https://doi.org/10.25498/e4xm5p,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838331+00:00,Crossref open metadata
Blue Biomass Production for Renewable Energy,"K. Ukoba, M. I. Adeoba, Samuel Fatoba, T. C. Jen",2024,10.1007/978-3-031-68911-6_14,crossref:10.1007/978-3-031-68911-6_14,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_14,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838335+00:00,Crossref open metadata
"From Marine Carbon Dioxide Removal to Circular Blue Bioeconomy: A Systematic Review of Seaweed Cultivation, Verification, and Sustainability Trade-offs",Sri Mulyani,2026,10.65094/i-joins.v1i2.8,crossref:10.65094/i-joins.v1i2.8,Crossref,,International Journal of Innovation and Sustainability,https://doi.org/10.65094/i-joins.v1i2.8,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838339+00:00,Crossref open metadata
Marine Bioprospecting for Sustainable Blue-bioeconomy,Unknown,2024,10.1007/978-3-031-68911-6,crossref:10.1007/978-3-031-68911-6,Crossref,,,https://doi.org/10.1007/978-3-031-68911-6,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838343+00:00,Crossref open metadata
Driving the development of the bioeconomy through innovation,Ian Archer,2016,10.1016/j.nbt.2016.06.955,crossref:10.1016/j.nbt.2016.06.955,Crossref,,New Biotechnology,https://doi.org/10.1016/j.nbt.2016.06.955,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838346+00:00,Crossref open metadata
Blue Bioeconomy,Unknown,2024,10.1039/9781837675654,crossref:10.1039/9781837675654,Crossref,,,https://doi.org/10.1039/9781837675654,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838355+00:00,Crossref open metadata
Blue-bioeconomy; marine specialized metabolites at the forefront,"Thilina Diwankara, Tharuka Dissanayake, K.H.I.N.M Herath, K.K Asanka Sanjeewa",2025,10.1016/b978-0-443-29843-1.00011-2,crossref:10.1016/b978-0-443-29843-1.00011-2,Crossref,,Marine Specialized (Secondary) Metabolites and their Diverse Applications,https://doi.org/10.1016/b978-0-443-29843-1.00011-2,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838360+00:00,Crossref open metadata
What kind of innovation policy does the bioeconomy need?,Georg Schütte,2018,10.1016/j.nbt.2017.04.003,crossref:10.1016/j.nbt.2017.04.003,Crossref,,New Biotechnology,https://doi.org/10.1016/j.nbt.2017.04.003,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838364+00:00,Crossref open metadata
Generation of Renewable Energy by Blue Resources for a Clean Environment,"Mariam I. Adeoba, Thanyani Pandelani, Harry Ngwagwa, Tracy Masebe",2024,10.1007/978-3-031-68911-6_17,crossref:10.1007/978-3-031-68911-6_17,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_17,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838370+00:00,Crossref open metadata
Marine Macroalgae: Sustainable Practices and Environmental Impact,"Nour Sh. El-Gendy, Hussein N. Nassar",2024,10.1039/9781837675654-00183,crossref:10.1039/9781837675654-00183,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-00183,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838374+00:00,Crossref open metadata
"Blue Carbon: Roles in Climate Change and Energy Generation, and Effects on Coastal Communities","Mariam I. Adeoba, Kingsley Ukoba, Fadekemi Osaye",2024,10.1007/978-3-031-68911-6_16,crossref:10.1007/978-3-031-68911-6_16,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_16,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838378+00:00,Crossref open metadata
Remediation of Marine Pollutants for Biorefinery Innovations,"Katleho Keneuwe Khoaele, Ipoteng Justice Mphahlele, Oluwatoyin Joseph Gbadeyan, Bruce Sithole, Viren Chunilall",2024,10.1007/978-3-031-68911-6_19,crossref:10.1007/978-3-031-68911-6_19,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_19,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838382+00:00,Crossref open metadata
Transnational Governance Frameworks for Sustainable  Innovation: The Case Of The Blue Bioeconomy In The  Mediterranean,"David Fernández-Guerrero, Riccardo Palazzolo-Henkes, Martin Federico Alba, Saray Ramírez-Rodríguez, Lourdes Reig-Puig",2022,10.7201/earn.2022.02.04,crossref:10.7201/earn.2022.02.04,Crossref,,Economía Agraria y Recursos Naturales,https://doi.org/10.7201/earn.2022.02.04,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838389+00:00,Crossref open metadata
"Integrating Ethics, Innovation, and Inclusivity in Maritime Governance",R. Vettriselvan,2025,10.4018/979-8-3373-1777-9.ch001,crossref:10.4018/979-8-3373-1777-9.ch001,Crossref,,Inclusive Pathways for Marine Resource Stewardship and Global Prosperity,https://doi.org/10.4018/979-8-3373-1777-9.ch001,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838393+00:00,Crossref open metadata
Marine Microbiomes and Their Endless Potential for the Bioeconomy,"Ashwini Kumar, Puneet Raina, Rajan Bhandari, Baljinder Singh",2025,10.1201/9781003509530-8,crossref:10.1201/9781003509530-8,Crossref,,Marine Microbiomes,https://doi.org/10.1201/9781003509530-8,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838397+00:00,Crossref open metadata
"Conceptualizing the interplay between blue justice, blue economy, and blue governance","Carolijn van Noort, Mia Cassidy Prall, Furqan Asif, Nelson F. Coelho",2026,10.1016/j.marpol.2025.106939,crossref:10.1016/j.marpol.2025.106939,Crossref,,Marine Policy,https://doi.org/10.1016/j.marpol.2025.106939,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838402+00:00,Crossref open metadata
"Market formation in the circular bioeconomy: Innovation systems, governance and industry emergence in Sargassum valorisation",Stephani  Cetimia Mariotti Ruiz,2026,10.2139/ssrn.6467495,crossref:10.2139/ssrn.6467495,Crossref,,,https://doi.org/10.2139/ssrn.6467495,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838405+00:00,Crossref open metadata
Blue Economy Policies and Marine Governance in Developed and Developing Nations: Canada and Sri Lanka as Examples,"Chanuka Swarnathilake, K. Udani",2026,10.1007/978-3-032-13638-1_13,crossref:10.1007/978-3-032-13638-1_13,Crossref,,World Sustainability Series,https://doi.org/10.1007/978-3-032-13638-1_13,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838409+00:00,Crossref open metadata
IAR—The French Bioeconomy Innovation Catalyst,Antoine Peeters,2017,10.1089/ind.2017.29068.ape,crossref:10.1089/ind.2017.29068.ape,Crossref,,Industrial Biotechnology,https://doi.org/10.1089/ind.2017.29068.ape,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838412+00:00,Crossref open metadata
Blue Economy Innovation: Enhancing Marine Resilience Through Sustainable Technologies,"Thangjam Ravichandra, Smrita Jain, Rashmi Prasad, Anisha Puri, Vijay Prakash Gupta",2026,10.1007/978-3-032-13638-1_14,crossref:10.1007/978-3-032-13638-1_14,Crossref,,World Sustainability Series,https://doi.org/10.1007/978-3-032-13638-1_14,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838417+00:00,Crossref open metadata
Mapping the governance landscape of the blue bioeconomy: A systems approach to understanding innovation barriers and enablers,"Björn Persson, Niklas Fernqvist, Mari Wøien Meijer, Daniel Bengtsson, Daniel Mattisson",2025,10.1016/j.ocecoaman.2025.107899,crossref:10.1016/j.ocecoaman.2025.107899,Crossref,,Ocean &amp; Coastal Management,https://doi.org/10.1016/j.ocecoaman.2025.107899,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838421+00:00,Crossref open metadata
Coordinating Innovation Systems in the Circular Bioeconomy Transition: Multiscalar Governance for High-Value Bioproducts From Horticultural Losses in Australia,Hannah Churton,,10.5204/thesis.eprints.266090,crossref:10.5204/thesis.eprints.266090,Crossref,,,https://doi.org/10.5204/thesis.eprints.266090,marine biotechnology blue bioeconomy innovation governance,2026-07-02T22:30:10.838425+00:00,Crossref open metadata
Access and benefit sharing in the marine realm,Unknown,2013,10.4324/9780203381618-10,crossref:10.4324/9780203381618-10,Crossref,,"Marine Genetic Resources, Access and Benefit Sharing",https://doi.org/10.4324/9780203381618-10,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980157+00:00,Crossref open metadata
"Marine Genetic Resources, Access and Benefit Sharing",Bevis Fedder,2013,10.4324/9780203381618,crossref:10.4324/9780203381618,Crossref,,,https://doi.org/10.4324/9780203381618,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980176+00:00,Crossref open metadata
"Digital Sequence Information: Possible Implications for the Law on Access to Genetic Resources and Benefit Sharing from their Utilisation, with Special Emphasis on Marine Genetic Resources in Areas Beyond National Jurisdiction",Christian Prip,2024,10.5040/9781509968305.ch-005,crossref:10.5040/9781509968305.ch-005,Crossref,,"Marine Bioprospecting, Biodiversity and Novel Uses of Ocean Resources",https://doi.org/10.5040/9781509968305.ch-005,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980182+00:00,Crossref open metadata
Weak points of the access and benefit sharing regime,Unknown,2013,10.4324/9780203381618-11,crossref:10.4324/9780203381618-11,Crossref,,"Marine Genetic Resources, Access and Benefit Sharing",https://doi.org/10.4324/9780203381618-11,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980186+00:00,Crossref open metadata
"Genetic Resources: Access, Benefit‐Sharing, and Bioprospecting Issues",Santiago Carrizosa,2004,10.1081/e-epcs-120020296,crossref:10.1081/e-epcs-120020296,Crossref,,Encyclopedia of Plant and Crop Science,https://doi.org/10.1081/e-epcs-120020296,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980190+00:00,Crossref open metadata
Conclusions,Unknown,2013,10.4324/9780203381618-13,crossref:10.4324/9780203381618-13,Crossref,,"Marine Genetic Resources, Access and Benefit Sharing",https://doi.org/10.4324/9780203381618-13,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980196+00:00,Crossref open metadata
Introduction,Unknown,2013,10.4324/9780203381618-8,crossref:10.4324/9780203381618-8,Crossref,,"Marine Genetic Resources, Access and Benefit Sharing",https://doi.org/10.4324/9780203381618-8,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980200+00:00,Crossref open metadata
Factual background,Unknown,2013,10.4324/9780203381618-9,crossref:10.4324/9780203381618-9,Crossref,,"Marine Genetic Resources, Access and Benefit Sharing",https://doi.org/10.4324/9780203381618-9,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980203+00:00,Crossref open metadata
Ocean justice? Marine genetic resources and monetary benefit-sharing under the BBNJ Agreement,"Niels Krabbe, Tanya Wagenaar",2026,10.1016/j.marpol.2026.107150,crossref:10.1016/j.marpol.2026.107150,Crossref,,Marine Policy,https://doi.org/10.1016/j.marpol.2026.107150,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980208+00:00,Crossref open metadata
Biological databases for improving the ABS system,Unknown,2013,10.4324/9780203381618-12,crossref:10.4324/9780203381618-12,Crossref,,"Marine Genetic Resources, Access and Benefit Sharing",https://doi.org/10.4324/9780203381618-12,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980212+00:00,Crossref open metadata
Regulating Access to Genetic Resources and Benefit-Sharing: the Legal Aspects,Kerry ten Kate,2019,10.4324/9780429341540-2,crossref:10.4324/9780429341540-2,Crossref,,The Commercial use of Biodiversity,https://doi.org/10.4324/9780429341540-2,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980216+00:00,Crossref open metadata
The Role of the National Biodiversity Institute in the Use of Biodiversity for Sustainable Development – Forming Bioprospecting Partnerships,Unknown,2009,10.4324/9781849770095-24,crossref:10.4324/9781849770095-24,Crossref,,"Genetic Resources, Traditional Knowledge and the Law",https://doi.org/10.4324/9781849770095-24,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980219+00:00,Crossref open metadata
Reshaping the international access to genetic resources and benefit sharing process?,Manuel Ruiz Muller,2018,10.4324/9781315098517-9,crossref:10.4324/9781315098517-9,Crossref,,"Biodiversity, Genetic Resources and Intellectual Property",https://doi.org/10.4324/9781315098517-9,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980223+00:00,Crossref open metadata
BBNJ Agreement: A New Infrastructure to Foster Benefit Sharing of Marine Genetic Resources,"Hiroko Muraki Gottlieb, Jeff Ardron, Abbe E.L. Brown",2024,10.2139/ssrn.4895602,crossref:10.2139/ssrn.4895602,Crossref,,,https://doi.org/10.2139/ssrn.4895602,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980227+00:00,Crossref open metadata
ABS in Relation to Marine GRs,Unknown,2009,10.4324/9781849770095-13,crossref:10.4324/9781849770095-13,Crossref,,"Genetic Resources, Traditional Knowledge and the Law",https://doi.org/10.4324/9781849770095-13,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980233+00:00,Crossref open metadata
Marine genetic resources and bioprospecting in the Western Indian Ocean,Rachel Wynberg,2016,10.18356/7a82e6cd-en,crossref:10.18356/7a82e6cd-en,Crossref,,,https://doi.org/10.18356/7a82e6cd-en,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980237+00:00,Crossref open metadata
Marine Genetic Resources and the Access and Benefit-Sharing Legal Framework,"Laura E. Lallier, Arianna Broggiato, Dominic Muyldermans, Thomas Vanagt",2016,10.1007/978-3-319-33000-6_17,crossref:10.1007/978-3-319-33000-6_17,Crossref,,The Marine Microbiome,https://doi.org/10.1007/978-3-319-33000-6_17,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980241+00:00,Crossref open metadata
Access to and benefit-sharing of marine genetic resources beyond national jurisdiction,Carlos M. Correa,2017,10.4324/9781315530857-11,crossref:10.4324/9781315530857-11,Crossref,,Routledge Handbook of Biodiversity and the Law,https://doi.org/10.4324/9781315530857-11,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980245+00:00,Crossref open metadata
Benefit sharing of marine genetic resources and intellectual property protection under the BBNJ agreement,"Qing Xu, Yongfeng Jin",2025,10.3389/fmars.2025.1631043,crossref:10.3389/fmars.2025.1631043,Crossref,,Frontiers in Marine Science,https://doi.org/10.3389/fmars.2025.1631043,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980249+00:00,Crossref open metadata
Classical Marine Bioprospecting: Biochemistry and Genetic Engineering,Unknown,2018,10.1002/9781119451396.app1,crossref:10.1002/9781119451396.app1,Crossref,,"Marine Genetic Resources, R&amp;D and the Law 1",https://doi.org/10.1002/9781119451396.app1,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980252+00:00,Crossref open metadata
Enforcement of Benefit-Sharing Duties in User Countries,Unknown,2009,10.4324/9781849770095-35,crossref:10.4324/9781849770095-35,Crossref,,"Genetic Resources, Traditional Knowledge and the Law",https://doi.org/10.4324/9781849770095-35,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980256+00:00,Crossref open metadata
"Marine Genetic Resources under BBNJ Agreement: interactions with TRIPS, CBD and GRATK and the challenges for effective implementation of benefit sharing.",Paulo Henrique Reis de Oliveira,2025,10.5194/oos2025-922,crossref:10.5194/oos2025-922,Crossref,,,https://doi.org/10.5194/oos2025-922,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980259+00:00,Crossref open metadata
Inter-State Benefit-Sharing from Access to Genetic Resources,Elisa Morgera,2024,10.1093/oso/9780198862130.003.0002,crossref:10.1093/oso/9780198862130.003.0002,Crossref,,Fair and Equitable Benefit-sharing in International Law,https://doi.org/10.1093/oso/9780198862130.003.0002,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980263+00:00,Crossref open metadata
Plant genetic resources for food and agriculture,Charles Lawson,2012,10.4337/9781781001660.00011,crossref:10.4337/9781781001660.00011,Crossref,,Regulating Genetic Resources,https://doi.org/10.4337/9781781001660.00011,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980267+00:00,Crossref open metadata
Marine Genetic Resources in Areas Beyond National Jurisdiction: Access and Benefit-Sharing,Kexin Zhu,2023,10.56397/slj.2023.09.05,crossref:10.56397/slj.2023.09.05,Crossref,,Studies in Law and Justice,https://doi.org/10.56397/slj.2023.09.05,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980270+00:00,Crossref open metadata
Banking on a patent solution for sharing Antarctica’s ex situ genetic resources *,Fran Humphries,2018,10.4324/9781315098517-4,crossref:10.4324/9781315098517-4,Crossref,,"Biodiversity, Genetic Resources and Intellectual Property",https://doi.org/10.4324/9781315098517-4,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980274+00:00,Crossref open metadata
Modern Marine Bioprospecting: Metagenomics,Unknown,2018,10.1002/9781119451396.app2,crossref:10.1002/9781119451396.app2,Crossref,,"Marine Genetic Resources, R&amp;D and the Law 1",https://doi.org/10.1002/9781119451396.app2,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980277+00:00,Crossref open metadata
"Marine Genetic Resources: a Practical Legal Approach to Stimulate Research, Conservation and Benefit Sharing",Morten Walløe Tvedt,2020,10.1163/9789004391567_013,crossref:10.1163/9789004391567_013,Crossref,,The Law of the Seabed,https://doi.org/10.1163/9789004391567_013,bioprospecting marine genetic resources benefit sharing,2026-07-02T22:30:14.980281+00:00,Crossref open metadata
